manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,cc_default_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,nrpn_default_value,orientation,notes,usage
1010music,bento,General,Mod Wheel,,1,,0,127,,,,,,,0-based,,
1010music,bento,External Track,Level,,7,,0,127,,,,,,,centered,,0~63: -96dB to <0dB; 64: 0dB; 65~127: >0dB to +12dB
1010music,bento,External Track,Mute,,6,,0,127,,,,,,,0-based,,0: Unmute; 127: Mute
1010music,bento,External Track,Pan,,10,,0,127,,,,,,,centered,,
1010music,bento,External Track,Delay Send,,92,,0,127,,,,,,,0-based,,
1010music,bento,External Track,Reverb Send,,91,,0,127,,,,,,,0-based,,
1010music,bento,External Track,Solo (Future),,38,,0,127,,,,,,,0-based,,
1010music,bento,Granular Track,Env 1 Attack,,73,,0,127,,,,,,,0-based,,
1010music,bento,Granular Track,Env 1 Decay,,75,,0,127,,,,,,,0-based,,
1010music,bento,Granular Track,Env 1 Release,,72,,0,127,,,,,,,0-based,,
1010music,bento,Granular Track,Env 2 Attack,,3,,0,127,,,,,,,0-based,,
1010music,bento,Granular Track,Env 2 Decay,,9,,0,127,,,,,,,0-based,,
1010music,bento,Granular Track,Env 2 Release,,14,,0,127,,,,,,,0-based,,
1010music,bento,Granular Track,Filter 1 Frequency/Cutoff,,74,,0,127,,,,,,,0-based,,
1010music,bento,Granular Track,Filter 1 Resonance/Width/Q,,71,,0,127,,,,,,,0-based,,
1010music,bento,Granular Track,Filter 2 Frequency/Cutoff,,17,,0,127,,,,,,,0-based,,
1010music,bento,Granular Track,Filter 2 Resonance/Width/Q,,18,,0,127,,,,,,,0-based,,
1010music,bento,Granular Track,Level,,7,,0,127,,,,,,,centered,,0~63: -96dB to <0dB; 64: 0dB; 65~127: >0dB to +12dB
1010music,bento,Granular Track,Mute,,6,,0,127,,,,,,,0-based,,0: Unmute; 127: Mute
1010music,bento,Granular Track,Pan,,10,,0,127,,,,,,,centered,,
1010music,bento,Granular Track,Damper Pedal,,64,,0,127,,,,,,,0-based,,
1010music,bento,Granular Track,Delay Send,,92,,0,127,,,,,,,0-based,,
1010music,bento,Granular Track,Reverb Send,,91,,0,127,,,,,,,0-based,,
1010music,bento,Granular Track,Solo (Future),,38,,0,127,,,,,,,0-based,,
1010music,bento,Granular Track,Osc Level,,49,,0,127,,,,,,,0-based,,
1010music,bento,Granular Track,Osc Pitch,,50,,0,127,,,,,,,0-based,,
1010music,bento,Granular Track,Osc Pulse Width,,51,,0,127,,,,,,,0-based,,
1010music,bento,Granular Track,GR1 Density,,21,,0,127,,,,,,,0-based,,
1010music,bento,Granular Track,GR1 Grain Size,,23,,0,127,,,,,,,0-based,,
1010music,bento,Granular Track,GR1 Jitter,,25,,0,127,,,,,,,0-based,,
1010music,bento,Granular Track,GR1 Level,,19,,0,127,,,,,,,0-based,,
1010music,bento,Granular Track,GR1 Pitch,,20,,0,127,,,,,,,0-based,,
1010music,bento,Granular Track,GR1 Play Pos,,26,,0,127,,,,,,,0-based,,
1010music,bento,Granular Track,GR1 Rate,,22,,0,127,,,,,,,0-based,,
1010music,bento,Granular Track,GR1 Speed,,27,,0,127,,,,,,,0-based,,
1010music,bento,Granular Track,GR1 Window,,24,,0,127,,,,,,,0-based,,
1010music,bento,Granular Track,GR2 Density,,30,,0,127,,,,,,,0-based,,
1010music,bento,Granular Track,GR2 Grain Size,,35,,0,127,,,,,,,0-based,,
1010music,bento,Granular Track,GR2 Jitter,,46,,0,127,,,,,,,0-based,,
1010music,bento,Granular Track,GR2 Level,,28,,0,127,,,,,,,0-based,,
1010music,bento,Granular Track,GR2 Pitch,,29,,0,127,,,,,,,0-based,,
1010music,bento,Granular Track,GR2 Play Pos,,47,,0,127,,,,,,,0-based,,
1010music,bento,Granular Track,GR2 Rate,,31,,0,127,,,,,,,0-based,,
1010music,bento,Granular Track,GR2 Speed,,48,,0,127,,,,,,,0-based,,
1010music,bento,Granular Track,GR2 Window,,41,,0,127,,,,,,,0-based,,
1010music,bento,Granular Track,LFO 1 Depth,,12,,0,127,,,,,,,0-based,,
1010music,bento,Granular Track,LFO 1 Rate,,13,,0,127,,,,,,,0-based,,
1010music,bento,Granular Track,LFO 2 Depth,,15,,0,127,,,,,,,0-based,,
1010music,bento,Granular Track,LFO 2 Rate,,16,,0,127,,,,,,,0-based,,
1010music,bento,Loop Track,Level,,7,,0,127,,,,,,,centered,,0~63: -96dB to <0dB; 64: 0dB; 65~127: >0dB to +12dB
1010music,bento,Loop Track,Mute,,6,,0,127,,,,,,,0-based,,0: Unmute; 127: Mute
1010music,bento,Loop Track,Pan (entire track),,10,,0,127,,,,,,,centered,,
1010music,bento,Loop Track,Delay Send,,92,,0,127,,,,,,,0-based,,
1010music,bento,Loop Track,Reverb Send,,91,,0,127,,,,,,,0-based,,
1010music,bento,Loop Track,Slot 01 Delay Send,,56,,0,127,,,,,,,0-based,,
1010music,bento,Loop Track,Slot 01 Filter,,2,,0,127,,,,,,,0-based,,
1010music,bento,Loop Track,Slot 01 Level,,3,,0,127,,,,,,,0-based,,
1010music,bento,Loop Track,Slot 01 Pitch,,28,,0,127,,,,,,,0-based,,
1010music,bento,Loop Track,Slot 01 Resonance,,67,,0,127,,,,,,,0-based,,
1010music,bento,Loop Track,Slot 01 Reverb Send,,104,,0,127,,,,,,,0-based,,
1010music,bento,Loop Track,Slot 02 Delay Send,,57,,0,127,,,,,,,0-based,,
1010music,bento,Loop Track,Slot 02 Filter,,4,,0,127,,,,,,,0-based,,
1010music,bento,Loop Track,Slot 02 Level,,9,,0,127,,,,,,,0-based,,
1010music,bento,Loop Track,Slot 02 Pitch,,29,,0,127,,,,,,,0-based,,
1010music,bento,Loop Track,Slot 02 Resonance,,68,,0,127,,,,,,,0-based,,
1010music,bento,Loop Track,Slot 02 Reverb Send,,105,,0,127,,,,,,,0-based,,
1010music,bento,Loop Track,Slot 03 Delay Send,,58,,0,127,,,,,,,0-based,,
1010music,bento,Loop Track,Slot 03 Filter,,5,,0,127,,,,,,,0-based,,
1010music,bento,Loop Track,Slot 03 Level,,14,,0,127,,,,,,,0-based,,
1010music,bento,Loop Track,Slot 03 Pitch,,30,,0,127,,,,,,,0-based,,
1010music,bento,Loop Track,Slot 03 Resonance,,69,,0,127,,,,,,,0-based,,
1010music,bento,Loop Track,Slot 03 Reverb Send,,106,,0,127,,,,,,,0-based,,
1010music,bento,Loop Track,Slot 04 Delay Send,,59,,0,127,,,,,,,0-based,,
1010music,bento,Loop Track,Slot 04 Filter,,8,,0,127,,,,,,,0-based,,
1010music,bento,Loop Track,Slot 04 Level,,15,,0,127,,,,,,,0-based,,
1010music,bento,Loop Track,Slot 04 Pitch,,31,,0,127,,,,,,,0-based,,
1010music,bento,Loop Track,Slot 04 Resonance,,70,,0,127,,,,,,,0-based,,
1010music,bento,Loop Track,Slot 04 Reverb Send,,107,,0,127,,,,,,,0-based,,
1010music,bento,Loop Track,Slot 05 Delay Send,,60,,0,127,,,,,,,0-based,,
1010music,bento,Loop Track,Slot 05 Filter,,11,,0,127,,,,,,,0-based,,
1010music,bento,Loop Track,Slot 05 Level,,16,,0,127,,,,,,,0-based,,
1010music,bento,Loop Track,Slot 05 Pitch,,35,,0,127,,,,,,,0-based,,
1010music,bento,Loop Track,Slot 05 Resonance,,76,,0,127,,,,,,,0-based,,
1010music,bento,Loop Track,Slot 05 Reverb Send,,108,,0,127,,,,,,,0-based,,
1010music,bento,Loop Track,Slot 06 Delay Send,,61,,0,127,,,,,,,0-based,,
1010music,bento,Loop Track,Slot 06 Level,,17,,0,127,,,,,,,0-based,,
1010music,bento,Loop Track,Slot 06 Pitch,,34,,0,127,,,,,,,0-based,,
1010music,bento,Loop Track,Slot 06 Pitch,,41,,0,127,,,,,,,0-based,,
1010music,bento,Loop Track,Slot 06 Resonance,,77,,0,127,,,,,,,0-based,,
1010music,bento,Loop Track,Slot 06 Reverb Send,,109,,0,127,,,,,,,0-based,,
1010music,bento,Loop Track,Slot 07 Delay Send,,62,,0,127,,,,,,,0-based,,
1010music,bento,Loop Track,Slot 07 Filter,,36,,0,127,,,,,,,0-based,,
1010music,bento,Loop Track,Slot 07 Level,,18,,0,127,,,,,,,0-based,,
