manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,cc_default_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,nrpn_default_value,orientation,notes,usage
1010music,nanobox | razzmatazz,MIDI learn,MIDI CC 000,,0,,0,127,,,,,,,0-based,,
1010music,nanobox | razzmatazz,MIDI learn,MIDI CC 001,,1,,0,127,,,,,,,0-based,,
1010music,nanobox | razzmatazz,MIDI learn,MIDI CC 002,,2,,0,127,,,,,,,0-based,,
1010music,nanobox | razzmatazz,MIDI learn,MIDI CC 003,,3,,0,127,,,,,,,0-based,,
1010music,nanobox | razzmatazz,MIDI learn,MIDI CC 004,,4,,0,127,,,,,,,0-based,,
1010music,nanobox | razzmatazz,MIDI learn,MIDI CC 005,,5,,0,127,,,,,,,0-based,,
1010music,nanobox | razzmatazz,MIDI learn,MIDI CC 006,,6,,0,127,,,,,,,0-based,,
1010music,nanobox | razzmatazz,MIDI learn,MIDI CC 007,,7,,0,127,,,,,,,0-based,,
1010music,nanobox | razzmatazz,MIDI learn,MIDI CC 008,,8,,0,127,,,,,,,0-based,,
1010music,nanobox | razzmatazz,MIDI learn,MIDI CC 009,,9,,0,127,,,,,,,0-based,,
1010music,nanobox | razzmatazz,MIDI learn,MIDI CC 010,,10,,0,127,,,,,,,0-based,,
1010music,nanobox | razzmatazz,MIDI learn,MIDI CC 011,,11,,0,127,,,,,,,0-based,,
1010music,nanobox | razzmatazz,MIDI learn,MIDI CC 012,,12,,0,127,,,,,,,0-based,,
1010music,nanobox | razzmatazz,MIDI learn,MIDI CC 013,,13,,0,127,,,,,,,0-based,,
1010music,nanobox | razzmatazz,MIDI learn,MIDI CC 014,,14,,0,127,,,,,,,0-based,,
1010music,nanobox | razzmatazz,MIDI learn,MIDI CC 015,,15,,0,127,,,,,,,0-based,,
1010music,nanobox | razzmatazz,MIDI learn,MIDI CC 016,,16,,0,127,,,,,,,0-based,,
1010music,nanobox | razzmatazz,MIDI learn,MIDI CC 017,,17,,0,127,,,,,,,0-based,,
1010music,nanobox | razzmatazz,MIDI learn,MIDI CC 018,,18,,0,127,,,,,,,0-based,,
1010music,nanobox | razzmatazz,MIDI learn,MIDI CC 019,,19,,0,127,,,,,,,0-based,,
1010music,nanobox | razzmatazz,MIDI learn,MIDI CC 020,,20,,0,127,,,,,,,0-based,,
1010music,nanobox | razzmatazz,MIDI learn,MIDI CC 021,,21,,0,127,,,,,,,0-based,,
1010music,nanobox | razzmatazz,MIDI learn,MIDI CC 022,,22,,0,127,,,,,,,0-based,,
1010music,nanobox | razzmatazz,MIDI learn,MIDI CC 023,,23,,0,127,,,,,,,0-based,,
1010music,nanobox | razzmatazz,MIDI learn,MIDI CC 024,,24,,0,127,,,,,,,0-based,,
1010music,nanobox | razzmatazz,MIDI learn,MIDI CC 025,,25,,0,127,,,,,,,0-based,,
1010music,nanobox | razzmatazz,MIDI learn,MIDI CC 026,,26,,0,127,,,,,,,0-based,,
1010music,nanobox | razzmatazz,MIDI learn,MIDI CC 027,,27,,0,127,,,,,,,0-based,,
1010music,nanobox | razzmatazz,MIDI learn,MIDI CC 028,,28,,0,127,,,,,,,0-based,,
1010music,nanobox | razzmatazz,MIDI learn,MIDI CC 029,,29,,0,127,,,,,,,0-based,,
1010music,nanobox | razzmatazz,MIDI learn,MIDI CC 030,,30,,0,127,,,,,,,0-based,,
1010music,nanobox | razzmatazz,MIDI learn,MIDI CC 031,,31,,0,127,,,,,,,0-based,,
1010music,nanobox | razzmatazz,MIDI learn,MIDI CC 032,,32,,0,127,,,,,,,0-based,,
1010music,nanobox | razzmatazz,MIDI learn,MIDI CC 033,,33,,0,127,,,,,,,0-based,,
1010music,nanobox | razzmatazz,MIDI learn,MIDI CC 034,,34,,0,127,,,,,,,0-based,,
1010music,nanobox | razzmatazz,MIDI learn,MIDI CC 035,,35,,0,127,,,,,,,0-based,,
1010music,nanobox | razzmatazz,MIDI learn,MIDI CC 036,,36,,0,127,,,,,,,0-based,,
1010music,nanobox | razzmatazz,MIDI learn,MIDI CC 037,,37,,0,127,,,,,,,0-based,,
1010music,nanobox | razzmatazz,MIDI learn,MIDI CC 038,,38,,0,127,,,,,,,0-based,,
