manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,cc_default_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,nrpn_default_value,orientation,notes,usage
1010music,nanobox | tangerine,Filter cutoff,Pad 1 Filter cutoff,,14,,0,127,,,,,,,0-based,,
1010music,nanobox | tangerine,Filter cutoff,Pad 2 Filter cutoff,,24,,0,127,,,,,,,0-based,,
1010music,nanobox | tangerine,Filter cutoff,Pad 3 Filter cutoff,,34,,0,127,,,,,,,0-based,,
1010music,nanobox | tangerine,Filter cutoff,Pad 4 Filter cutoff,,44,,0,127,,,,,,,0-based,,
1010music,nanobox | tangerine,Filter cutoff,Pad 5 Filter cutoff,,54,,0,127,,,,,,,0-based,,
1010music,nanobox | tangerine,Filter cutoff,Pad 6 Filter cutoff,,74,,0,127,,,,,,,0-based,,
1010music,nanobox | tangerine,Filter cutoff,Pad 7 Filter cutoff,,84,,0,127,,,,,,,0-based,,
1010music,nanobox | tangerine,Filter cutoff,Pad 8 Filter cutoff,,94,,0,127,,,,,,,0-based,,
1010music,nanobox | tangerine,Resonance,Pad 1 Resonance,,15,,0,127,,,,,,,0-based,,
1010music,nanobox | tangerine,Resonance,Pad 2 Resonance,,25,,0,127,,,,,,,0-based,,
1010music,nanobox | tangerine,Resonance,Pad 3 Resonance,,35,,0,127,,,,,,,0-based,,
1010music,nanobox | tangerine,Resonance,Pad 4 Resonance,,45,,0,127,,,,,,,0-based,,
1010music,nanobox | tangerine,Resonance,Pad 5 Resonance,,55,,0,127,,,,,,,0-based,,
1010music,nanobox | tangerine,Resonance,Pad 6 Resonance,,75,,0,127,,,,,,,0-based,,
1010music,nanobox | tangerine,Resonance,Pad 7 Resonance,,85,,0,127,,,,,,,0-based,,
1010music,nanobox | tangerine,Resonance,Pad 8 Resonance,,95,,0,127,,,,,,,0-based,,
1010music,nanobox | tangerine,FX1 Send,Pad 1 FX1 Send,,16,,0,127,,,,,,,0-based,,
1010music,nanobox | tangerine,FX1 Send,Pad 2 FX1 Send,,26,,0,127,,,,,,,0-based,,
1010music,nanobox | tangerine,FX1 Send,Pad 3 FX1 Send,,36,,0,127,,,,,,,0-based,,
1010music,nanobox | tangerine,FX1 Send,Pad 4 FX1 Send,,46,,0,127,,,,,,,0-based,,
1010music,nanobox | tangerine,FX1 Send,Pad 5 FX1 Send,,56,,0,127,,,,,,,0-based,,
1010music,nanobox | tangerine,FX1 Send,Pad 6 FX1 Send,,76,,0,127,,,,,,,0-based,,
1010music,nanobox | tangerine,FX1 Send,Pad 7 FX1 Send,,86,,0,127,,,,,,,0-based,,
1010music,nanobox | tangerine,FX1 Send,Pad 8 FX1 Send,,96,,0,127,,,,,,,0-based,,
1010music,nanobox | tangerine,FX2 Send,Pad 1 FX2 Send,,17,,0,127,,,,,,,0-based,,
1010music,nanobox | tangerine,FX2 Send,Pad 2 FX2 Send,,27,,0,127,,,,,,,0-based,,
1010music,nanobox | tangerine,FX2 Send,Pad 3 FX2 Send,,37,,0,127,,,,,,,0-based,,
1010music,nanobox | tangerine,FX2 Send,Pad 4 FX2 Send,,47,,0,127,,,,,,,0-based,,
1010music,nanobox | tangerine,FX2 Send,Pad 5 FX2 Send,,57,,0,127,,,,,,,0-based,,
1010music,nanobox | tangerine,FX2 Send,Pad 6 FX2 Send,,77,,0,127,,,,,,,0-based,,
1010music,nanobox | tangerine,FX2 Send,Pad 7 FX2 Send,,87,,0,127,,,,,,,0-based,,
1010music,nanobox | tangerine,FX2 Send,Pad 8 FX2 Send,,97,,0,127,,,,,,,0-based,,
1010music,nanobox | tangerine,Slice,Pad 1 Slice,,18,,0,127,,,,,,,0-based,Affects Slicer Pads only,
1010music,nanobox | tangerine,Slice,Pad 2 Slice,,28,,0,127,,,,,,,0-based,Affects Slicer Pads only,
1010music,nanobox | tangerine,Slice,Pad 3 Slice,,38,,0,127,,,,,,,0-based,Affects Slicer Pads only,
1010music,nanobox | tangerine,Slice,Pad 4 Slice,,48,,0,127,,,,,,,0-based,Affects Slicer Pads only,
1010music,nanobox | tangerine,Slice,Pad 5 Slice,,58,,0,127,,,,,,,0-based,Affects Slicer Pads only,
1010music,nanobox | tangerine,Slice,Pad 6 Slice,,78,,0,127,,,,,,,0-based,Affects Slicer Pads only,
1010music,nanobox | tangerine,Slice,Pad 7 Slice,,88,,0,127,,,,,,,0-based,Affects Slicer Pads only,
1010music,nanobox | tangerine,Slice,Pad 8 Slice,,98,,0,127,,,,,,,0-based,Affects Slicer Pads only,
1010music,nanobox | tangerine,Slice sequence,Pad 1 Slice sequence,,19,,0,127,,,,,,,0-based,Affects Slicer Pads only,
1010music,nanobox | tangerine,Slice sequence,Pad 2 Slice sequence,,29,,0,127,,,,,,,0-based,Affects Slicer Pads only,
1010music,nanobox | tangerine,Slice sequence,Pad 3 Slice sequence,,39,,0,127,,,,,,,0-based,Affects Slicer Pads only,
1010music,nanobox | tangerine,Slice sequence,Pad 4 Slice sequence,,49,,0,127,,,,,,,0-based,Affects Slicer Pads only,
1010music,nanobox | tangerine,Slice sequence,Pad 5 Slice sequence,,59,,0,127,,,,,,,0-based,Affects Slicer Pads only,
1010music,nanobox | tangerine,Slice sequence,Pad 6 Slice sequence,,79,,0,127,,,,,,,0-based,Affects Slicer Pads only,
1010music,nanobox | tangerine,Slice sequence,Pad 7 Slice sequence,,89,,0,127,,,,,,,0-based,Affects Slicer Pads only,
1010music,nanobox | tangerine,Slice sequence,Pad 8 Slice sequence,,99,,0,127,,,,,,,0-based,Affects Slicer Pads only,
1010music,nanobox | tangerine,Level,Pad 1 Level,,11,,0,127,,,,,,,0-based,,
1010music,nanobox | tangerine,Level,Pad 2 Level,,21,,0,127,,,,,,,0-based,,
1010music,nanobox | tangerine,Level,Pad 3 Level,,31,,0,127,,,,,,,0-based,,
1010music,nanobox | tangerine,Level,Pad 4 Level,,41,,0,127,,,,,,,0-based,,
1010music,nanobox | tangerine,Level,Pad 5 Level,,51,,0,127,,,,,,,0-based,,
1010music,nanobox | tangerine,Level,Pad 6 Level,,71,,0,127,,,,,,,0-based,,
1010music,nanobox | tangerine,Level,Pad 7 Level,,81,,0,127,,,,,,,0-based,,
1010music,nanobox | tangerine,Level,Pad 8 Level,,91,,0,127,,,,,,,0-based,,
1010music,nanobox | tangerine,Pan,Pad 1 Pan,,12,,0,127,,,,,,,centered,,
1010music,nanobox | tangerine,Pan,Pad 2 Pan,,22,,0,127,,,,,,,centered,,
1010music,nanobox | tangerine,Pan,Pad 3 Pan,,32,,0,127,,,,,,,centered,,
1010music,nanobox | tangerine,Pan,Pad 4 Pan,,42,,0,127,,,,,,,centered,,
1010music,nanobox | tangerine,Pan,Pad 5 Pan,,52,,0,127,,,,,,,centered,,
1010music,nanobox | tangerine,Pan,Pad 6 Pan,,72,,0,127,,,,,,,centered,,
1010music,nanobox | tangerine,Pan,Pad 7 Pan,,82,,0,127,,,,,,,centered,,
1010music,nanobox | tangerine,Pan,Pad 8 Pan,,92,,0,127,,,,,,,centered,,
1010music,nanobox | tangerine,Pitch,Pad 1 Pitch,,13,,0,127,,,,,,,centered,,
1010music,nanobox | tangerine,Pitch,Pad 2 Pitch,,23,,0,127,,,,,,,centered,,
1010music,nanobox | tangerine,Pitch,Pad 3 Pitch,,33,,0,127,,,,,,,centered,,
1010music,nanobox | tangerine,Pitch,Pad 4 Pitch,,43,,0,127,,,,,,,centered,,
1010music,nanobox | tangerine,Pitch,Pad 5 Pitch,,53,,0,127,,,,,,,centered,,
1010music,nanobox | tangerine,Pitch,Pad 6 Pitch,,73,,0,127,,,,,,,centered,,
1010music,nanobox | tangerine,Pitch,Pad 7 Pitch,,83,,0,127,,,,,,,centered,,
1010music,nanobox | tangerine,Pitch,Pad 8 Pitch,,93,,0,127,,,,,,,centered,,
