manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,orientation,notes,usage
ASM,Hydrasynth,Amp,AMP Lfo2amt,,62,,0,127,,,,,0-based,,
ASM,Hydrasynth,Arp,ARP Division,,106,,0,127,,,,,0-based,,
ASM,Hydrasynth,Arp,ARP Gate,,107,,0,127,,,,,0-based,,
ASM,Hydrasynth,Arp,ARP Mode,,108,,0,127,,,,,0-based,,
ASM,Hydrasynth,Arp,ARP Ratchet,,109,,0,127,,,,,0-based,,
ASM,Hydrasynth,Arp,ARP Chance,,110,,0,127,,,,,0-based,,
ASM,Hydrasynth,Arp,ARP Octave,,120,,0,127,,,,,0-based,,
ASM,Hydrasynth,Arp,ARP Length,,122,,0,127,,,,,0-based,,
ASM,Hydrasynth,Effects,Delay Feedback,,14,,0,127,,,,,0-based,,
ASM,Hydrasynth,Effects,Delay Time,,15,,0,127,,,,,0-based,,
ASM,Hydrasynth,Effects,Delay WET Tone,,63,,0,127,,,,,0-based,,
ASM,Hydrasynth,Effects,Delay DRY WET,,92,,0,127,,,,,0-based,,
ASM,Hydrasynth,Envelope,ENV1 Attack,,81,,0,127,,,,,0-based,,
ASM,Hydrasynth,Envelope,ENV1 Decay,,82,,0,127,,,,,0-based,,
ASM,Hydrasynth,Envelope,ENV1 Sustain,,83,,0,127,,,,,0-based,,
ASM,Hydrasynth,Envelope,ENV1 Release,,84,,0,127,,,,,0-based,,
ASM,Hydrasynth,Envelope,ENV2 Attack,,85,,0,127,,,,,0-based,,
ASM,Hydrasynth,Envelope,ENV2 Decay,,86,,0,127,,,,,0-based,,
ASM,Hydrasynth,Envelope,ENV2 Sustain,,87,,0,127,,,,,0-based,,
ASM,Hydrasynth,Envelope,ENV2 Release,,88,,0,127,,,,,0-based,,
ASM,Hydrasynth,Envelope,ENV3 Attack,,89,,0,127,,,,,0-based,,
ASM,Hydrasynth,Envelope,ENV3 Decay,,90,,0,127,,,,,0-based,,
ASM,Hydrasynth,Envelope,ENV3 Sustain,,96,,0,127,,,,,0-based,,
ASM,Hydrasynth,Envelope,ENV3 Release,,97,,0,127,,,,,0-based,,
ASM,Hydrasynth,Envelope,ENV4 Attack,,25,,0,127,,,,,0-based,,
ASM,Hydrasynth,Envelope,ENV4 Decay,,27,,0,127,,,,,0-based,,
ASM,Hydrasynth,Envelope,ENV4 Release,,124,,0,127,,,,,0-based,,
ASM,Hydrasynth,Envelope,ENV4 Sustain,,125,,0,127,,,,,0-based,,
ASM,Hydrasynth,Envelope,ENV5 Attack,,102,,0,127,,,,,0-based,,
ASM,Hydrasynth,Envelope,ENV5 Decay,,103,,0,127,,,,,0-based,,
ASM,Hydrasynth,Envelope,ENV5 Sustain,,104,,0,127,,,,,0-based,,
ASM,Hydrasynth,Envelope,ENV5 Release,,105,,0,127,,,,,0-based,,
ASM,Hydrasynth,Filter,F1 Drive,,50,,0,127,,,,,0-based,,
ASM,Hydrasynth,Filter,F1 Keytrack,,51,,0,127,,,,,0-based,,
ASM,Hydrasynth,Filter,F1 Lfo1amt,,52,,0,127,,,,,0-based,,
ASM,Hydrasynth,Filter,F1 VEL ENV,,53,,0,127,,,,,0-based,,
ASM,Hydrasynth,Filter,F1 Env1amt,,54,,0,127,,,,,0-based,,
ASM,Hydrasynth,Filter,F1 RES,,71,,0,127,,,,,0-based,,
ASM,Hydrasynth,Filter,F1 Cutoff,,74,,0,127,,,,,0-based,,
ASM,Hydrasynth,Filter,F2 Cutoff,,55,,0,127,,,,,0-based,,
ASM,Hydrasynth,Filter,F2 RES,,56,,0,127,,,,,0-based,,
ASM,Hydrasynth,Filter,F2 Type,,57,,0,127,,,,,0-based,,
ASM,Hydrasynth,Filter,F2 Keytrack,,58,,0,127,,,,,0-based,,
ASM,Hydrasynth,Filter,F2 Lfo1amt,,59,,0,127,,,,,0-based,,
ASM,Hydrasynth,Filter,F2 VEL ENV,,60,,0,127,,,,,0-based,,
ASM,Hydrasynth,Filter,F2 Env1amt,,61,,0,127,,,,,0-based,,
ASM,Hydrasynth,LFO,LFO1 Gain,,70,,0,127,,,,,0-based,,
ASM,Hydrasynth,LFO,LFO1 Rate,,72,,0,127,,,,,0-based,,
ASM,Hydrasynth,LFO,LFO2 Gain,,28,,0,127,,,,,0-based,,
ASM,Hydrasynth,LFO,LFO2 Rate,,73,,0,127,,,,,0-based,,
ASM,Hydrasynth,LFO,LFO3 Gain,,75,,0,127,,,,,0-based,,
ASM,Hydrasynth,LFO,LFO3 Rate,,76,,0,127,,,,,0-based,,
ASM,Hydrasynth,LFO,LFO4 Gain,,77,,0,127,,,,,0-based,,
ASM,Hydrasynth,LFO,LFO4 Rate,,78,,0,127,,,,,0-based,,
ASM,Hydrasynth,LFO,LFO5 Gain,,79,,0,127,,,,,0-based,,
ASM,Hydrasynth,LFO,LFO5 Rate,,80,,0,127,,,,,0-based,,
ASM,Hydrasynth,Macro,Macro1,,16,,0,127,,,,,0-based,,
ASM,Hydrasynth,Macro,Macro2,,17,,0,127,,,,,0-based,,
ASM,Hydrasynth,Macro,Macro3,,18,,0,127,,,,,0-based,,
ASM,Hydrasynth,Macro,Macro4,,19,,0,127,,,,,0-based,,
ASM,Hydrasynth,Macro,Macro5,,20,,0,127,,,,,0-based,,
ASM,Hydrasynth,Macro,Macro6,,21,,0,127,,,,,0-based,,
ASM,Hydrasynth,Macro,Macro7,,22,,0,127,,,,,0-based,,
ASM,Hydrasynth,Macro,Macro8,,23,,0,127,,,,,0-based,,
ASM,Hydrasynth,Noise,Noise VOL,,3,,0,127,,,,,0-based,,
ASM,Hydrasynth,Noise,Noise PAN,,8,,0,127,,,,,0-based,,
ASM,Hydrasynth,Ring mod,Ring MOD VOL,,9,,0,127,,,,,0-based,,
ASM,Hydrasynth,Ring mod,Ring MOD PAN,,10,,0,127,,,,,0-based,,
ASM,Hydrasynth,Ring mod,RM12 Depth,,43,,0,127,,,,,0-based,,
ASM,Hydrasynth,Oscillator,OSC1 VOL,,44,,0,127,,,,,0-based,,
ASM,Hydrasynth,Oscillator,OSC1 PAN,,45,,0,127,,,,,0-based,,
ASM,Hydrasynth,Oscillator,OSC2 VOL,,46,,0,127,,,,,0-based,,
ASM,Hydrasynth,Oscillator,OSC2 PAN,,47,,0,127,,,,,0-based,,
ASM,Hydrasynth,Oscillator,OSC3 VOL,,48,,0,127,,,,,0-based,,
ASM,Hydrasynth,Oscillator,OSC3 PAN,,49,,0,127,,,,,0-based,,
ASM,Hydrasynth,Oscillator,OSC3 F Rate,,114,,0,127,,,,,0-based,,
ASM,Hydrasynth,Oscillator,Noise F Rate,,115,,0,127,,,,,0-based,,
ASM,Hydrasynth,Oscillator,Ring MOD F Rate,,116,,0,127,,,,,0-based,,
ASM,Hydrasynth,Oscillator,OSC1 F Rate,,118,,0,127,,,,,0-based,,
ASM,Hydrasynth,Oscillator,OSC2 F Rate,,119,,0,127,,,,,0-based,,
ASM,Hydrasynth,Mutator,MUT1 Ratio,,29,,0,127,,,,,0-based,,
ASM,Hydrasynth,Mutator,MUT1 Depth,,30,,0,127,,,,,0-based,,
ASM,Hydrasynth,Mutator,MUT1 DRY WET,,31,,0,127,,,,,0-based,,
ASM,Hydrasynth,Mutator,MUT2 Ratio,,33,,0,127,,,,,0-based,,
ASM,Hydrasynth,Mutator,MUT2 Depth,,34,,0,127,,,,,0-based,,
ASM,Hydrasynth,Mutator,MUT2 DRY WET,,35,,0,127,,,,,0-based,,
ASM,Hydrasynth,Mutator,MUT3 Ratio,,36,,0,127,,,,,0-based,,
ASM,Hydrasynth,Mutator,MUT3 Depth,,37,,0,127,,,,,0-based,,
ASM,Hydrasynth,Mutator,MUT3 DRY WET,,39,,0,127,,,,,0-based,,
ASM,Hydrasynth,Mutator,MUT4 Ratio,,40,,0,127,,,,,0-based,,
ASM,Hydrasynth,Mutator,MUT4 Depth,,41,,0,127,,,,,0-based,,
ASM,Hydrasynth,Mutator,MUT4 DRY WET,,42,,0,127,,,,,0-based,,
ASM,Hydrasynth,Oscillator,OSC1 Wavscan,,24,,0,127,,,,,0-based,,
ASM,Hydrasynth,Oscillator,OSC1 Cent,,111,,0,127,,,,,0-based,,
ASM,Hydrasynth,Oscillator,OSC2 WAV Scan,,26,,0,127,,,,,0-based,,
ASM,Hydrasynth,Oscillator,OSC2 Cent,,112,,0,127,,,,,0-based,,
ASM,Hydrasynth,Oscillator,OSC3 Cent,,113,,0,127,,,,,0-based,,
ASM,Hydrasynth,Pre/post,Post Param1,,68,,0,127,,,,,0-based,,
ASM,Hydrasynth,Pre/post,Post Param2,,69,,0,127,,,,,0-based,,
ASM,Hydrasynth,Pre/post,Post MIX,,94,,0,127,,,,,0-based,,
ASM,Hydrasynth,Pre/post,PRE Param1,,12,,0,127,,,,,0-based,,
ASM,Hydrasynth,Pre/post,PRE Param2,,13,,0,127,,,,,0-based,,
ASM,Hydrasynth,Pre/post,PRE MIX,,93,,0,127,,,,,0-based,,
ASM,Hydrasynth,Effects,Reverb Time,,65,,0,127,,,,,0-based,,
ASM,Hydrasynth,Effects,Reverb Tone,,67,,0,127,,,,,0-based,,
ASM,Hydrasynth,Effects,Reverb DRY WET,,91,,0,127,,,,,0-based,,
ASM,Hydrasynth,General,Mod wheel,,1,,0,127,,,,,0-based,,
ASM,Hydrasynth,General,Volume,,7,,0,127,,,,,0-based,,
ASM,Hydrasynth,General,EXP Pedal,,11,,0,127,,,,,0-based,,
ASM,Hydrasynth,General,SUS Pedal,,64,,0,127,,,,,0-based,,
ASM,Hydrasynth,General,Note OFF,,123,,0,127,,,,,0-based,,
ASM,Hydrasynth,General,Glide Time,,5,,0,127,,,,,0-based,,
ASM,Hydrasynth,General,Glide,,66,,0,127,,,,,0-based,,
ASM,Hydrasynth,General,Detune,,95,,0,127,,,,,0-based,,
ASM,Hydrasynth,General,ST Width,,117,,0,127,,,,,0-based,,
