manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,orientation,notes,usage
Access,Virus TI,General,MOD Wheel,,1,,0,127,,,,,0-based,,
Access,Virus TI,General,Breath CTL,,2,,0,127,,,,,0-based,,
Access,Virus TI,General,Foot CTL,,4,,0,127,,,,,0-based,,
Access,Virus TI,General,Glide Time,,5,,0,127,,,,,0-based,,
Access,Virus TI,General,Volume,,91,,0,127,,,,,0-based,,
Access,Virus TI,General,Balance,,8,,0,127,,,,,0-based,,
Access,Virus TI,General,PAN,,10,,0,127,,,,,0-based,,
Access,Virus TI,General,Expression,,11,,0,127,,,,,0-based,,
Access,Virus TI,Oscillators,OSC1 Shape,,17,,0,127,,,,,0-based,,
Access,Virus TI,Oscillators,OSC1 Pulsewidth,,18,,0,127,,,,,0-based,,
Access,Virus TI,Oscillators,OSC1 Wave Select,,19,,0,127,,,,,0-based,,
Access,Virus TI,Oscillators,OSC1 Semitone,,20,,0,127,,,,,0-based,,
Access,Virus TI,Oscillators,OSC1 Keyboard,,21,,0,127,,,,,0-based,,
Access,Virus TI,Oscillators,OSC2 Shape,,22,,0,127,,,,,0-based,,
Access,Virus TI,Oscillators,OSC2 Pulsewidth,,23,,0,127,,,,,0-based,,
Access,Virus TI,Oscillators,OSC2 Wave Select,,24,,0,127,,,,,0-based,,
Access,Virus TI,Oscillators,OSC2 Semitone,,25,,0,127,,,,,0-based,,
Access,Virus TI,Oscillators,OSC2 Detune,,26,,0,127,,,,,0-based,,
Access,Virus TI,Oscillators,OSC2 FM Amount,,27,,0,127,,,,,0-based,,
Access,Virus TI,Oscillators,OSC2 Sync,,28,,0,127,,,,,0-based,,
Access,Virus TI,Oscillators,OSC2 Filter EG AMT,,29,,0,127,,,,,0-based,,
Access,Virus TI,Filter,Filter FM EG AMT,,30,,0,127,,,,,0-based,,
Access,Virus TI,Oscillators,OSC2 Keyboard,,31,,0,127,,,,,0-based,,
Access,Virus TI,,Bank Select,,32,,0,127,,,,,0-based,,
Access,Virus TI,Oscillators,OSC Balance,,33,,0,127,,,,,0-based,,
Access,Virus TI,,Subosc Volume,,34,,0,127,,,,,0-based,,
Access,Virus TI,,Subosc Shape,,35,,0,127,,,,,0-based,,
Access,Virus TI,Oscillators,OSC Mainvolume,,36,,0,127,,,,,0-based,,
Access,Virus TI,,Noise Volume,,37,,0,127,,,,,0-based,,
Access,Virus TI,,Ringmod Volume,,38,,0,127,,,,,0-based,,
Access,Virus TI,,Noise Color,,39,,0,127,,,,,0-based,,
Access,Virus TI,Filter,Filter1 Cutoff,,40,,0,127,,,,,0-based,,
Access,Virus TI,Filter,Filter2 Cutoff,,41,,0,127,,,,,0-based,,
Access,Virus TI,Filter,Filter1 Resonance,,42,,0,127,,,,,0-based,,
Access,Virus TI,Filter,Filter2 Resonance,,43,,0,127,,,,,0-based,,
Access,Virus TI,Filter,Filter1 EG AMT,,44,,0,127,,,,,0-based,,
Access,Virus TI,Filter,Filter2 EG AMT,,45,,0,127,,,,,0-based,,
Access,Virus TI,Filter,Filter1 Keyboard AMT,,46,,0,127,,,,,0-based,,
Access,Virus TI,Filter,Filter2 Keyboard AMT,,47,,0,127,,,,,0-based,,
Access,Virus TI,Filter,Filter Balance,,48,,0,127,,,,,0-based,,
Access,Virus TI,,Saturation Curve,,49,,0,127,,,,,0-based,,
Access,Virus TI,Filter,Filter1 Mode,,51,,0,127,,,,,0-based,,
Access,Virus TI,Filter,Filter2 Mode,,52,,0,127,,,,,0-based,,
Access,Virus TI,Filter,Filter Routing,,53,,0,127,,,,,0-based,,
Access,Virus TI,Filter,Filter EG Attack,,54,,0,127,,,,,0-based,,
Access,Virus TI,Filter,Filter EG Decay,,55,,0,127,,,,,0-based,,
