manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,cc_default_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,nrpn_default_value,orientation,notes,usage
Arturia,AstroLab 61,MIDI,Mod Wheel,,1,,0,127,,,,,,,0-based,Sending/Receiving: Always / Always,
Arturia,AstroLab 61,Master,Master Volume,,7,,0,127,,,,,,,0-based,Sending/Receiving: Never / Never,
Arturia,AstroLab 61,Master,Expression,,11,,0,127,,,,,,,0-based,Sending/Receiving: Always / Always,
Arturia,AstroLab 61,Master,Aux 1,,12,,0,127,,,,,,,0-based,Sending/Receiving: Always / Always,
Arturia,AstroLab 61,Master,Aux 2,,13,,0,127,,,,,,,0-based,Sending/Receiving: Always / Always,
Arturia,AstroLab 61,Master,Reverb,,16,,0,127,,,,,,,0-based,Sending/Receiving: Not linked / Always,
Arturia,AstroLab 61,Master,FX B,,18,,0,127,,,,,,,0-based,Sending/Receiving: Not linked / Always,
Arturia,AstroLab 61,Master,Delay,,19,,0,127,,,,,,,0-based,Sending/Receiving: Always / Always,
Arturia,AstroLab 61,Pedals,Sustain,,64,,0,127,,,,,,,0-based,Sending/Receiving: Always / Always,
Arturia,AstroLab 61,Pedals,Timbre,,71,,0,127,,,,,,,0-based,Sending/Receiving: Not linked / Always,
Arturia,AstroLab 61,Pedals,Fader 4,,72,,0,127,,,,,,,0-based,Sending/Receiving: n/a / Always,
Arturia,AstroLab 61,Pedals,Fader 1,,73,,0,127,,,,,,,0-based,Sending/Receiving: n/a. / Always,
Arturia,AstroLab 61,Instrument,Brightness,,74,,0,127,,,,,,,0-based,Sending/Receiving: Not linked / Always,
Arturia,AstroLab 61,Instrument,Fader 2,,75,,0,127,,,,,,,0-based,Sending/Receiving: n/a / Always,
Arturia,AstroLab 61,Instrument,Time,,76,,0,127,,,,,,,0-based,Sending/Receiving: Not linked / Always,
Arturia,AstroLab 61,Instrument,Movement,,77,,0,127,,,,,,,0-based,Sending/Receiving: Not linked / Always,
Arturia,AstroLab 61,Instrument,Fader 3,,79,,0,127,,,,,,,0-based,Sending/Receiving: n/a / Always,
Arturia,AstroLab 61,Instrument,Fader 5,,80,,0,127,,,,,,,0-based,Sending/Receiving: n/a / Always,
Arturia,AstroLab 61,Instrument,Fader 6,,81,,0,127,,,,,,,0-based,Sending/Receiving: n/a / Always,
Arturia,AstroLab 61,Instrument,Fader 7,,82,,0,127,,,,,,,0-based,Sending/Receiving: n/a / Always,
Arturia,AstroLab 61,Instrument,Fader 8,,83,,0,127,,,,,,,0-based,Sending/Receiving: n/a / Always,
Arturia,AstroLab 61,Instrument,Fader 9,,85,,0,127,,,,,,,0-based,Sending/Receiving: n/a / Always,
Arturia,AstroLab 61,Effects,FX A,,93,,0,127,,,,,,,0-based,Sending/Receiving: Not linked / Always,
Arturia,AstroLab 61,Functions,Previous Preset,,102,,0,127,,,,,,,0-based,Sending/Receiving: Never / Always,
Arturia,AstroLab 61,Functions,Next Preset,,103,,0,127,,,,,,,0-based,Sending/Receiving: Never / Always,
Arturia,AstroLab 61,Functions,Previous Song,,104,,0,127,,,,,,,0-based,Sending/Receiving: Never / Always,
Arturia,AstroLab 61,Functions,Next Song,,105,,0,127,,,,,,,0-based,Sending/Receiving: Never / Always,
Arturia,AstroLab 61,Functions,Arp On/Off,,106,,0,127,,,,,,,0-based,Sending/Receiving: Never / Always,
Arturia,AstroLab 61,Functions,Arp Hold,,107,,0,127,,,,,,,0-based,Sending/Receiving: Never / Always,
Arturia,AstroLab 61,Functions,Start Record,,108,,0,127,,,,,,,0-based,Sending/Receiving: Never / Always,
Arturia,AstroLab 61,Functions,Play / Stop,,109,,0,127,,,,,,,0-based,Sending/Receiving: Never / Always,
Arturia,AstroLab 61,Functions,Tap Tempo,,110,,0,127,,,,,,,0-based,Sending/Receiving: Never / Always,
Arturia,AstroLab 61,Functions,Rotary Fast On/Off,,111,,0,127,,,,,,,0-based,Sending/Receiving: Never / Always,
Arturia,AstroLab 61,Functions,FX A On/Off,,112,,0,127,,,,,,,0-based,Sending/Receiving: Never / Always,
Arturia,AstroLab 61,Functions,FX B On/Off,,113,,0,127,,,,,,,0-based,Sending/Receiving: Never / Always,
Arturia,AstroLab 61,Functions,Delay On/Off,,114,,0,127,,,,,,,0-based,Sending/Receiving: Never / Always,
Arturia,AstroLab 61,Functions,Reverb On/Off,,115,,0,127,,,,,,,0-based,Sending/Receiving: Never / Always,
