manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,cc_default_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,nrpn_default_value,orientation,notes,usage
Arturia,MicroFreak,General,Glide,,5,,0,127,,,,,,,0-based,,
Arturia,MicroFreak,Oscillator,Type,,9,,0,127,,,,,,,0-based,,0-11: Basic Waves; 12-16: SuperWave; 17-22: Wavetable; 23-27: Harmo; 28-33: Karplus St; 34-38: V. Analog; 39-44: Waveshaper; 45-49: Two Op FM; 50-55: Formant; 56-60: Chords; 61-66: Speech; 67-71: Modal; 72-77: Noise; 78-82: Bass; 83-88: SawX; 89-93: Harm; 94-99: WaveUser; 100-104: Sample; 105-110: ScanGrains; 111-115: CloudGrains; 116-121: HitGrains; 122-127: Vocoder
Arturia,MicroFreak,Oscillator,Wave,,10,,0,127,,,,,,,0-based,,
Arturia,MicroFreak,Oscillator,Timbre,,12,,0,127,,,,,,,0-based,,
Arturia,MicroFreak,Oscillator,Shape,,13,,0,127,,,,,,,0-based,,
Arturia,MicroFreak,Filter,Cutoff,,23,,0,127,,,,,,,0-based,,
Arturia,MicroFreak,Filter,Resonance,,83,,0,127,,,,,,,0-based,,
Arturia,MicroFreak,Cycling envelope,Cycling env rise,,102,,0,127,,,,,,,0-based,,
Arturia,MicroFreak,Cycling envelope,Cycling env fall,,103,,0,127,,,,,,,0-based,,
Arturia,MicroFreak,Cycling envelope,Cycling env hold,,28,,0,127,,,,,,,0-based,,
Arturia,MicroFreak,Cycling envelope,Cycling env amount,,24,,0,127,,,,,,,0-based,,
Arturia,MicroFreak,Arpeggiator/sequencer,ARP/SEQ rate (free),,91,,0,127,,,,,,,0-based,,
Arturia,MicroFreak,Arpeggiator/sequencer,ARP/SEQ rate (sync),,92,,0,127,,,,,,,0-based,,
Arturia,MicroFreak,LFO,LFO rate (free),,93,,0,127,,,,,,,0-based,,
Arturia,MicroFreak,LFO,LFO rate (sync),,94,,0,127,,,,,,,0-based,,
Arturia,MicroFreak,Envelope,Envelope attack,,105,,0,127,,,,,,,0-based,,
Arturia,MicroFreak,Envelope,Envelope decay,,106,,0,127,,,,,,,0-based,,
Arturia,MicroFreak,Envelope,Envelope sustain,,29,,0,127,,,,,,,0-based,,
Arturia,MicroFreak,Envelope,Filter amount,,26,,0,127,,,,,,,0-based,,
Arturia,MicroFreak,Keyboard,Keyboard hold button (toggle),,64,,0,127,,,,,,,0-based,,
Arturia,MicroFreak,Keyboard,Keyboard spice,,2,,0,127,,,,,,,0-based,,
