manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,cc_default_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,nrpn_default_value,orientation,notes,usage
Arturia,PolyBrute 12,Oscillator 1,Tune,,66,,0,127,,,,,,,centered,,
Arturia,PolyBrute 12,Oscillator 1,Metalizer,,70,,0,127,,,,,,,0-based,,
Arturia,PolyBrute 12,Oscillator 1,Pulse width,,69,,0,127,,,,,,,0-based,,
Arturia,PolyBrute 12,Oscillator 1,Sync 2 > 1,,65,,0,127,,,,,,,0-based,,
Arturia,PolyBrute 12,Oscillator 1,Sawtooth/Triangle mix,,17,,0,127,,,,,,,0-based,,
Arturia,PolyBrute 12,Oscillator 1,Sawtooth/Square mix,,12,,0,127,,,,,,,0-based,,
Arturia,PolyBrute 12,Oscillator 2,Tune,,72,,0,127,,,,,,,centered,,
Arturia,PolyBrute 12,Oscillator 2,Sub-oscillator mix,,14,,0,127,,,,,,,0-based,,
Arturia,PolyBrute 12,Oscillator 2,Pulse width,,75,,0,127,,,,,,,0-based,,
Arturia,PolyBrute 12,Oscillator 2,Frequency modulation 2 > 1,,77,,0,127,,,,,,,0-based,,
Arturia,PolyBrute 12,Oscillator 2,Sawtooth/Triangle mix,,15,,0,127,,,,,,,0-based,,
Arturia,PolyBrute 12,Oscillator 2,Sawtooth/Square mix,,16,,0,127,,,,,,,0-based,,
Arturia,PolyBrute 12,Noise,Color,,22,,0,127,,,,,,,0-based,,
Arturia,PolyBrute 12,Mixer,Oscillator 1 level,,18,,0,127,,,,,,,0-based,,
Arturia,PolyBrute 12,Mixer,Oscillator 2 level,,19,,0,127,,,,,,,0-based,,
Arturia,PolyBrute 12,Mixer,Noise level,,21,,0,127,,,,,,,0-based,,
Arturia,PolyBrute 12,Filter frequency modulation,Oscillator 2 > Filter 1,,79,,0,127,,,,,,,0-based,,
Arturia,PolyBrute 12,Filter frequency modulation,Noise > Filter 2,,80,,0,127,,,,,,,0-based,,
Arturia,PolyBrute 12,Filters,Master cutoff,,27,,0,127,,,,,,,0-based,,
Arturia,PolyBrute 12,Filters,Key track,,71,,0,127,,,,,,,0-based,,
Arturia,PolyBrute 12,Filter 1 (Steiner),Cutoff,,23,,0,127,,,,,,,0-based,,
Arturia,PolyBrute 12,Filter 1 (Steiner),Resonance,,83,,0,127,,,,,,,0-based,,
Arturia,PolyBrute 12,Filter 1 (Steiner),Brute factor,,82,,0,127,,,,,,,0-based,,
Arturia,PolyBrute 12,Filter 1 (Steiner),Type,,81,,0,127,,,,,,,0-based,,
Arturia,PolyBrute 12,Filter 1 (Steiner),Envelope amount,,24,,0,127,,,,,,,centered,,
Arturia,PolyBrute 12,Filter 1 (Steiner),Level,,7,,0,127,,,,,,,0-based,,
Arturia,PolyBrute 12,Filter 2 (Ladder),Cutoff,,25,,0,127,,,,,,,0-based,,
Arturia,PolyBrute 12,Filter 2 (Ladder),Resonance,,87,,0,127,,,,,,,0-based,,
