manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,cc_default_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,nrpn_default_value,orientation,notes,usage
Arturia,PolyBrute,Oscillator 1,Tune,,66,,0,127,,,,,,,centered,,
Arturia,PolyBrute,Oscillator 1,Metalizer,,70,,0,127,,,,,,,0-based,,
Arturia,PolyBrute,Oscillator 1,Pulse width,,69,,0,127,,,,,,,0-based,,
Arturia,PolyBrute,Oscillator 1,Sync,,65,,0,127,,,,,,,0-based,,
Arturia,PolyBrute,Oscillator 1,Sawtooth/Triangle mix,,10,,0,127,,,,,,,0-based,,
Arturia,PolyBrute,Oscillator 1,Sawtooth/Square mix,,12,,0,127,,,,,,,0-based,,
Arturia,PolyBrute,Oscillator 2,Tune,,72,,0,127,,,,,,,centered,,
Arturia,PolyBrute,Oscillator 2,Sub-oscillator mix,,14,,0,127,,,,,,,0-based,,
Arturia,PolyBrute,Oscillator 2,Pulse width,,75,,0,127,,,,,,,0-based,,
Arturia,PolyBrute,Oscillator 2,Frequency modulation 2 > 1,,77,,0,127,,,,,,,0-based,,
Arturia,PolyBrute,Oscillator 2,Sawtooth/Triangle mix,,15,,0,127,,,,,,,0-based,,
Arturia,PolyBrute,Oscillator 2,Sawtooth/Square mix,,16,,0,127,,,,,,,0-based,,
Arturia,PolyBrute,Noise,Color,,22,,0,127,,,,,,,0-based,,
Arturia,PolyBrute,Mixer,Oscillator 1 level,,18,,0,127,,,,,,,0-based,,
Arturia,PolyBrute,Mixer,Oscillator 2 level,,19,,0,127,,,,,,,0-based,,
Arturia,PolyBrute,Mixer,Noise level,,21,,0,127,,,,,,,0-based,,
Arturia,PolyBrute,Steiner filter,Cutoff,,23,,0,127,,,,,,,0-based,,
Arturia,PolyBrute,Steiner filter,Resonance,,83,,0,127,,,,,,,0-based,,
Arturia,PolyBrute,Steiner filter,Brute Factor,,82,,0,127,,,,,,,0-based,,
Arturia,PolyBrute,Steiner filter,Filter mode,,81,,0,127,,,,,,,0-based,,
Arturia,PolyBrute,Steiner filter,Filter envelope amount,,24,,0,127,,,,,,,centered,,
Arturia,PolyBrute,Steiner filter,Level,,7,,0,127,,,,,,,0-based,,
Arturia,PolyBrute,Ladder filter,Cutoff,,25,,0,127,,,,,,,0-based,,
Arturia,PolyBrute,Ladder filter,Resonance,,87,,0,127,,,,,,,0-based,,
Arturia,PolyBrute,Ladder filter,Distortion,,85,,0,127,,,,,,,0-based,,
Arturia,PolyBrute,Ladder filter,Series/Parallel,,86,,0,127,,,,,,,0-based,,
Arturia,PolyBrute,Ladder filter,Filter envelope amount,,26,,0,127,,,,,,,centered,,
Arturia,PolyBrute,Ladder filter,Level,,8,,0,127,,,,,,,0-based,,
Arturia,PolyBrute,Filters,Master cutoff,,27,,0,127,,,,,,,centered,,
Arturia,PolyBrute,Filters,Key tracking,,71,,0,127,,,,,,,0-based,,
Arturia,PolyBrute,Filter FM,Oscillator 2 to filter 1,,79,,0,127,,,,,,,0-based,,
Arturia,PolyBrute,Filter FM,Noise to filter 2,,80,,0,127,,,,,,,0-based,,
Arturia,PolyBrute,Filter envelope,Velocity,,94,,0,127,,,,,,,0-based,,
Arturia,PolyBrute,Filter envelope,Attack,,102,,0,127,,,,,,,0-based,,
