manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,cc_default_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,nrpn_default_value,orientation,notes,usage
Beetlecrab.audio,Tempera,Emitters,Active emitter,,10,,,,,,,,,,0-based,,
Beetlecrab.audio,Tempera,Emitters,Place emitter,,11,,,,,,,,,,0-based,,
Beetlecrab.audio,Tempera,Emitters,Remove emitter,,12,,,,,,,,,,0-based,,
Beetlecrab.audio,Tempera,Envelope,Attack,,13,,,,,,,,,,0-based,,
Beetlecrab.audio,Tempera,Envelope,Decay,,14,,,,,,,,,,0-based,,
Beetlecrab.audio,Tempera,Envelope,Sustain,,15,,,,,,,,,,0-based,,
Beetlecrab.audio,Tempera,Envelope,Release,,16,,,,,,,,,,0-based,,
Beetlecrab.audio,Tempera,Reverb,Reverb size,,17,,,,,,,,,,0-based,,
Beetlecrab.audio,Tempera,Reverb,Reverb color,,18,,,,,,,,,,0-based,,
Beetlecrab.audio,Tempera,Reverb,Reverb mix,,19,,,,,,,,,,0-based,,
Beetlecrab.audio,Tempera,Delay,Delay feedback,,20,,,,,,,,,,0-based,,
Beetlecrab.audio,Tempera,Delay,Delay time,,21,,,,,,,,,,0-based,,
Beetlecrab.audio,Tempera,Delay,Delay color,,22,,,,,,,,,,0-based,,
Beetlecrab.audio,Tempera,Delay,Delay mix,,23,,,,,,,,,,0-based,,
Beetlecrab.audio,Tempera,Filter,Filter cutoff,,24,,,,,,,,,,0-based,,
Beetlecrab.audio,Tempera,Filter,Filter resonance,,25,,,,,,,,,,0-based,,
Beetlecrab.audio,Tempera,Chorus,Chorus depth,,26,,,,,,,,,,0-based,,
Beetlecrab.audio,Tempera,Chorus,Chorus speed,,27,,,,,,,,,,0-based,,
Beetlecrab.audio,Tempera,Chorus,Chorus flange,,28,,,,,,,,,,0-based,,
Beetlecrab.audio,Tempera,Chorus,Chorus mix,,29,,,,,,,,,,0-based,,
Beetlecrab.audio,Tempera,Tracks,Track 1 volume,,30,,,,,,,,,,0-based,,
Beetlecrab.audio,Tempera,Tracks,Track 2 volume,,31,,,,,,,,,,0-based,,
Beetlecrab.audio,Tempera,Tracks,Track 3 volume,,33,,,,,,,,,,0-based,,
Beetlecrab.audio,Tempera,Tracks,Track 4 volume,,34,,,,,,,,,,0-based,,
Beetlecrab.audio,Tempera,Tracks,Track 5 volume,,35,,,,,,,,,,0-based,,
Beetlecrab.audio,Tempera,Tracks,Track 6 volume,,36,,,,,,,,,,0-based,,
Beetlecrab.audio,Tempera,Tracks,Track 7 volume,,37,,,,,,,,,,0-based,,
Beetlecrab.audio,Tempera,Tracks,Track 8 volume,,39,,,,,,,,,,0-based,,
Beetlecrab.audio,Tempera,Emitter 1,Volume,,40,,,,,,,,,,0-based,,
Beetlecrab.audio,Tempera,Emitter 1,"Grain length, cell",,41,,,,,,,,,,0-based,,
Beetlecrab.audio,Tempera,Emitter 1,"Grain length, note",,42,,,,,,,,,,0-based,,
Beetlecrab.audio,Tempera,Emitter 1,Grain density,,43,,,,,,,,,,0-based,,
Beetlecrab.audio,Tempera,Emitter 1,Grain shape,,44,,,,,,,,,,0-based,,
Beetlecrab.audio,Tempera,Emitter 1,Grain shape attack,,45,,,,,,,,,,0-based,,
Beetlecrab.audio,Tempera,Emitter 1,Grain pan,,46,,,,,,,,,,centered,,
Beetlecrab.audio,Tempera,Emitter 1,Grain tune spread,,47,,,,,,,,,,0-based,,
Beetlecrab.audio,Tempera,Emitter 1,Octave,,48,,,,,,,,,,0-based,,
Beetlecrab.audio,Tempera,Emitter 1,Relative X,,49,,,,,,,,,,0-based,,
Beetlecrab.audio,Tempera,Emitter 1,Relative Y,,50,,,,,,,,,,0-based,,
Beetlecrab.audio,Tempera,Emitter 1,Spray X,,51,,,,,,,,,,0-based,,
Beetlecrab.audio,Tempera,Emitter 1,Spray Y,,52,,,,,,,,,,0-based,,
Beetlecrab.audio,Tempera,Emitter 1,Tone filter width,,53,,,,,,,,,,0-based,,
Beetlecrab.audio,Tempera,Emitter 1,Tone filter center,,54,,,,,,,,,,0-based,,
Beetlecrab.audio,Tempera,Emitter 1,Effects send,,55,,,,,,,,,,0-based,,
Beetlecrab.audio,Tempera,Emitter 2,Volume,,56,,,,,,,,,,0-based,,
Beetlecrab.audio,Tempera,Emitter 2,"Grain length, cell",,57,,,,,,,,,,0-based,,
Beetlecrab.audio,Tempera,Emitter 2,"Grain length, note",,59,,,,,,,,,,0-based,,
Beetlecrab.audio,Tempera,Emitter 2,Grain density,,50,,,,,,,,,,0-based,,
Beetlecrab.audio,Tempera,Emitter 2,Grain shape,,60,,,,,,,,,,0-based,,
Beetlecrab.audio,Tempera,Emitter 2,Grain shape attack,,61,,,,,,,,,,0-based,,
Beetlecrab.audio,Tempera,Emitter 2,Grain pan,,62,,,,,,,,,,centered,,
Beetlecrab.audio,Tempera,Emitter 2,Grain tune spread,,63,,,,,,,,,,0-based,,
Beetlecrab.audio,Tempera,Emitter 2,Octave,,65,,,,,,,,,,0-based,,
Beetlecrab.audio,Tempera,Emitter 2,Relative X,,67,,,,,,,,,,0-based,,
Beetlecrab.audio,Tempera,Emitter 2,Relative Y,,68,,,,,,,,,,0-based,,
Beetlecrab.audio,Tempera,Emitter 2,Spray X,,69,,,,,,,,,,0-based,,
Beetlecrab.audio,Tempera,Emitter 2,Spray Y,,70,,,,,,,,,,0-based,,
Beetlecrab.audio,Tempera,Emitter 2,Tone filter width,,72,,,,,,,,,,0-based,,
Beetlecrab.audio,Tempera,Emitter 2,Tone filter center,,73,,,,,,,,,,0-based,,
Beetlecrab.audio,Tempera,Emitter 2,Effects send,,75,,,,,,,,,,0-based,,
Beetlecrab.audio,Tempera,Emitter 3,Volume,,76,,,,,,,,,,0-based,,
Beetlecrab.audio,Tempera,Emitter 3,"Grain length, cell",,77,,,,,,,,,,0-based,,
Beetlecrab.audio,Tempera,Emitter 3,"Grain length, note",,78,,,,,,,,,,0-based,,
Beetlecrab.audio,Tempera,Emitter 3,Grain density,,79,,,,,,,,,,0-based,,
Beetlecrab.audio,Tempera,Emitter 3,Grain shape,,80,,,,,,,,,,0-based,,
Beetlecrab.audio,Tempera,Emitter 3,Grain shape attack,,81,,,,,,,,,,0-based,,
Beetlecrab.audio,Tempera,Emitter 3,Grain pan,,82,,,,,,,,,,centered,,
