manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,orientation,notes,usage
Behringer,Deepmind 12,,VCF Freq,,29,,0,127,,,,,0-based,,
Behringer,Deepmind 12,,VCF Reso,,30,,0,127,,,,,0-based,,
Behringer,Deepmind 12,,VCF MOD,,31,,0,127,,,,,0-based,,
Behringer,Deepmind 12,,LFO1 Rate,,16,,0,127,,,,,0-based,,
Behringer,Deepmind 12,,LFO1 DLY,,17,,0,127,,,,,0-based,,
Behringer,Deepmind 12,,LFO2 Rate,,18,,0,127,,,,,0-based,,
Behringer,Deepmind 12,,LFO2 DLY,,19,,0,127,,,,,0-based,,
Behringer,Deepmind 12,,OSC1 Pmod,,20,,0,127,,,,,0-based,,
Behringer,Deepmind 12,,OSC1 PWM,,21,,0,127,,,,,0-based,,
Behringer,Deepmind 12,,OSC2 Pmod,,23,,0,127,,,,,0-based,,
Behringer,Deepmind 12,,OSC2 Tmod,,24,,0,127,,,,,0-based,,
Behringer,Deepmind 12,,OSC2 Pitch,,25,,0,127,,,,,0-based,,
Behringer,Deepmind 12,,OSC2 LVL,,26,,0,127,,,,,0-based,,
Behringer,Deepmind 12,,Nois LVL,,27,,0,127,,,,,0-based,,
Behringer,Deepmind 12,,Unisdetn,,28,,0,127,,,,,0-based,,
Behringer,Deepmind 12,,VCA D,,39,,0,127,,,,,0-based,,
Behringer,Deepmind 12,,VCA S,,44,,0,127,,,,,0-based,,
Behringer,Deepmind 12,,VCA R,,41,,0,127,,,,,0-based,,
Behringer,Deepmind 12,,VCF A,,42,,0,127,,,,,0-based,,
Behringer,Deepmind 12,,VCF D,,43,,0,127,,,,,0-based,,
Behringer,Deepmind 12,,VCF R,,45,,0,127,,,,,0-based,,
Behringer,Deepmind 12,,MOD A,,46,,0,127,,,,,0-based,,
Behringer,Deepmind 12,,MOD D,,47,,0,127,,,,,0-based,,
Behringer,Deepmind 12,,MOD S,,48,,0,127,,,,,0-based,,
Behringer,Deepmind 12,,MOD R,,49,,0,127,,,,,0-based,,
Behringer,Deepmind 12,,Bank MSB,,,,0,127,,,,,0-based,,
Behringer,Deepmind 12,,Modwheel,,1,,0,127,,,,,0-based,,
Behringer,Deepmind 12,,Breath,,2,,0,127,,,,,0-based,,
Behringer,Deepmind 12,,Foot MSB,,4,,0,127,,,,,0-based,,
Behringer,Deepmind 12,,Porta,,5,,0,127,,,,,0-based,,
Behringer,Deepmind 12,,Data MSB,,6,,0,127,,,,,0-based,,
Behringer,Deepmind 12,,Volume,,7,,0,127,,,,,0-based,,
Behringer,Deepmind 12,,Balance,,8,,0,127,,,,,0-based,,
Behringer,Deepmind 12,,PAN,,10,,0,127,,,,,0-based,,
Behringer,Deepmind 12,,Exprsson,,11,,0,127,,,,,0-based,,
Behringer,Deepmind 12,,ARP Rate,,12,,0,127,,,,,0-based,,
Behringer,Deepmind 12,,ARP Gate,,13,,0,127,,,,,0-based,,
Behringer,Deepmind 12,,Bank LSB,,32,,0,127,,,,,0-based,,
Behringer,Deepmind 12,,VCF Lfom,,33,,0,127,,,,,0-based,,
Behringer,Deepmind 12,,VCF Keym,,34,,0,127,,,,,0-based,,
Behringer,Deepmind 12,,HPF Freq,,35,,0,127,,,,,0-based,,
Behringer,Deepmind 12,,VCA LVL,,36,,0,127,,,,,0-based,,
Behringer,Deepmind 12,,VCA A,,37,,0,127,,,,,0-based,,
Behringer,Deepmind 12,,Data LSB,,38,,0,127,,,,,0-based,,
Behringer,Deepmind 12,,VCA Acrv,,50,,0,127,,,,,0-based,,
Behringer,Deepmind 12,,VCA Dcrv,,51,,0,127,,,,,0-based,,
Behringer,Deepmind 12,,VCA Scrv,,56,,0,127,,,,,0-based,,
Behringer,Deepmind 12,,VCA Rcrv,,53,,0,127,,,,,0-based,,
Behringer,Deepmind 12,,VCF Acrv,,54,,0,127,,,,,0-based,,
Behringer,Deepmind 12,,VCF Dcrv,,55,,0,127,,,,,0-based,,
Behringer,Deepmind 12,,VCF Rcrv,,57,,0,127,,,,,0-based,,
Behringer,Deepmind 12,,MOD Acrv,,58,,0,127,,,,,0-based,,
Behringer,Deepmind 12,,MOD Dcrv,,59,,0,127,,,,,0-based,,
Behringer,Deepmind 12,,MOD Scrv,,60,,0,127,,,,,0-based,,
Behringer,Deepmind 12,,MOD Rcrv,,61,,0,127,,,,,0-based,,
Behringer,Deepmind 12,,FX1 PAR1,,62,,0,127,,,,,0-based,,
Behringer,Deepmind 12,,FX1 PAR2,,63,,0,127,,,,,0-based,,
Behringer,Deepmind 12,,Suspedal,,64,,0,127,,,,,0-based,,
Behringer,Deepmind 12,,FX1 PAR3,,65,,0,127,,,,,0-based,,
Behringer,Deepmind 12,,FX1 PAR4,,66,,0,127,,,,,0-based,,
Behringer,Deepmind 12,,FX1 PAR5,,67,,0,127,,,,,0-based,,
Behringer,Deepmind 12,,FX1 PAR6,,68,,0,127,,,,,0-based,,
Behringer,Deepmind 12,,FX1 PAR7,,69,,0,127,,,,,0-based,,
Behringer,Deepmind 12,,FX1 PAR8,,70,,0,127,,,,,0-based,,
Behringer,Deepmind 12,,FX1 PAR9,,71,,0,127,,,,,0-based,,
Behringer,Deepmind 12,,FX1 PR10,,72,,0,127,,,,,0-based,,
Behringer,Deepmind 12,,FX1 PR11,,73,,0,127,,,,,0-based,,
Behringer,Deepmind 12,,FX1 PR12,,74,,0,127,,,,,0-based,,
Behringer,Deepmind 12,,FX2 PAR1,,75,,0,127,,,,,0-based,,
Behringer,Deepmind 12,,FX2 PAR2,,76,,0,127,,,,,0-based,,
Behringer,Deepmind 12,,FX2 PAR3,,77,,0,127,,,,,0-based,,
Behringer,Deepmind 12,,FX2 PAR4,,78,,0,127,,,,,0-based,,
Behringer,Deepmind 12,,FX2 PAR5,,79,,0,127,,,,,0-based,,
Behringer,Deepmind 12,,FX2 PAR6,,80,,0,127,,,,,0-based,,
Behringer,Deepmind 12,,FX2 PAR7,,81,,0,127,,,,,0-based,,
