manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,cc_default_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,nrpn_default_value,orientation,notes,usage
Behringer,Deepmind 12D,,Bank Select (MSB),,0,,0,127,,,,,,,0-based,,
Behringer,Deepmind 12D,,Modulation Wheel (MSB),,1,,0,127,,,,,,,0-based,,
Behringer,Deepmind 12D,,Breath Controller (MSB),,2,,0,127,,,,,,,0-based,,
Behringer,Deepmind 12D,,Foot Controller (MSB),,4,,0,127,,,,,,,0-based,,
Behringer,Deepmind 12D,,Portamento Time (MSB),,5,,0,127,,,,,,,0-based,,
Behringer,Deepmind 12D,,Data Entry (MSB),,6,,0,127,,,,,,,0-based,,
Behringer,Deepmind 12D,,Channel Volume (MSB),,7,,0,127,,,,,,,0-based,,
Behringer,Deepmind 12D,,Balance (MSB),,8,,0,127,,,,,,,centered,,
Behringer,Deepmind 12D,,Pan (MSB),,10,,0,127,,,,,,,centered,,
Behringer,Deepmind 12D,,Expression (MSB),,11,,0,127,,,,,,,0-based,,
Behringer,Deepmind 12D,,Arpeggiator Rate,,12,,0,127,,,,,,,0-based,Replaces: Effect Control 1 (MSB),
Behringer,Deepmind 12D,,Arpeggiator Gate Time,,13,,0,127,,,,,,,0-based,Replaces: Effect Control 2 (MSB),
Behringer,Deepmind 12D,,LFO 1 Rate,,16,,0,127,,,,,,,0-based,Replaces: General Purpose Controller 1 (MSB),
Behringer,Deepmind 12D,,LFO 1 Delay Time,,17,,0,127,,,,,,,0-based,Replaces: General Purpose Controller 2 (MSB),
Behringer,Deepmind 12D,,LFO 2 Rate,,18,,0,127,,,,,,,0-based,Replaces: General Purpose Controller 3 (MSB),
Behringer,Deepmind 12D,,LFO 2 Delay Time,,19,,0,127,,,,,,,0-based,Replaces: General Purpose Controller 4 (MSB),
Behringer,Deepmind 12D,,OSC1 Pitch Modulation,,20,,0,127,,,,,,,centered,,
Behringer,Deepmind 12D,,OSC1 Pulse Width Modulation,,21,,0,127,,,,,,,0-based,,
Behringer,Deepmind 12D,,OSC 2 Pitch Modulation,,23,,0,127,,,,,,,centered,,
Behringer,Deepmind 12D,,OSC 2 Tone Modulation,,24,,0,127,,,,,,,0-based,,
Behringer,Deepmind 12D,,OSC 2 Pitch,,25,,0,127,,,,,,,centered,,
Behringer,Deepmind 12D,,OSC 2 Level,,26,,0,127,,,,,,,0-based,,
Behringer,Deepmind 12D,,Noise Level,,27,,0,127,,,,,,,0-based,,
Behringer,Deepmind 12D,,Unison Detune,,28,,0,127,,,,,,,centered,,
Behringer,Deepmind 12D,,VCF Frequency,,29,,0,127,,,,,,,0-based,,
Behringer,Deepmind 12D,,VCF Resonance,,30,,0,127,,,,,,,0-based,,
Behringer,Deepmind 12D,,VCF Envelope Modulation,,31,,0,127,,,,,,,0-based,,
Behringer,Deepmind 12D,,Bank Select (LSB),,32,,0,127,,,,,,,0-based,,
Behringer,Deepmind 12D,,VCF LFO Modulation,,33,,0,127,,,,,,,0-based,Replaces: Modulation Wheel (LSB),
Behringer,Deepmind 12D,,VCF Keyboard Modulation,,34,,0,127,,,,,,,0-based,Replaces: Breath Controller (LSB),
Behringer,Deepmind 12D,,HPF Frequency,,35,,0,127,,,,,,,0-based,,
Behringer,Deepmind 12D,,VCA Level,,36,,0,127,,,,,,,0-based,Replaces: Foot Controller (LSB),
Behringer,Deepmind 12D,,VCA Envelope Attack,,37,,0,127,,,,,,,0-based,Replaces: Portamento Time (LSB),
Behringer,Deepmind 12D,,Data Entry (LSB),,38,,0,127,,,,,,,0-based,,
Behringer,Deepmind 12D,,VCA Envelope Decay,,39,,0,127,,,,,,,0-based,Replaces: Channel Volume (LSB),
Behringer,Deepmind 12D,,VCA Envelope Sustain,,40,,0,127,,,,,,,0-based,Replaces: Balance (LSB),
Behringer,Deepmind 12D,,VCA Envelope Release,,41,,0,127,,,,,,,0-based,,
Behringer,Deepmind 12D,,VCF Envelope Attack,,42,,0,127,,,,,,,0-based,,
Behringer,Deepmind 12D,,VCF Envelope Decay,,43,,0,127,,,,,,,0-based,Replaces: Pan (LSB),
Behringer,Deepmind 12D,,VCA Envelope Sustain,,44,,0,127,,,,,,,0-based,Replaces: Expression (LSB),
Behringer,Deepmind 12D,,VCF Envelope Release,,45,,0,127,,,,,,,0-based,Replaces: Effect Control 1 (LSB),
Behringer,Deepmind 12D,,MOD Envelope Attack,,46,,0,127,,,,,,,0-based,Replaces: Effect Control 2 (LSB),
Behringer,Deepmind 12D,,MOD Envelope Decay,,47,,0,127,,,,,,,0-based,,
Behringer,Deepmind 12D,,MOD Envelope Sustain,,48,,0,127,,,,,,,0-based,,
Behringer,Deepmind 12D,,MOD Envelope Release,,49,,0,127,,,,,,,0-based,Replaces: General Purpose Controller 1 (LSB),
Behringer,Deepmind 12D,,VCA Envelope Attack Curve,,50,,0,127,,,,,,,0-based,Replaces: General Purpose Controller 2 (LSB),
Behringer,Deepmind 12D,,VCA Envelope Decay Curve,,51,,0,127,,,,,,,0-based,Replaces: General Purpose Controller 3 (LSB),
Behringer,Deepmind 12D,,VCA Envelope Sustain Curve,,52,,0,127,,,,,,,0-based,Replaces: General Purpose Controller 4 (LSB),
Behringer,Deepmind 12D,,VCA Envelope Release Curve,,53,,0,127,,,,,,,0-based,,
Behringer,Deepmind 12D,,VCF Envelope Attack Curve,,54,,0,127,,,,,,,0-based,,
Behringer,Deepmind 12D,,VCF Envelope Decay Curve,,55,,0,127,,,,,,,0-based,,
Behringer,Deepmind 12D,,VCA Envelope Sustain Curve,,56,,0,127,,,,,,,0-based,,
Behringer,Deepmind 12D,,VCF Envelope Release Curve,,57,,0,127,,,,,,,0-based,,
Behringer,Deepmind 12D,,MOD Envelope Attack Curve,,58,,0,127,,,,,,,0-based,,
Behringer,Deepmind 12D,,MOD Envelope Decay Curve,,59,,0,127,,,,,,,0-based,,
Behringer,Deepmind 12D,,MOD Envelope Sustain Curve,,60,,0,127,,,,,,,0-based,,
Behringer,Deepmind 12D,,MOD Envelope Release Curve,,61,,0,127,,,,,,,0-based,,
Behringer,Deepmind 12D,,Effects Slot 1 Parameter 1,,62,,0,127,,,,,,,0-based,,
Behringer,Deepmind 12D,,Effects Slot 1 Parameter 2,,63,,0,127,,,,,,,0-based,,
Behringer,Deepmind 12D,,Sustain Pedal,,64,,0,127,,,,,,,0-based,,
Behringer,Deepmind 12D,,Effects Slot 1 Parameter 3,,65,,0,127,,,,,,,0-based,Replaces: Portamento On/Off,
Behringer,Deepmind 12D,,Effects Slot 1 Parameter 4,,66,,0,127,,,,,,,0-based,Replaces: Sostenuto,
Behringer,Deepmind 12D,,Effects Slot 1 Parameter 5,,67,,0,127,,,,,,,0-based,Replaces: Soft Pedal,
Behringer,Deepmind 12D,,Effects Slot 1 Parameter 6,,68,,0,127,,,,,,,0-based,Replaces: Legato Footswitch,
Behringer,Deepmind 12D,,Effects Slot 1 Parameter 7,,69,,0,127,,,,,,,0-based,Replaces: Hold 2,
Behringer,Deepmind 12D,,Effects Slot 1 Parameter 8,,70,,0,127,,,,,,,0-based,Replaces: Sound Controller 1 (default: Sound Variation),
Behringer,Deepmind 12D,,Effects Slot 1 Parameter 9,,71,,0,127,,,,,,,0-based,Replaces: Sound Controller 2 (default: Timbre / Harmonic Quality),
Behringer,Deepmind 12D,,Effects Slot 1 Parameter 10,,72,,0,127,,,,,,,0-based,Replaces: Sound Controller 3 (default: Release Time),
