manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,cc_default_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,nrpn_default_value,orientation,notes,usage
Behringer,LM DRUM,Filter,Filter cutoff,Sets the analog filter cutoff frequency,74,,,,,,,,,,0-based,,
Behringer,LM DRUM,Tuning,Bass drum tuning,,75,,,,,,,,,,0-based,,
Behringer,LM DRUM,Tuning,Snare drum tuning,,76,,,,,,,,,,0-based,,
Behringer,LM DRUM,Tuning,Sidestick tuning,,77,,,,,,,,,,0-based,,
Behringer,LM DRUM,Tuning,Closed hi-hat tuning,,78,,,,,,,,,,0-based,,
Behringer,LM DRUM,Tuning,Open hi-hat tuning,,79,,,,,,,,,,0-based,,
Behringer,LM DRUM,Tuning,High tom tuning,,80,,,,,,,,,,0-based,,
Behringer,LM DRUM,Tuning,Mid tom tuning,,81,,,,,,,,,,0-based,,
Behringer,LM DRUM,Tuning,Low tom tuning,,82,,,,,,,,,,0-based,,
Behringer,LM DRUM,Tuning,Ride cymbal tuning,,83,,,,,,,,,,0-based,,
Behringer,LM DRUM,Tuning,Crash cymbal tuning,,84,,,,,,,,,,0-based,,
Behringer,LM DRUM,Tuning,Cabasa tuning,,85,,,,,,,,,,0-based,,
Behringer,LM DRUM,Tuning,Tambourine tuning,,86,,,,,,,,,,0-based,,
Behringer,LM DRUM,Tuning,High conga tuning,,87,,,,,,,,,,0-based,,
Behringer,LM DRUM,Tuning,Low conga tuning,,88,,,,,,,,,,0-based,,
Behringer,LM DRUM,Tuning,Cowbell tuning,,89,,,,,,,,,,0-based,,
Behringer,LM DRUM,Tuning,Claps tuning,,90,,,,,,,,,,0-based,,
