manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,orientation,notes,usage
Behringer,Pro 800,,Banksel,,,,0,127,,,,,0-based,,
Behringer,Pro 800,,MOD Wheel,,1,,0,127,,,,,0-based,,
Behringer,Pro 800,,Breath,,2,,0,127,,,,,0-based,,
Behringer,Pro 800,,Master Tune,,3,,0,127,,,,,0-based,,
Behringer,Pro 800,,Nrpn Data MSB,,6,,0,127,,,,,0-based,,
Behringer,Pro 800,,Mainvolume,,7,,0,127,,,,,0-based,,
Behringer,Pro 800,,Osca Freq,,80,,0,127,,,,,0-based,,
Behringer,Pro 800,,Osca VOL,,81,,0,127,,,,,0-based,,
Behringer,Pro 800,,Oscapw,,82,,0,127,,,,,0-based,,
Behringer,Pro 800,,Oscb Freq,,83,,0,127,,,,,0-based,,
Behringer,Pro 800,,Oscb VOL,,84,,0,127,,,,,0-based,,
Behringer,Pro 800,,Oscbpw,,85,,0,127,,,,,0-based,,
Behringer,Pro 800,,Oscb Fine,,86,,0,127,,,,,0-based,,
Behringer,Pro 800,,VCF Freq,,87,,0,127,,,,,0-based,,
Behringer,Pro 800,,VCF Reso,,88,,0,127,,,,,0-based,,
Behringer,Pro 800,,Vcfen Vamount,,89,,0,127,,,,,0-based,,
Behringer,Pro 800,,VCF REL,,90,,0,127,,,,,0-based,,
Behringer,Pro 800,,VCF SUS,,91,,0,127,,,,,0-based,,
Behringer,Pro 800,,VCF DEC,,92,,0,127,,,,,0-based,,
Behringer,Pro 800,,VCF Atck,,93,,0,127,,,,,0-based,,
Behringer,Pro 800,,VCA REL,,94,,0,127,,,,,0-based,,
Behringer,Pro 800,,VCA SUS,,95,,0,127,,,,,0-based,,
Behringer,Pro 800,,VCA DEC,,100,,0,127,,,,,0-based,,
Behringer,Pro 800,,VCA Atck,,101,,0,127,,,,,0-based,,
Behringer,Pro 800,,Pmod Filter Envamount,,102,,0,127,,,,,0-based,,
Behringer,Pro 800,,Pmod OSC Bamount,,103,,0,127,,,,,0-based,,
Behringer,Pro 800,,LFO Freq,,104,,0,127,,,,,0-based,,
Behringer,Pro 800,,LFO Amount,,105,,0,127,,,,,0-based,,
Behringer,Pro 800,,Glide,,106,,0,127,,,,,0-based,,
Behringer,Pro 800,,VCA VEL,,107,,0,127,,,,,0-based,,
Behringer,Pro 800,,VCF VEL,,108,,0,127,,,,,0-based,,
Behringer,Pro 800,,Moddelay,,109,,0,127,,,,,0-based,,
Behringer,Pro 800,,VIB Freq,,110,,0,127,,,,,0-based,,
Behringer,Pro 800,,VIB AMT,,111,,0,127,,,,,0-based,,
Behringer,Pro 800,,Unison Detune,,112,,0,127,,,,,0-based,,
Behringer,Pro 800,,Noise,,113,,0,127,,,,,0-based,,
Behringer,Pro 800,,Nrpn Data LSB,,38,,0,127,,,,,0-based,,
Behringer,Pro 800,,VCA Aftertouch,,114,,0,127,,,,,0-based,,
