manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,cc_default_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,nrpn_default_value,orientation,notes,usage
Bradshaw Instruments,Drumkid,Group A (randomness),Chance,The probability of extra drum hits being generated,16,,0,127,64,,,,,,0-based,"can be used in conjunction with zoom, midpoint, and range to create drum fills that transition organically from a simple beat",0~127: Chance amount
Bradshaw Instruments,Drumkid,Group A (randomness),Zoom,Chooses which subdivision of the beat should be affected by the randomly generated extra hits,17,,0,127,64,,,,,,0-based,,0~127: Zoom value
Bradshaw Instruments,Drumkid,Group A (randomness),Range,The range of velocities which will be assigned to the random hits,18,,0,127,64,,,,,,0-based,,0~127: Range of velocities
Bradshaw Instruments,Drumkid,Group A (randomness),Midpoint,The average velocity of the randomly generated hits,19,,0,127,64,,,,,,centered,"If you set the midpoint to maximum and have range set at zero, all the randomly generated hits will be at max velocity. Conversely, if you set it at zero, some hits will be muted. Setting it somewhere in the middle (with non-zero range) will add some random hits while reducing the volume of others.",0~127: Midpoint value
Bradshaw Instruments,Drumkid,Group B (effects),Pitch,Alters the playback speed of the samples,20,,0,127,64,,,,,,centered,Will play samples backwards if you turn the knob below halfway,0~63: Backwards; 64: Unchanged; 65~127: Forwards
Bradshaw Instruments,Drumkid,Group B (effects),Crush,Bitcrusher,21,,0,127,64,,,,,,0-based,,0: Clean; 127: Distorted
Bradshaw Instruments,Drumkid,Group B (effects),Crop,"Crops the end of the samples, creating a staccato effect",22,,0,127,64,,,,,,0-based,,0: More cropped; 127: Less cropped
Bradshaw Instruments,Drumkid,Group B (effects),Drop,Mutes some or all of the drum channels,23,,0,127,64,,,,,,centered,"Allows you to quickly ""drop"" everything except the hi-hat and snare, for example, or only retain the kick drum. Broadly, this control has ""treble-y"" channels at one end and ""bass-y"" channels at the other. The setting corresponding to all the channels being audible is somewhere in the middle.",
Bradshaw Instruments,Drumkid,Group C (drone),Drone,Generates a drone which can be mixed with the drum sounds,24,,0,127,64,,,,,,centered,,0~63: Single drone; 64: Muted; 65~127: Two drones (5ths)
Bradshaw Instruments,Drumkid,Group C (drone),Modulate,"The drone can be used to modulate the audio signal from the drums, creating a robotic effect",25,,0,127,64,,,,,,centered,,0~63: 1 Modulator; 64: No effect; 65~127: 2 Modoulators
Bradshaw Instruments,Drumkid,Group C (drone),Tuning,Controls the overall tuning of the drones,26,,0,127,64,,,,,,0-based,,0~127: Drone tuning
Bradshaw Instruments,Drumkid,Group C (drone),Note,"Alter the root note of the drones, in semitone steps over an octave range",27,,0,127,64,,,,,,0-based,,0~127: Drone root
Bradshaw Instruments,Drumkid,Group D (rhythm),Beat,Chooses between a series of basic underlying drum patterns,28,,0,127,64,,,,,,0-based,,0-127: Cycle beat presets
Bradshaw Instruments,Drumkid,Group D (rhythm),Beats/Bar,Alters the time signature of the beat,29,,0,127,64,,,,,,0-based,"1-13 beats per bar. all the way to the right, the time signature will be randomised at the start of each bar",0-127: Cycle beats per bar
Bradshaw Instruments,Drumkid,Group D (rhythm),Swing,Creates a swing feel to a beat by altering the timing of certain hits,30,,0,127,64,,,,,,0-based,,0~42: straight; 43~85: partial swing; 86~127: full (triplet) swing
Bradshaw Instruments,Drumkid,Group D (rhythm),Tempo,Alters the tempo (BPM) of the beat,31,,0,127,64,,,,,,0-based,Will override any tempo previously set using the tap tempo function,0~127: Tempo (BPM)
