manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,cc_default_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,nrpn_default_value,orientation,notes,usage
Chase Bliss,Brothers,Sound control,Gain A,,14,,0,127,,,,,,,0-based,,
Chase Bliss,Brothers,Sound control,Master,,15,,0,127,,,,,,,0-based,,
Chase Bliss,Brothers,Sound control,Gain B,,16,,0,127,,,,,,,0-based,,
Chase Bliss,Brothers,Sound control,Tone A,,17,,0,127,,,,,,,0-based,,
Chase Bliss,Brothers,Sound control,Mix / stack,,18,,0,127,,,,,,,0-based,,
Chase Bliss,Brothers,Sound control,Tone B,,19,,0,127,,,,,,,0-based,,
Chase Bliss,Brothers,Effect selection,Channel A effect,,21,,1,3,,,,,,,0-based,,1: Boost; 2: Drive; 3: Fuzz
Chase Bliss,Brothers,Effect selection,Channel B effect,,23,,1,3,,,,,,,0-based,,1: Fuzz; 2: Drive; 3: Boost
Chase Bliss,Brothers,Routing,Routing,,22,,1,3,,,,,,,0-based,,1: PARA; 2: A >> B; 3: B >> A
Chase Bliss,Brothers,Routing,Engage last saved channels,,102,,0,127,,,,,,,0-based,,0: Bypass both; 127: Engage last saved channels
Chase Bliss,Brothers,Routing,Bypass engagement,,103,,0,127,,,,,,,0-based,,0: Bypass both; 45: Engage B and bypass A; 85: Engage A and bypass B; 127: Engage both
Chase Bliss,Brothers,Other,Expression,,100,,0,127,,,,,,,0-based,,
