manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,cc_default_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,nrpn_default_value,orientation,notes,usage
Chase Bliss,Condor,Knobs,Gain,,14,,0,127,,,,,,,0-based,,
Chase Bliss,Condor,Knobs,Freq,,15,,0,127,,,,,,,0-based,,
Chase Bliss,Condor,Knobs,Volume,,16,,0,127,,,,,,,0-based,,
Chase Bliss,Condor,Knobs,Bass,,17,,0,127,,,,,,,0-based,,
Chase Bliss,Condor,Knobs,Mids,,18,,0,127,,,,,,,0-based,,
Chase Bliss,Condor,Knobs,LPF,,19,,0,127,,,,,,,0-based,,
Chase Bliss,Condor,Toggles,Bass select,,21,,1,3,,,,,,,0-based,,1: Left; 2: Center; 3: Right
Chase Bliss,Condor,Toggles,Mids select,,22,,1,3,,,,,,,0-based,,1: Left; 2: Center; 3: Right
Chase Bliss,Condor,Toggles,LPF select,,23,,1,3,,,,,,,0-based,,1: Left; 2: Center; 3: Right
Chase Bliss,Condor,Routing,Engage last saved channels,,102,,0,127,,,,,,,0-based,,0: Bypass; 127: Engage last saved
Chase Bliss,Condor,Routing,Bypass and engagement,,103,,0,127,,,,,,,0-based,,0: Bypass both; 45: Engage pedal bypass drive; 85: Engage drive bypass pedal; 127: Engage both
Chase Bliss,Condor,Other,Expression,,100,,0,127,,,,,,,0-based,,
