manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,cc_default_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,nrpn_default_value,orientation,notes,usage
Chase Bliss,Dark World,Knobs,Decay,,14,,0,127,,,,,,,0-based,,
Chase Bliss,Dark World,Knobs,Mix,,15,,0,127,,,,,,,0-based,,
Chase Bliss,Dark World,Knobs,Dwell,,16,,0,127,,,,,,,0-based,,
Chase Bliss,Dark World,Knobs,Modify,,17,,0,127,,,,,,,0-based,,
Chase Bliss,Dark World,Knobs,Tone,,18,,0,127,,,,,,,0-based,,
Chase Bliss,Dark World,Knobs,Pre-delay,,19,,0,127,,,,,,,0-based,,
Chase Bliss,Dark World,Toggles,Dark program select,,21,,1,3,,,,,,,0-based,,1: Left; 2: Center; 3: Right
Chase Bliss,Dark World,Toggles,Para select,,22,,1,3,,,,,,,0-based,,1: Left; 2: Center; 3: Right
Chase Bliss,Dark World,Toggles,World program select,,23,,1,3,,,,,,,0-based,,1: Left; 2: Center; 3: Right
Chase Bliss,Dark World,Other,Expression,,100,,0,127,,,,,,,0-based,,
Chase Bliss,Dark World,Routing,Engage last saved channels,,102,,0,127,,,,,,,0-based,,0: Bypass; 127: Engage last saved
Chase Bliss,Dark World,Routing,Bypass and engagement,,103,,0,127,,,,,,,0-based,,0: Bypass D+W; 45: Engage W + Bypass D; 85: Engage D + Bypass W; 127: Engage D+W
