manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,cc_default_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,nrpn_default_value,orientation,notes,usage
Chase Bliss,Generation Loss MKII,Knobs,Wow,,14,,0,127,,,,,,,0-based,,
Chase Bliss,Generation Loss MKII,Knobs,Volume,,15,,0,127,,,,,,,0-based,,
Chase Bliss,Generation Loss MKII,Knobs,Model / LP,,16,,0,127,,,,,,,0-based,,0: None; 15: CPR-3300 Gen 1; 24: CPR-3300 Gen 2; 33: CPR-3300 Gen 3; 43: Portamax-RT; 53: Portamax-HT; 62: CAM-8; 72: DICTATRON-EX; 82: DICTATRON-IN; 91: FISHY 60; 101: MS-WALKER; 111: AMU-2; 127: M-PEX
Chase Bliss,Generation Loss MKII,Knobs,Flutter,,17,,0,127,,,,,,,0-based,,
Chase Bliss,Generation Loss MKII,Knobs,Saturate / Gen,,18,,0,127,,,,,,,0-based,,
Chase Bliss,Generation Loss MKII,Knobs,Failure / HP,,19,,0,127,,,,,,,0-based,,
Chase Bliss,Generation Loss MKII,Knobs,Ramp speed,,20,,0,127,,,,,,,0-based,,
Chase Bliss,Generation Loss MKII,Toggles,Dry,,22,,1,3,,,,,,,0-based,,1: Dry 1; 2: Dry 2; 3: Dry 3
Chase Bliss,Generation Loss MKII,Toggles,Noise,,23,,1,3,,,,,,,0-based,,1: Noise 1; 2: Noise 2; 3: Noise 3
Chase Bliss,Generation Loss MKII,Toggles,Aux,,21,,1,3,,,,,,,0-based,,1: Aux 1; 2: Aux 2; 3: Aux 3
Chase Bliss,Generation Loss MKII,Switches,Bypass/engage,,102,,0,127,,,,,,,0-based,,0: Pedal off; 1-127: Pedal on
Chase Bliss,Generation Loss MKII,Switches,Aux,,103,,0,127,,,,,,,0-based,,0: Pedal off; 1-127: Pedal on
Chase Bliss,Generation Loss MKII,Switches,Alt,,104,,0,127,,,,,,,0-based,,0: Alt enter; 1-127: Alt exit
Chase Bliss,Generation Loss MKII,Aux switch,Left switch,,105,,0,127,,,,,,,0-based,,0: Off; 1-127: On
Chase Bliss,Generation Loss MKII,Aux switch,Center switch,,106,,0,127,,,,,,,0-based,,0: Off; 1-127: On
Chase Bliss,Generation Loss MKII,Aux switch,Right switch,,107,,0,127,,,,,,,0-based,,0: Off; 1-127: On
Chase Bliss,Generation Loss MKII,"Dip switches, left bank",Wow,,61,,0,127,,,,,,,0-based,,0: Off; 1-127: On
Chase Bliss,Generation Loss MKII,"Dip switches, left bank",Flutter,,62,,0,127,,,,,,,0-based,,0: Off; 1-127: On
Chase Bliss,Generation Loss MKII,"Dip switches, left bank",Sat/gen,,63,,0,127,,,,,,,0-based,,0: Off; 1-127: On
Chase Bliss,Generation Loss MKII,"Dip switches, left bank",Failure/HP,,64,,0,127,,,,,,,0-based,,0: Off; 1-127: On
Chase Bliss,Generation Loss MKII,"Dip switches, left bank",Model/LP,,65,,0,127,,,,,,,0-based,,0: Off; 1-127: On
Chase Bliss,Generation Loss MKII,"Dip switches, left bank",Bounce,,66,,0,127,,,,,,,0-based,,0: Off; 1-127: On
Chase Bliss,Generation Loss MKII,"Dip switches, left bank",Random,,67,,0,127,,,,,,,0-based,,0: Off; 1-127: On
Chase Bliss,Generation Loss MKII,"Dip switches, left bank",Sweep,,68,,0,127,,,,,,,0-based,,0: B; 1-127: T
Chase Bliss,Generation Loss MKII,"Dip switches, right bank",Polarity,,71,,0,127,,,,,,,0-based,,0: F; 1-127: R
Chase Bliss,Generation Loss MKII,"Dip switches, right bank",Classic,,72,,0,127,,,,,,,0-based,,0: Off; 1-127: On
Chase Bliss,Generation Loss MKII,"Dip switches, right bank",Miso,,73,,0,127,,,,,,,0-based,,0: Off; 1-127: On
Chase Bliss,Generation Loss MKII,"Dip switches, right bank",Spread,,74,,0,127,,,,,,,0-based,,0: Off; 1-127: On
Chase Bliss,Generation Loss MKII,"Dip switches, right bank",Dry type,,75,,0,127,,,,,,,0-based,,0: Off; 1-127: On
Chase Bliss,Generation Loss MKII,"Dip switches, right bank",Drop byp,,76,,0,127,,,,,,,0-based,,0: Off; 1-127: On
Chase Bliss,Generation Loss MKII,"Dip switches, right bank",Snag byp,,77,,0,127,,,,,,,0-based,,0: Off; 1-127: On
Chase Bliss,Generation Loss MKII,"Dip switches, right bank",Hum byp,,78,,0,127,,,,,,,0-based,,0: Off; 1-127: On
Chase Bliss,Generation Loss MKII,Other,Expression,,100,,0,127,,,,,,,0-based,,
Chase Bliss,Generation Loss MKII,Other,Aux onset time,,24,,0,127,,,,,,,0-based,,
Chase Bliss,Generation Loss MKII,Other,Hiss level,,27,,0,127,,,,,,,0-based,,
Chase Bliss,Generation Loss MKII,Other,Mechanical noise level,,28,,0,127,,,,,,,0-based,,
Chase Bliss,Generation Loss MKII,Other,Crinkle pop level,,29,,0,127,,,,,,,0-based,,
Chase Bliss,Generation Loss MKII,Other,Input gain,,32,,1,3,,,,,,,0-based,,1: Line level; 2: Instrument level; 3: High gain
Chase Bliss,Generation Loss MKII,Other,DSP bypass,,26,,0,127,,,,,,,0-based,,0-63: True bypass; 64-127: DSP bypass
Chase Bliss,Generation Loss MKII,Other,Preset save,,111,,1,122,,,,,,,0-based,,1~122: Preset slot
Chase Bliss,Generation Loss MKII,Other,Ramp/bounce,,52,,0,127,,,,,,,0-based,,0: Off; 1-127: On
