manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,cc_default_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,nrpn_default_value,orientation,notes,usage
Chase Bliss,Generation Loss,Knobs,Wow,,14,,0,127,,,,,,,0-based,,
Chase Bliss,Generation Loss,Knobs,Wet,,15,,0,127,,,,,,,0-based,,
Chase Bliss,Generation Loss,Knobs,HP,,16,,0,127,,,,,,,0-based,,
Chase Bliss,Generation Loss,Knobs,Flutter,,17,,0,127,,,,,,,0-based,,
Chase Bliss,Generation Loss,Knobs,Gen,,18,,0,127,,,,,,,0-based,,
Chase Bliss,Generation Loss,Knobs,LP,,19,,0,127,,,,,,,0-based,,
Chase Bliss,Generation Loss,Toggles,AUX FUNC select,,21,,1,3,,,,,,,0-based,,1: Left; 2: Middle; 3: Right
Chase Bliss,Generation Loss,Toggles,Dry select,,22,,1,3,,,,,,,0-based,,1: Left; 2: Middle; 3: Right
Chase Bliss,Generation Loss,Toggles,Hiss select,,23,,1,3,,,,,,,0-based,,1: Left; 2: Middle; 3: Right
Chase Bliss,Generation Loss,Switches,AUX FUNC,,101,,0,127,,,,,,,0-based,,0: Bypass; 127: Engage AUX function
Chase Bliss,Generation Loss,Switches,Bypass switch,,102,,0,127,,,,,,,0-based,,0: Bypass; 127: Engage pedal
Chase Bliss,Generation Loss,Switches,Both stomps,,103,,0,127,,,,,,,0-based,,0: Bypass pedal and AUX; 45: Engage pedal + bypass AUX; 85: Engage AUX + bypass pedal; 127: Engage pedal and AUX
Chase Bliss,Generation Loss,Other,Expression,,100,,0,127,,,,,,,0-based,,
