manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,cc_default_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,nrpn_default_value,orientation,notes,usage
Chase Bliss,Gravitas,Sound control,Drive,,14,,0,127,,,,,,,0-based,,
Chase Bliss,Gravitas,Sound control,Volume,,15,,0,127,,,,,,,0-based,,
Chase Bliss,Gravitas,Sound control,Tone,,16,,0,127,,,,,,,0-based,,
Chase Bliss,Gravitas,Sound control,Rate,,17,,0,127,,,,,,,0-based,,
Chase Bliss,Gravitas,Sound control,Depth,,18,,0,127,,,,,,,0-based,,
Chase Bliss,Gravitas,Sound control,Sway,,19,,0,127,,,,,,,0-based,,
Chase Bliss,Gravitas,Sound control,Ramp,,20,,0,127,,,,,,,0-based,,
Chase Bliss,Gravitas,Other,Note division,,21,,0,5,,,,,,,0-based,,0: Whole notes; 1: Half notes; 2: Quarter note triplets; 3: Quarter notes; 4: Eighth notes; 5: Sixteenth notes
Chase Bliss,Gravitas,Other,MIDI clock ignore,,51,,0,127,127,,,,,,0-based,,0: Ignore MIDI clock messages; 127: Listen for MIDI clock messages
Chase Bliss,Gravitas,Other,Tap switch,,93,,0,127,,,,,,,0-based,,0-127: Tap tempo
Chase Bliss,Gravitas,Other,Expression,,100,,0,127,,,,,,,0-based,,
Chase Bliss,Gravitas,Other,Bypass,,102,,0,127,,,,,,,0-based,,0: Bypass pedal; 127: Engage pedal and reset ramping
