manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,cc_default_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,nrpn_default_value,orientation,notes,usage
Chase Bliss,Habit,Knobs,Volume,,14,,0,127,,,,,,,0-based,,
Chase Bliss,Habit,Knobs,Repeats,,15,,0,127,,,,,,,0-based,,
Chase Bliss,Habit,Knobs,Size,,16,,0,127,,,,,,,0-based,,
Chase Bliss,Habit,Knobs,Mod,,17,,0,127,,,,,,,0-based,,
Chase Bliss,Habit,Knobs,Spread,,18,,0,127,,,,,,,0-based,,
Chase Bliss,Habit,Knobs,Scan,,19,,0,127,,,,,,,0-based,,
Chase Bliss,Habit,Knobs,Ramp,,20,,0,127,,,,,,,0-based,,
Chase Bliss,Habit,Switches,Loop (R hold),,24,,0,127,,,,,,,0-based,,0: Loop off; 1-127: Loop on
Chase Bliss,Habit,Switches,Scan (L hold),,25,,0,127,,,,,,,0-based,,0: Scan off; 1-127: Scan on
Chase Bliss,Habit,Switches,Clear (both hold),,26,,0,127,,,,,,,0-based,,0-127: Clear
Chase Bliss,Habit,Switches,Tap tempo,,93,,0,127,,,,,,,0-based,,0-127: Send tap tempo
Chase Bliss,Habit,Switches,Bypass/engage,,102,,0,127,,,,,,,0-based,,0: Pedal off; 1-127: Pedal on
Chase Bliss,Habit,Toggles,Mod number,,21,,1,3,,,,,,,0-based,,
Chase Bliss,Habit,Toggles,Mod bank,,22,,1,3,,,,,,,0-based,,
Chase Bliss,Habit,Toggles,Mode,,23,,1,3,,,,,,,0-based,,
Chase Bliss,Habit,Other,Midi clock ignore,,51,,0,127,,,,,,,0-based,,0: Ignore; 1-127: Listen
Chase Bliss,Habit,Other,Expression,,100,,0,127,,,,,,,0-based,,
