manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,cc_default_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,nrpn_default_value,orientation,notes,usage
Chase Bliss,Preamp MKII,Faders,Volume,,14,,0,127,,,,,,,0-based,,
Chase Bliss,Preamp MKII,Faders,Treble,,15,,0,127,,,,,,,0-based,,
Chase Bliss,Preamp MKII,Faders,Mids,,16,,0,127,,,,,,,0-based,,
Chase Bliss,Preamp MKII,Faders,Frequency,,17,,0,127,,,,,,,0-based,,
Chase Bliss,Preamp MKII,Faders,Bass,,18,,0,127,,,,,,,0-based,,
Chase Bliss,Preamp MKII,Faders,Gain,,19,,0,127,,,,,,,0-based,,
Chase Bliss,Preamp MKII,Arcade buttons,Jump,,22,,1,3,,,,,,,0-based,,1: Off; 2: 0; 3: 5
Chase Bliss,Preamp MKII,Arcade buttons,Mids,,23,,1,3,,,,,,,0-based,,1: Off; 2: Pre; 3: Post
Chase Bliss,Preamp MKII,Arcade buttons,Q,,24,,1,3,,,,,,,0-based,,1: Low; 2: Mid; 3: High
Chase Bliss,Preamp MKII,Arcade buttons,Diode,,25,,1,3,,,,,,,0-based,,1: Off; 2: Sil; 3: Germ
Chase Bliss,Preamp MKII,Arcade buttons,Fuzz,,26,,1,3,,,,,,,0-based,,1: Off; 2: Open; 3: Gated
Chase Bliss,Preamp MKII,Other,Preset saving,,27,,0,29,,,,,,,0-based,,0~29: Preset slot
Chase Bliss,Preamp MKII,Other,Expression,,100,,0,127,,,,,,,0-based,,
Chase Bliss,Preamp MKII,Other,Bypass pedal,,102,,0,127,,,,,,,0-based,,0: Bypass; 1-127: Engage
