manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,orientation,notes,usage
Conductive Labs,NDLR,,Chorddeg,,26,,0,127,,,,,0-based,,
Conductive Labs,NDLR,,Chordtyp,,27,,0,127,,,,,0-based,,
Conductive Labs,NDLR,,Padpos,,28,,0,127,,,,,0-based,,
Conductive Labs,NDLR,,Padstrum,,29,,0,127,,,,,0-based,,
Conductive Labs,NDLR,,Pasrange,,30,,0,127,,,,,0-based,,
Conductive Labs,NDLR,,Pansprd,,31,,0,127,,,,,0-based,,
Conductive Labs,NDLR,,Dronepos,,32,,0,127,,,,,0-based,,
Conductive Labs,NDLR,,Dronetyp,,33,,0,127,,,,,0-based,,
Conductive Labs,NDLR,,Dronetrg,,34,,0,127,,,,,0-based,,
Conductive Labs,NDLR,,MOT1 POS,,35,,0,127,,,,,0-based,,
Conductive Labs,NDLR,,MOT1 LGH,,36,,0,127,,,,,0-based,,
Conductive Labs,NDLR,,MOT1 VAR,,37,,0,127,,,,,0-based,,
Conductive Labs,NDLR,,MOT1 Ptrn,,38,,0,127,,,,,0-based,,
Conductive Labs,NDLR,,MOT1 DIV,,39,,0,127,,,,,0-based,,
Conductive Labs,NDLR,,MOT1 Beat,,40,,0,127,,,,,0-based,,
Conductive Labs,NDLR,,MOT1 Acct,,41,,0,127,,,,,0-based,,
Conductive Labs,NDLR,,MOT1 RTM,,42,,0,127,,,,,0-based,,
Conductive Labs,NDLR,,MOT2 POS,,43,,0,127,,,,,0-based,,
Conductive Labs,NDLR,,MOT2 LGH,,48,,0,127,,,,,0-based,,
Conductive Labs,NDLR,,MOT2 VAR,,45,,0,127,,,,,0-based,,
Conductive Labs,NDLR,,MOT2 Ptrn,,46,,0,127,,,,,0-based,,
Conductive Labs,NDLR,,MOT2 DIV,,47,,0,127,,,,,0-based,,
Conductive Labs,NDLR,,MOT2 Acct,,49,,0,127,,,,,0-based,,
Conductive Labs,NDLR,,MOT2 Rytm,,50,,0,127,,,,,0-based,,
Conductive Labs,NDLR,,Padch,,51,,0,127,,,,,0-based,,
Conductive Labs,NDLR,,Dronech,,52,,0,127,,,,,0-based,,
Conductive Labs,NDLR,,MOT1 CH,,53,,0,127,,,,,0-based,,
Conductive Labs,NDLR,,MOT2 CH,,54,,0,127,,,,,0-based,,
Conductive Labs,NDLR,,Miditrp,,56,,0,127,,,,,0-based,,
Conductive Labs,NDLR,,Blkkeys,,57,,0,127,,,,,0-based,,
Conductive Labs,NDLR,,Strtstop,,58,,0,127,,,,,0-based,,
Conductive Labs,NDLR,,Humanize,,59,,0,127,,,,,0-based,,
Conductive Labs,NDLR,,Clockppq,,61,,0,127,,,,,0-based,,
Conductive Labs,NDLR,,Clockdiv,,62,,0,127,,,,,0-based,,
Conductive Labs,NDLR,,Padveloc,,63,,0,127,,,,,0-based,,
Conductive Labs,NDLR,,MOT1 VEL,,64,,0,127,,,,,0-based,,
Conductive Labs,NDLR,,MOT2 VEL,,65,,0,127,,,,,0-based,,
Conductive Labs,NDLR,,Motlowvl,,66,,0,127,,,,,0-based,,
Conductive Labs,NDLR,,Polychn,,67,,0,127,,,,,0-based,,
Conductive Labs,NDLR,,Clockin,,68,,0,127,,,,,0-based,,
Conductive Labs,NDLR,,Chordinv,,69,,0,127,,,,,0-based,,
Conductive Labs,NDLR,,Padquant,,70,,0,127,,,,,0-based,,
Conductive Labs,NDLR,,Volca,,71,,0,127,,,,,0-based,,
Conductive Labs,NDLR,,KEY,,73,,0,127,,,,,0-based,,
Conductive Labs,NDLR,,Scale,,74,,0,127,,,,,0-based,,
Conductive Labs,NDLR,,Tempo,,75,,0,127,,,,,0-based,,
Conductive Labs,NDLR,,Padplay,,85,,0,127,,,,,0-based,,
Conductive Labs,NDLR,,Dronplay,,86,,0,127,,,,,0-based,,
Conductive Labs,NDLR,,MOT1 Play,,87,,0,127,,,,,0-based,,
Conductive Labs,NDLR,,MOT2 Play,,88,,0,127,,,,,0-based,,
