manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,cc_default_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,nrpn_default_value,orientation,notes,usage
Cwejman,S1 MK2,Global,Base note,Lowest possible note that will be played,,,,,,0,1,0,127,24,0-based,,
Cwejman,S1 MK2,CV outputs,Control voltage 1 function,,,,,,,0,2,0,127,,0-based,CV1 is always handled as main tune control; this parameter currently has no effect,
Cwejman,S1 MK2,CV outputs,Control voltage 2 function,,,,,,,0,3,0,127,121,0-based,,0~119: Respond to CC number; 120: Unused; 121: Note-On velocity; 122: Unused; 123: Accent; 124: Key aftertouch; 125: Note-Off velocity; 126: Channel aftertouch; 127: Unused
Cwejman,S1 MK2,CV outputs,Control voltage 3 function,,,,,,,0,4,0,127,1,0-based,Default 1 = Modulation wheel,0~119: Respond to CC number; 120: Unused; 121: Note-On velocity; 122: Unused; 123: Accent; 124: Key aftertouch; 125: Note-Off velocity; 126: Channel aftertouch; 127: Unused
Cwejman,S1 MK2,CV outputs,Control voltage 4 function,,,,,,,0,5,0,127,124,0-based,Default 124 = Channel aftertouch,0~119: Respond to CC number; 120: Unused; 121: Note-On velocity; 122: Unused; 123: Accent; 124: Key aftertouch; 125: Note-Off velocity; 126: Channel aftertouch; 127: Unused
Cwejman,S1 MK2,CV outputs,Control voltage 5 function,,,,,,,0,6,0,127,5,0-based,Default 5 = Glide time CC,0~119: Respond to CC number; 120: Unused; 121: Note-On velocity; 122: Unused; 123: Accent; 124: Key aftertouch; 125: Note-Off velocity; 126: Channel aftertouch; 127: Unused
Cwejman,S1 MK2,CV outputs,Control voltage 6 function,,,,,,,0,7,0,127,,0-based,CV6 is always handled as pitch wheel out; this parameter currently has no effect,
Cwejman,S1 MK2,CV outputs,Control voltage 2 range (scaling),Scaling for controllers/velocity/aftertouch when CV2 Function is not Accent,,,,,,0,9,0,63,32,0-based,Default 32 = 5V full swing at data=127 (100%); 64 = 200%; 16 = 50%,0~63: 0% to 200% scaling
Cwejman,S1 MK2,CV outputs,Control voltage 2 range (accent threshold),Note-On velocity threshold at which CV2 goes to 5V when CV2 Function is Accent,,,,,,0,9,0,127,,0-based,Applies only when CV2 Function = 123 (Accent),0~127: Velocity threshold
Cwejman,S1 MK2,CV outputs,Control voltage 3 range (scaling),Scaling for controllers/velocity/aftertouch when CV3 Function is not Accent,,,,,,0,10,0,63,32,0-based,Default 32 = 5V full swing at data=127 (100%); 64 = 200%; 16 = 50%,0~63: 0% to 200% scaling
