manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,orientation,notes,usage
DSI,PROPHET X:L,,MOD Wheel,,1,,0,127,,,,,0-based,,
DSI,PROPHET X:L,,BPM,,3,,0,127,,,,,0-based,,
DSI,PROPHET X:L,,Glide Mode,,5,,0,127,,,,,0-based,,
DSI,PROPHET X:L,,Master Volume,,7,,0,127,,,,,0-based,,
DSI,PROPHET X:L,,SUB OSC,,8,,0,127,,,,,0-based,,
DSI,PROPHET X:L,,PAN Spread,,10,,0,127,,,,,0-based,,
DSI,PROPHET X:L,,Voice Volume,,12,,0,127,,,,,0-based,,
DSI,PROPHET X:L,,AB Mode,,13,,0,127,,,,,0-based,,
DSI,PROPHET X:L,,Slider1 POS,,14,,0,127,,,,,0-based,,
DSI,PROPHET X:L,,Slider2 POS,,15,,0,127,,,,,0-based,,
DSI,PROPHET X:L,,FX1 ON OFF,,16,,0,127,,,,,0-based,,
DSI,PROPHET X:L,,FX1 Select,,17,,0,127,,,,,0-based,,
DSI,PROPHET X:L,,FX1 MIX,,18,,0,127,,,,,0-based,,
DSI,PROPHET X:L,,FX1 Param1,,19,,0,127,,,,,0-based,,
DSI,PROPHET X:L,,FX1 Param2,,20,,0,127,,,,,0-based,,
DSI,PROPHET X:L,,FX1 Param3,,21,,0,127,,,,,0-based,,
DSI,PROPHET X:L,,FX2 ON OFF,,22,,0,127,,,,,0-based,,
DSI,PROPHET X:L,,FX2 Select,,23,,0,127,,,,,0-based,,
DSI,PROPHET X:L,,FX2 MIX,,24,,0,127,,,,,0-based,,
DSI,PROPHET X:L,,FX2 Param1,,25,,0,127,,,,,0-based,,
DSI,PROPHET X:L,,FX2 Param2,,26,,0,127,,,,,0-based,,
DSI,PROPHET X:L,,FX2 Param3,,27,,0,127,,,,,0-based,,
DSI,PROPHET X:L,,16 Voice Mode,,28,,0,127,,,,,0-based,,
DSI,PROPHET X:L,,Split Point,,29,,0,127,,,,,0-based,,
DSI,PROPHET X:L,,Bank Select,,32,,0,127,,,,,0-based,,
DSI,PROPHET X:L,,AMP ENV Amount,,40,,0,127,,,,,0-based,,
DSI,PROPHET X:L,,Velocity TO AMP ENV,,41,,0,127,,,,,0-based,,
DSI,PROPHET X:L,,AMP ENV Delay,,42,,0,127,,,,,0-based,,
DSI,PROPHET X:L,,AMP ENV Attack,,43,,0,127,,,,,0-based,,
DSI,PROPHET X:L,,AMP ENV Decay,,44,,0,127,,,,,0-based,,
DSI,PROPHET X:L,,AMP ENV Sustain,,45,,0,127,,,,,0-based,,
DSI,PROPHET X:L,,AMP ENV Release,,46,,0,127,,,,,0-based,,
DSI,PROPHET X:L,,Filter ENV Amount,,47,,0,127,,,,,0-based,,
DSI,PROPHET X:L,,Velocity TO Filter ENV,,48,,0,127,,,,,0-based,,
DSI,PROPHET X:L,,Filter ENV Delay,,49,,0,127,,,,,0-based,,
DSI,PROPHET X:L,,Filter ENV Attack,,50,,0,127,,,,,0-based,,
DSI,PROPHET X:L,,Filter ENV Decay,,51,,0,127,,,,,0-based,,
DSI,PROPHET X:L,,Filter ENV Sustain,,52,,0,127,,,,,0-based,,
DSI,PROPHET X:L,,Filter ENV Release,,53,,0,127,,,,,0-based,,
DSI,PROPHET X:L,,Inst1 Glide Amount,,54,,0,127,,,,,0-based,,
DSI,PROPHET X:L,,Inst2 Glide Amount,,55,,0,127,,,,,0-based,,
DSI,PROPHET X:L,,OSC1 Glide Amount,,56,,0,127,,,,,0-based,,
DSI,PROPHET X:L,,OSC2 Glide Amount,,57,,0,127,,,,,0-based,,
DSI,PROPHET X:L,,Arpeggiator ON OFF,,58,,0,127,,,,,0-based,,
DSI,PROPHET X:L,,Arpeggiator Mode,,59,,0,127,,,,,0-based,,
DSI,PROPHET X:L,,Arpeggiator Range,,60,,0,127,,,,,0-based,,
DSI,PROPHET X:L,,Arpeggiator Relatch,,61,,0,127,,,,,0-based,,
DSI,PROPHET X:L,,Clock Divide,,62,,0,127,,,,,0-based,,
DSI,PROPHET X:L,,Arpeggiator Repeats,,63,,0,127,,,,,0-based,,
DSI,PROPHET X:L,,Sustain Pedal,,64,,0,127,,,,,0-based,,
DSI,PROPHET X:L,,Glide ON OFF,,65,,0,127,,,,,0-based,,
DSI,PROPHET X:L,,Inst1 Freq,,66,,0,127,,,,,0-based,,
DSI,PROPHET X:L,,Inst1 Fine Tune,,67,,0,127,,,,,0-based,,
DSI,PROPHET X:L,,Inst1 Level,,68,,0,127,,,,,0-based,,
DSI,PROPHET X:L,,Inst1 PAN,,69,,0,127,,,,,0-based,,
DSI,PROPHET X:L,,Inst1 Loop ON OFF,,70,,0,127,,,,,0-based,,
DSI,PROPHET X:L,,Inst1 Reverse,,71,,0,127,,,,,0-based,,
DSI,PROPHET X:L,,Inst2 Freq,,72,,0,127,,,,,0-based,,
DSI,PROPHET X:L,,Inst2 Fine TUN,,73,,0,127,,,,,0-based,,
DSI,PROPHET X:L,,Inst2 Level,,75,,0,127,,,,,0-based,,
DSI,PROPHET X:L,,Inst2 PAN,,76,,0,127,,,,,0-based,,
DSI,PROPHET X:L,,Inst2 Loop ON,,77,,0,127,,,,,0-based,,
DSI,PROPHET X:L,,Inst2 Reverse,,78,,0,127,,,,,0-based,,
DSI,PROPHET X:L,,Osc21 Sync,,79,,0,127,,,,,0-based,,
DSI,PROPHET X:L,,OSC1 FRQ,,80,,0,127,,,,,0-based,,
DSI,PROPHET X:L,,OSC1 Fine Freq,,81,,0,127,,,,,0-based,,
DSI,PROPHET X:L,,OSC1 Level,,82,,0,127,,,,,0-based,,
DSI,PROPHET X:L,,OSC1 Shape,,83,,0,127,,,,,0-based,,
DSI,PROPHET X:L,,OSC1 Shape MOD,,84,,0,127,,,,,0-based,,
DSI,PROPHET X:L,,OSC1 PAN,,85,,0,127,,,,,0-based,,
DSI,PROPHET X:L,,OSC2 FRQ,,86,,0,127,,,,,0-based,,
DSI,PROPHET X:L,,OSC2 Fine Freq,,87,,0,127,,,,,0-based,,
DSI,PROPHET X:L,,OSC2 Level,,88,,0,127,,,,,0-based,,
DSI,PROPHET X:L,,OSC2 Shape,,89,,0,127,,,,,0-based,,
DSI,PROPHET X:L,,OSC2 Shape MOD,,90,,0,127,,,,,0-based,,
DSI,PROPHET X:L,,OSC2 PAN,,91,,0,127,,,,,0-based,,
DSI,PROPHET X:L,,OSC Slop,,92,,0,127,,,,,0-based,,
DSI,PROPHET X:L,,Hack,,93,,0,127,,,,,0-based,,
DSI,PROPHET X:L,,Decimate,,94,,0,127,,,,,0-based,,
DSI,PROPHET X:L,,Cutoff,,102,,0,127,,,,,0-based,,
DSI,PROPHET X:L,,Reso,,103,,0,127,,,,,0-based,,
DSI,PROPHET X:L,,Filt Keyb Amount,,104,,0,127,,,,,0-based,,
DSI,PROPHET X:L,,Drive,,105,,0,127,,,,,0-based,,
DSI,PROPHET X:L,,LP Stereo Split,,106,,0,127,,,,,0-based,,
DSI,PROPHET X:L,,Unison ON OFF,,116,,0,127,,,,,0-based,,
DSI,PROPHET X:L,,Unison Detune,,117,,0,127,,,,,0-based,,
DSI,PROPHET X:L,,Unison Mode,,118,,0,127,,,,,0-based,,
