manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,cc_default_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,nrpn_default_value,orientation,notes,usage
Darkglass,Anagram,Banks and presets,Bank Select,Calls the bank preview screen for the given bank,102,,1,42,,,,,,,0-based,"Anagram does not respond to value 0 for this message, for compatibility with controllers that send 0 on release",1~42: Bank
Darkglass,Anagram,Banks and presets,Bank Increment,Calls the bank preview screen for the next bank,103,,1,127,,,,,,,0-based,"Anagram does not respond to value 0 for this message, for compatibility with controllers that send 0 on release",1-127: Next bank
Darkglass,Anagram,Banks and presets,Bank Decrement,Calls the bank preview screen for the previous bank,104,,1,127,,,,,,,0-based,"Anagram does not respond to value 0 for this message, for compatibility with controllers that send 0 on release",1-127: Previous bank
Darkglass,Anagram,Banks and presets,Preset Increment,Loads the next preset,105,,1,127,,,,,,,0-based,"Anagram does not respond to value 0 for this message, for compatibility with controllers that send 0 on release",1-127: Next preset
Darkglass,Anagram,Banks and presets,Preset Decrement,Loads the previous preset,106,,1,127,,,,,,,0-based,"Anagram does not respond to value 0 for this message, for compatibility with controllers that send 0 on release",1-127: Previous preset
Darkglass,Anagram,Scenes,Scene Select,"Activates scene 1-126 (01A-42C), or the default scene",107,,1,127,,,,,,,0-based,"Anagram does not respond to value 0 for this message, for compatibility with controllers that send 0 on release",1~126: Activate scene (01A-42C); 127: Activate default scene
Darkglass,Anagram,Scenes,Scene Increment,Activates the next scene,108,,1,127,,,,,,,0-based,"Anagram does not respond to value 0 for this message, for compatibility with controllers that send 0 on release",1-127: Next scene
Darkglass,Anagram,Scenes,Scene Decrement,Activates the previous scene,109,,1,127,,,,,,,0-based,"Anagram does not respond to value 0 for this message, for compatibility with controllers that send 0 on release",1-127: Previous scene
Darkglass,Anagram,Global controls,Mode Select,,85,,1,3,,,,,,,0-based,"Anagram does not respond to value 0 for this message, for compatibility with controllers that send 0 on release",1: Preset Mode; 2: Stomp Mode; 3: Scene Mode
Darkglass,Anagram,Global controls,Tuner Enter/Exit,,86,,1,127,,,,,,,0-based,"Anagram does not respond to value 0 for this message, for compatibility with controllers that send 0 on release",1-127: Enter/Exit tuner screen
Darkglass,Anagram,Looper,Looper Enter/Exit,Sending any looper CC message also opens the looper screen,110,,1,127,,,,,,,0-based,"Anagram does not respond to value 0 for this message, for compatibility with controllers that send 0 on release",1-127: Enter/Exit looper screen
Darkglass,Anagram,Looper,Looper Play/Stop,,111,,1,127,,,,,,,0-based,"Anagram does not respond to value 0 for this message, for compatibility with controllers that send 0 on release",1-127: Play/Stop
Darkglass,Anagram,Looper,Looper Record/Overdub,,112,,1,127,,,,,,,0-based,"Anagram does not respond to value 0 for this message, for compatibility with controllers that send 0 on release",1-127: Record/Overdub
Darkglass,Anagram,Looper,Looper Clear Slot,Clears the currently active looper slot,113,,1,127,,,,,,,0-based,"Anagram does not respond to value 0 for this message, for compatibility with controllers that send 0 on release",1-127: Clear slot
Darkglass,Anagram,Looper,Looper Undo,,114,,1,127,,,,,,,0-based,"Anagram does not respond to value 0 for this message, for compatibility with controllers that send 0 on release",1-127: Undo
Darkglass,Anagram,Looper,Looper Redo,,115,,1,127,,,,,,,0-based,"Anagram does not respond to value 0 for this message, for compatibility with controllers that send 0 on release",1-127: Redo
Darkglass,Anagram,Looper,Looper Select Slot,,116,,1,126,,,,,,,0-based,"Anagram does not respond to value 0 for this message, for compatibility with controllers that send 0 on release",1~126: Load looper slot
Darkglass,Anagram,Looper,Looper Next Slot,,117,,1,127,,,,,,,0-based,"Anagram does not respond to value 0 for this message, for compatibility with controllers that send 0 on release",1-127: Next slot
Darkglass,Anagram,Looper,Looper Previous Slot,,118,,1,127,,,,,,,0-based,"Anagram does not respond to value 0 for this message, for compatibility with controllers that send 0 on release",1-127: Previous slot
Darkglass,Anagram,Bindings,Binding - Stomp Mode Foot A,,17,,0,127,,,,,,,0-based,"Default CC number for this binding slot. User-editable to any CC except the reserved set (0, 7, 14-32, 85-87, 89, 102-119). Behavior depends on what the binding is assigned to. For a bypass/toggle-type target, 0-63 turns it off and 64-127 turns it on, or any non-zero value toggles it if the Toggle Logic device setting is set to Toggle. For a knob-type (continuous) target, the incoming value is scaled to the bound parameter's range. For a list-type target, the value selects list item 1-127 (0 is always ignored)",
Darkglass,Anagram,Bindings,Binding - Stomp Mode Foot B,,18,,0,127,,,,,,,0-based,"Default CC number for this binding slot. User-editable to any CC except the reserved set (0, 7, 14-32, 85-87, 89, 102-119). Behavior depends on what the binding is assigned to. For a bypass/toggle-type target, 0-63 turns it off and 64-127 turns it on, or any non-zero value toggles it if the Toggle Logic device setting is set to Toggle. For a knob-type (continuous) target, the incoming value is scaled to the bound parameter's range. For a list-type target, the value selects list item 1-127 (0 is always ignored)",
