manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,cc_default_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,nrpn_default_value,orientation,notes,usage
Dave Smith Instruments,Mopho Keyboard,,BPM,,14,,0,127,,,,,,,0-based,,
Dave Smith Instruments,Mopho Keyboard,,Clock Divide,,15,,0,127,,,,,,,0-based,,
Dave Smith Instruments,Mopho Keyboard,,Osc 1 Frequency,,20,,0,127,,,,,,,0-based,,
Dave Smith Instruments,Mopho Keyboard,,Osc 1 Freq Fine,,21,,0,127,,,,,,,0-based,,
Dave Smith Instruments,Mopho Keyboard,,Osc 1 Shape,,22,,0,127,,,,,,,0-based,,
Dave Smith Instruments,Mopho Keyboard,,Glide 1,,23,,0,127,,,,,,,0-based,,
Dave Smith Instruments,Mopho Keyboard,,Osc 2 Frequency,,24,,0,127,,,,,,,0-based,,
Dave Smith Instruments,Mopho Keyboard,,Osc 2 Freq Fine,,25,,0,127,,,,,,,0-based,,
Dave Smith Instruments,Mopho Keyboard,,Osc 2 Shape,,26,,0,127,,,,,,,0-based,,
Dave Smith Instruments,Mopho Keyboard,,Glide 2,,27,,0,127,,,,,,,0-based,,
Dave Smith Instruments,Mopho Keyboard,,Osc Mix,,28,,0,127,,,,,,,0-based,,
Dave Smith Instruments,Mopho Keyboard,,Noise Level,,29,,0,127,,,,,,,0-based,,
Dave Smith Instruments,Mopho Keyboard,,Sub Oscillator 1,,30,,0,127,,,,,,,0-based,,
Dave Smith Instruments,Mopho Keyboard,,Sub Oscillator 2,,31,,0,127,,,,,,,0-based,,
Dave Smith Instruments,Mopho Keyboard,,Amp Sustain,,75,,0,127,,,,,,,0-based,,
Dave Smith Instruments,Mopho Keyboard,,Amp Release,,76,,0,127,,,,,,,0-based,,
Dave Smith Instruments,Mopho Keyboard,,Env 3 Sustain,,77,,0,127,,,,,,,0-based,,
Dave Smith Instruments,Mopho Keyboard,,Env 3 Release,,78,,0,127,,,,,,,0-based,,
Dave Smith Instruments,Mopho Keyboard,,Env 3 Destination,,85,,0,127,,,,,,,0-based,,
Dave Smith Instruments,Mopho Keyboard,,Env 3 Amt,,86,,0,127,,,,,,,0-based,,
Dave Smith Instruments,Mopho Keyboard,,Env 3 Velocity Amt,,87,,0,127,,,,,,,0-based,,
Dave Smith Instruments,Mopho Keyboard,,Env 3 Delay,,88,,0,127,,,,,,,0-based,,
Dave Smith Instruments,Mopho Keyboard,,Env 3 Attack,,89,,0,127,,,,,,,0-based,,
Dave Smith Instruments,Mopho Keyboard,,Env 3 Decay,,90,,0,127,,,,,,,0-based,,
Dave Smith Instruments,Mopho Keyboard,,Filter Frequency,,102,,0,127,,,,,,,0-based,,
Dave Smith Instruments,Mopho Keyboard,,Resonance,,103,,0,127,,,,,,,0-based,,
Dave Smith Instruments,Mopho Keyboard,,Filter Key Amt,,104,,0,127,,,,,,,0-based,,
Dave Smith Instruments,Mopho Keyboard,,Filter Audio Mod,,105,,0,127,,,,,,,0-based,,
Dave Smith Instruments,Mopho Keyboard,,Filter Env Amt,,106,,0,127,,,,,,,0-based,,
Dave Smith Instruments,Mopho Keyboard,,Filter Env Vel Amt,,107,,0,127,,,,,,,0-based,,
Dave Smith Instruments,Mopho Keyboard,,Filter Delay,,108,,0,127,,,,,,,0-based,,
Dave Smith Instruments,Mopho Keyboard,,Filter Attack,,109,,0,127,,,,,,,0-based,,
Dave Smith Instruments,Mopho Keyboard,,Filter Decay,,110,,0,127,,,,,,,0-based,,
Dave Smith Instruments,Mopho Keyboard,,Filter Sustain,,111,,0,127,,,,,,,0-based,,
Dave Smith Instruments,Mopho Keyboard,,Filter Release,,112,,0,127,,,,,,,0-based,,
Dave Smith Instruments,Mopho Keyboard,,VCA Level,,113,,0,127,,,,,,,0-based,,
Dave Smith Instruments,Mopho Keyboard,,Amp Env Amt,,115,,0,127,,,,,,,0-based,,
Dave Smith Instruments,Mopho Keyboard,,Amp Velocity Amt,,116,,0,127,,,,,,,0-based,,
Dave Smith Instruments,Mopho Keyboard,,Amp Delay,,117,,0,127,,,,,,,0-based,,
Dave Smith Instruments,Mopho Keyboard,,Amp Attack,,118,,0,127,,,,,,,0-based,,
Dave Smith Instruments,Mopho Keyboard,,Amp Decay,,119,,0,127,,,,,,,0-based,,
