manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,cc_default_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,nrpn_default_value,orientation,notes,usage
Dave Smith Instruments,Mopho x4,Oscillators,Oscillator 1 frequency,,20,,0,127,,,,,,,0-based,,
Dave Smith Instruments,Mopho x4,Oscillators,Oscillator 1 frequency fine,,21,,0,127,,,,,,,0-based,,
Dave Smith Instruments,Mopho x4,Oscillators,Oscillator 1 shape,,22,,0,127,,,,,,,0-based,,
Dave Smith Instruments,Mopho x4,Oscillators,Glide 1,,23,,0,127,,,,,,,0-based,,
Dave Smith Instruments,Mopho x4,Oscillators,Oscillator 2 frequency,,24,,0,127,,,,,,,0-based,,
Dave Smith Instruments,Mopho x4,Oscillators,Oscillator 2 frequency fine,,25,,0,127,,,,,,,0-based,,
Dave Smith Instruments,Mopho x4,Oscillators,Oscillator 2 shape,,26,,0,127,,,,,,,0-based,,
Dave Smith Instruments,Mopho x4,Oscillators,Glide 2,,27,,0,127,,,,,,,0-based,,
Dave Smith Instruments,Mopho x4,Oscillators,Sub oscillator 1,,30,,0,127,,,,,,,0-based,,
Dave Smith Instruments,Mopho x4,Oscillators,Sub oscillator 2,,31,,0,127,,,,,,,0-based,,
Dave Smith Instruments,Mopho x4,Oscillators,Oscillator mix,,28,,0,127,,,,,,,0-based,,
Dave Smith Instruments,Mopho x4,Oscillators,Noise level,,29,,0,127,,,,,,,0-based,,
Dave Smith Instruments,Mopho x4,Oscillators,Feedback amount,,52,,0,127,,,,,,,0-based,,
Dave Smith Instruments,Mopho x4,Oscillators,Feedback gain,,53,,0,127,,,,,,,0-based,,
Dave Smith Instruments,Mopho x4,Filter,Filter frequency,,102,,0,127,,,,,,,0-based,,
Dave Smith Instruments,Mopho x4,Filter,Resonance,,103,,0,127,,,,,,,0-based,,
Dave Smith Instruments,Mopho x4,Filter,Filter key amount,,104,,0,127,,,,,,,0-based,,
Dave Smith Instruments,Mopho x4,Filter,Filter audio mod,,105,,0,127,,,,,,,0-based,,
Dave Smith Instruments,Mopho x4,Filter,Filter envelope amount,,106,,0,127,,,,,,,0-based,,
Dave Smith Instruments,Mopho x4,Filter,Filter envelope velocity amount,,107,,0,127,,,,,,,0-based,,
Dave Smith Instruments,Mopho x4,Filter,Filter delay,,108,,0,127,,,,,,,0-based,,
Dave Smith Instruments,Mopho x4,Filter,Filter attack,,109,,0,127,,,,,,,0-based,,
Dave Smith Instruments,Mopho x4,Filter,Filter decay,,110,,0,127,,,,,,,0-based,,
Dave Smith Instruments,Mopho x4,Filter,Filter sustain,,111,,0,127,,,,,,,0-based,,
Dave Smith Instruments,Mopho x4,Filter,Filter release,,112,,0,127,,,,,,,0-based,,
Dave Smith Instruments,Mopho x4,Amp,Pan spread,,114,,0,127,,,,,,,centered,,
Dave Smith Instruments,Mopho x4,Amp,Envelope amount,,115,,0,127,,,,,,,0-based,,
Dave Smith Instruments,Mopho x4,Amp,Velocity amount,,116,,0,127,,,,,,,0-based,,
Dave Smith Instruments,Mopho x4,Amp,Amp delay,,117,,0,127,,,,,,,0-based,,
Dave Smith Instruments,Mopho x4,Amp,Amp attack,,118,,0,127,,,,,,,0-based,,
Dave Smith Instruments,Mopho x4,Amp,Amp decay,,119,,0,127,,,,,,,0-based,,
Dave Smith Instruments,Mopho x4,Amp,Amp sustain,,75,,0,127,,,,,,,0-based,,
Dave Smith Instruments,Mopho x4,Amp,Amp release,,76,,0,127,,,,,,,0-based,,
Dave Smith Instruments,Mopho x4,Envelope 3,Destination,,85,,0,127,,,,,,,0-based,,
Dave Smith Instruments,Mopho x4,Envelope 3,Amount,,86,,0,127,,,,,,,0-based,,
Dave Smith Instruments,Mopho x4,Envelope 3,Velocity amount,,87,,0,127,,,,,,,0-based,,
Dave Smith Instruments,Mopho x4,Envelope 3,Envelope 3 delay,,88,,0,127,,,,,,,0-based,,
Dave Smith Instruments,Mopho x4,Envelope 3,Envelope 3 attack,,89,,0,127,,,,,,,0-based,,
Dave Smith Instruments,Mopho x4,Envelope 3,Envelope 3 decay,,90,,0,127,,,,,,,0-based,,
Dave Smith Instruments,Mopho x4,Envelope 3,Envelope 3 sustain,,77,,0,127,,,,,,,0-based,,
Dave Smith Instruments,Mopho x4,Envelope 3,Envelope 3 release,,78,,0,127,,,,,,,0-based,,
Dave Smith Instruments,Mopho x4,Clock,BPM,,14,,0,127,,,,,,,0-based,,
Dave Smith Instruments,Mopho x4,Clock,Clock divide,,15,,0,127,,,,,,,0-based,,
