manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,cc_default_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,nrpn_default_value,orientation,notes,usage
Dave Smith Instruments,Pro 3,General,Bank Select Course,,0,,0,127,,,,,,,0-based,,
Dave Smith Instruments,Pro 3,General,Modwheel,,1,,0,127,,,,,,,0-based,,
Dave Smith Instruments,Pro 3,General,Breath Controller,,2,,0,127,,,,,,,0-based,,
Dave Smith Instruments,Pro 3,General,BPM,,3,,0,127,,,,,,,0-based,,
Dave Smith Instruments,Pro 3,General,Foot Controller,,4,,0,127,,,,,,,0-based,,
Dave Smith Instruments,Pro 3,General,Glide / Portamento,,5,,0,127,,,,,,,0-based,,
Dave Smith Instruments,Pro 3,General,Data Entry MSB,,6,,0,127,,,,,,,0-based,,
Dave Smith Instruments,Pro 3,General,Volume,,7,,0,127,,,,,,,0-based,,
Dave Smith Instruments,Pro 3,General,Audio In Level,,8,,0,127,,,,,,,0-based,,
Dave Smith Instruments,Pro 3,General,Audio In GAIN,,9,,0,127,,,,,,,0-based,,
Dave Smith Instruments,Pro 3,General,Unassigned,,10,,0,127,,,,,,,0-based,,
Dave Smith Instruments,Pro 3,General,Expression,,11,,0,127,,,,,,,0-based,,
Dave Smith Instruments,Pro 3,General,Voice Volume,,12,,0,127,,,,,,,0-based,,
Dave Smith Instruments,Pro 3,General,Paraphonic On/Off,,13,,0,127,,,,,,,0-based,,
Dave Smith Instruments,Pro 3,General,Slider 1 Position,,14,,0,127,,,,,,,0-based,,
Dave Smith Instruments,Pro 3,FX,FX 1 On/Off,,16,,0,127,,,,,,,0-based,,
Dave Smith Instruments,Pro 3,FX,FX 1 Type,,17,,0,127,,,,,,,0-based,,
Dave Smith Instruments,Pro 3,FX,FX 1 Mix,,18,,0,127,,,,,,,0-based,,
Dave Smith Instruments,Pro 3,FX,FX 1 Param 1,,19,,0,127,,,,,,,0-based,,
Dave Smith Instruments,Pro 3,FX,FX 1 Param 2,,20,,0,127,,,,,,,0-based,,
