manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,orientation,notes,usage
Dave Smith Instruments,Prophet Rev2,,MOD Wheel,,1,,0,127,,,,,0-based,,
Dave Smith Instruments,Prophet Rev2,,FX Type,,3,,0,127,,,,,0-based,,
Dave Smith Instruments,Prophet Rev2,,Glide Mode,,5,,0,127,,,,,0-based,,
Dave Smith Instruments,Prophet Rev2,,Master Volume,,7,,0,127,,,,,0-based,,
Dave Smith Instruments,Prophet Rev2,,SUB Oscillator,,8,,0,127,,,,,0-based,,
Dave Smith Instruments,Prophet Rev2,,OSC Slop,,9,,0,127,,,,,0-based,,
Dave Smith Instruments,Prophet Rev2,,PAN MOD Mode,,10,,0,127,,,,,0-based,,
Dave Smith Instruments,Prophet Rev2,,FX Param1,,12,,0,127,,,,,0-based,,
Dave Smith Instruments,Prophet Rev2,,FX Param2,,13,,0,127,,,,,0-based,,
Dave Smith Instruments,Prophet Rev2,,BPM,,14,,0,127,,,,,0-based,,
Dave Smith Instruments,Prophet Rev2,,Clock Divide,,15,,0,127,,,,,0-based,,
Dave Smith Instruments,Prophet Rev2,,FX ON OFF,,16,,0,127,,,,,0-based,,
Dave Smith Instruments,Prophet Rev2,,FX MIX,,17,,0,127,,,,,0-based,,
Dave Smith Instruments,Prophet Rev2,,A B Mode,,18,,0,127,,,,,0-based,,
Dave Smith Instruments,Prophet Rev2,,Sequencer Type,,19,,0,127,,,,,0-based,,
Dave Smith Instruments,Prophet Rev2,,OSC1 Frequency,,20,,0,127,,,,,0-based,,
Dave Smith Instruments,Prophet Rev2,,OSC1 Fine Tune,,21,,0,127,,,,,0-based,,
Dave Smith Instruments,Prophet Rev2,,OSC1 Shape,,22,,0,127,,,,,0-based,,
Dave Smith Instruments,Prophet Rev2,,OSC1 Glide Rate Time,,23,,0,127,,,,,0-based,,
Dave Smith Instruments,Prophet Rev2,,OSC2 Frequency,,24,,0,127,,,,,0-based,,
Dave Smith Instruments,Prophet Rev2,,OSC2 Fine Tune,,25,,0,127,,,,,0-based,,
Dave Smith Instruments,Prophet Rev2,,OSC2 Shape,,26,,0,127,,,,,0-based,,
Dave Smith Instruments,Prophet Rev2,,OSC2 Glide Rate Time,,27,,0,127,,,,,0-based,,
Dave Smith Instruments,Prophet Rev2,,OSC MIX,,28,,0,127,,,,,0-based,,
Dave Smith Instruments,Prophet Rev2,,Noise Level,,29,,0,127,,,,,0-based,,
Dave Smith Instruments,Prophet Rev2,,OSC1 Shape MOD,,30,,0,127,,,,,0-based,,
Dave Smith Instruments,Prophet Rev2,,OSC2 Shape MOD,,31,,0,127,,,,,0-based,,
Dave Smith Instruments,Prophet Rev2,,ARP ON OFF,,33,,0,127,,,,,0-based,,
Dave Smith Instruments,Prophet Rev2,,ARP Mode,,34,,0,127,,,,,0-based,,
Dave Smith Instruments,Prophet Rev2,,ARP Range,,35,,0,127,,,,,0-based,,
Dave Smith Instruments,Prophet Rev2,,ARP Repeats,,36,,0,127,,,,,0-based,,
Dave Smith Instruments,Prophet Rev2,,Voice Volume,,37,,0,127,,,,,0-based,,
Dave Smith Instruments,Prophet Rev2,,Split Point,,39,,0,127,,,,,0-based,,
Dave Smith Instruments,Prophet Rev2,,Sustain Pedal,,64,,0,127,,,,,0-based,,
Dave Smith Instruments,Prophet Rev2,,Glide ON OFF,,65,,0,127,,,,,0-based,,
Dave Smith Instruments,Prophet Rev2,,AMP Sustain,,75,,0,127,,,,,0-based,,
Dave Smith Instruments,Prophet Rev2,,AMP Release,,76,,0,127,,,,,0-based,,
Dave Smith Instruments,Prophet Rev2,,ENV3 Sustain,,77,,0,127,,,,,0-based,,
Dave Smith Instruments,Prophet Rev2,,ENV3 Release,,78,,0,127,,,,,0-based,,
Dave Smith Instruments,Prophet Rev2,,ENV3 Destination,,85,,0,127,,,,,0-based,,
Dave Smith Instruments,Prophet Rev2,,ENV3 Amount,,86,,0,127,,,,,0-based,,
Dave Smith Instruments,Prophet Rev2,,ENV3 Velocity,,87,,0,127,,,,,0-based,,
Dave Smith Instruments,Prophet Rev2,,ENV3 Delay,,88,,0,127,,,,,0-based,,
Dave Smith Instruments,Prophet Rev2,,ENV3 Attack,,89,,0,127,,,,,0-based,,
Dave Smith Instruments,Prophet Rev2,,ENV3 Decay,,90,,0,127,,,,,0-based,,
Dave Smith Instruments,Prophet Rev2,,Filter Frequency,,102,,0,127,,,,,0-based,,
Dave Smith Instruments,Prophet Rev2,,Resonance,,103,,0,127,,,,,0-based,,
Dave Smith Instruments,Prophet Rev2,,Filter KEY Amount,,104,,0,127,,,,,0-based,,
Dave Smith Instruments,Prophet Rev2,,Filter Audio MOD,,105,,0,127,,,,,0-based,,
Dave Smith Instruments,Prophet Rev2,,Filter ENV Amount,,106,,0,127,,,,,0-based,,
Dave Smith Instruments,Prophet Rev2,,Filter ENV Velocity,,107,,0,127,,,,,0-based,,
Dave Smith Instruments,Prophet Rev2,,Filter Delay,,108,,0,127,,,,,0-based,,
Dave Smith Instruments,Prophet Rev2,,Filter Attack,,109,,0,127,,,,,0-based,,
Dave Smith Instruments,Prophet Rev2,,Filter Decay,,110,,0,127,,,,,0-based,,
Dave Smith Instruments,Prophet Rev2,,Filter Sustain,,111,,0,127,,,,,0-based,,
Dave Smith Instruments,Prophet Rev2,,Filter Release,,112,,0,127,,,,,0-based,,
Dave Smith Instruments,Prophet Rev2,,VCA Level,,113,,0,127,,,,,0-based,,
Dave Smith Instruments,Prophet Rev2,,PAN Spread,,114,,0,127,,,,,0-based,,
Dave Smith Instruments,Prophet Rev2,,AMP ENV Amount,,115,,0,127,,,,,0-based,,
Dave Smith Instruments,Prophet Rev2,,AMP ENV Velocity,,116,,0,127,,,,,0-based,,
Dave Smith Instruments,Prophet Rev2,,AMP Delay,,117,,0,127,,,,,0-based,,
Dave Smith Instruments,Prophet Rev2,,AMP Attack,,118,,0,127,,,,,0-based,,
Dave Smith Instruments,Prophet Rev2,,AMP Decay,,119,,0,127,,,,,0-based,,
Dave Smith Instruments,Prophet Rev2,,N OSC1 Freq,,,,,,0,0,0,16383,0-based,,
Dave Smith Instruments,Prophet Rev2,,N OSC1 Freq Fine,,,,,,0,1,0,16383,0-based,,
Dave Smith Instruments,Prophet Rev2,,N OSC1 Shape,,,,,,0,2,0,16383,0-based,,
Dave Smith Instruments,Prophet Rev2,,N OSC1 Glide,,,,,,0,3,0,16383,0-based,,
Dave Smith Instruments,Prophet Rev2,,N OSC1 KBD ON OFF,,,,,,0,4,0,16383,0-based,,
Dave Smith Instruments,Prophet Rev2,,N OSC2 Freq,,,,,,0,5,0,16383,0-based,,
