manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,cc_default_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,nrpn_default_value,orientation,notes,usage
Dirtywave,M8,MIDI mappings,Mapped parameter 0,,0,,0,127,,,,,,,0-based,,
Dirtywave,M8,MIDI mappings,Mapped parameter 1,,1,,0,127,,,,,,,0-based,,
Dirtywave,M8,MIDI mappings,Mapped parameter 2,,2,,0,127,,,,,,,0-based,,
Dirtywave,M8,MIDI mappings,Mapped parameter 3,,3,,0,127,,,,,,,0-based,,
Dirtywave,M8,MIDI mappings,Mapped parameter 4,,4,,0,127,,,,,,,0-based,,
Dirtywave,M8,MIDI mappings,Mapped parameter 5,,5,,0,127,,,,,,,0-based,,
Dirtywave,M8,MIDI mappings,Mapped parameter 6,,6,,0,127,,,,,,,0-based,,
Dirtywave,M8,MIDI mappings,Mapped parameter 7,,7,,0,127,,,,,,,0-based,,
Dirtywave,M8,MIDI mappings,Mapped parameter 8,,8,,0,127,,,,,,,0-based,,
Dirtywave,M8,MIDI mappings,Mapped parameter 9,,9,,0,127,,,,,,,0-based,,
Dirtywave,M8,MIDI mappings,Mapped parameter 10,,10,,0,127,,,,,,,0-based,,
Dirtywave,M8,MIDI mappings,Mapped parameter 11,,11,,0,127,,,,,,,0-based,,
Dirtywave,M8,MIDI mappings,Mapped parameter 12,,12,,0,127,,,,,,,0-based,,
Dirtywave,M8,MIDI mappings,Mapped parameter 13,,13,,0,127,,,,,,,0-based,,
Dirtywave,M8,MIDI mappings,Mapped parameter 14,,14,,0,127,,,,,,,0-based,,
Dirtywave,M8,MIDI mappings,Mapped parameter 15,,15,,0,127,,,,,,,0-based,,
Dirtywave,M8,MIDI mappings,Mapped parameter 16,,16,,0,127,,,,,,,0-based,,
Dirtywave,M8,MIDI mappings,Mapped parameter 17,,17,,0,127,,,,,,,0-based,,
Dirtywave,M8,MIDI mappings,Mapped parameter 18,,18,,0,127,,,,,,,0-based,,
Dirtywave,M8,MIDI mappings,Mapped parameter 19,,19,,0,127,,,,,,,0-based,,
Dirtywave,M8,MIDI mappings,Mapped parameter 20,,20,,0,127,,,,,,,0-based,,
Dirtywave,M8,MIDI mappings,Mapped parameter 21,,21,,0,127,,,,,,,0-based,,
Dirtywave,M8,MIDI mappings,Mapped parameter 22,,22,,0,127,,,,,,,0-based,,
Dirtywave,M8,MIDI mappings,Mapped parameter 23,,23,,0,127,,,,,,,0-based,,
Dirtywave,M8,MIDI mappings,Mapped parameter 24,,24,,0,127,,,,,,,0-based,,
Dirtywave,M8,MIDI mappings,Mapped parameter 25,,25,,0,127,,,,,,,0-based,,
Dirtywave,M8,MIDI mappings,Mapped parameter 26,,26,,0,127,,,,,,,0-based,,
Dirtywave,M8,MIDI mappings,Mapped parameter 27,,27,,0,127,,,,,,,0-based,,
Dirtywave,M8,MIDI mappings,Mapped parameter 28,,28,,0,127,,,,,,,0-based,,
Dirtywave,M8,MIDI mappings,Mapped parameter 29,,29,,0,127,,,,,,,0-based,,
Dirtywave,M8,MIDI mappings,Mapped parameter 30,,30,,0,127,,,,,,,0-based,,
Dirtywave,M8,MIDI mappings,Mapped parameter 31,,31,,0,127,,,,,,,0-based,,
Dirtywave,M8,MIDI mappings,Mapped parameter 32,,32,,0,127,,,,,,,0-based,,
Dirtywave,M8,MIDI mappings,Mapped parameter 33,,33,,0,127,,,,,,,0-based,,
Dirtywave,M8,MIDI mappings,Mapped parameter 34,,34,,0,127,,,,,,,0-based,,
Dirtywave,M8,MIDI mappings,Mapped parameter 35,,35,,0,127,,,,,,,0-based,,
Dirtywave,M8,MIDI mappings,Mapped parameter 36,,36,,0,127,,,,,,,0-based,,
Dirtywave,M8,MIDI mappings,Mapped parameter 37,,37,,0,127,,,,,,,0-based,,
Dirtywave,M8,MIDI mappings,Mapped parameter 38,,38,,0,127,,,,,,,0-based,,
Dirtywave,M8,MIDI mappings,Mapped parameter 39,,39,,0,127,,,,,,,0-based,,
Dirtywave,M8,MIDI mappings,Mapped parameter 40,,40,,0,127,,,,,,,0-based,,
Dirtywave,M8,MIDI mappings,Mapped parameter 41,,41,,0,127,,,,,,,0-based,,
Dirtywave,M8,MIDI mappings,Mapped parameter 42,,42,,0,127,,,,,,,0-based,,
Dirtywave,M8,MIDI mappings,Mapped parameter 43,,43,,0,127,,,,,,,0-based,,
Dirtywave,M8,MIDI mappings,Mapped parameter 44,,44,,0,127,,,,,,,0-based,,
Dirtywave,M8,MIDI mappings,Mapped parameter 45,,45,,0,127,,,,,,,0-based,,
Dirtywave,M8,MIDI mappings,Mapped parameter 46,,46,,0,127,,,,,,,0-based,,
Dirtywave,M8,MIDI mappings,Mapped parameter 47,,47,,0,127,,,,,,,0-based,,
Dirtywave,M8,MIDI mappings,Mapped parameter 48,,48,,0,127,,,,,,,0-based,,
Dirtywave,M8,MIDI mappings,Mapped parameter 49,,49,,0,127,,,,,,,0-based,,
Dirtywave,M8,MIDI mappings,Mapped parameter 50,,50,,0,127,,,,,,,0-based,,
Dirtywave,M8,MIDI mappings,Mapped parameter 51,,51,,0,127,,,,,,,0-based,,
Dirtywave,M8,MIDI mappings,Mapped parameter 52,,52,,0,127,,,,,,,0-based,,
Dirtywave,M8,MIDI mappings,Mapped parameter 53,,53,,0,127,,,,,,,0-based,,
Dirtywave,M8,MIDI mappings,Mapped parameter 54,,54,,0,127,,,,,,,0-based,,
Dirtywave,M8,MIDI mappings,Mapped parameter 55,,55,,0,127,,,,,,,0-based,,
Dirtywave,M8,MIDI mappings,Mapped parameter 56,,56,,0,127,,,,,,,0-based,,
Dirtywave,M8,MIDI mappings,Mapped parameter 57,,57,,0,127,,,,,,,0-based,,
Dirtywave,M8,MIDI mappings,Mapped parameter 58,,58,,0,127,,,,,,,0-based,,
Dirtywave,M8,MIDI mappings,Mapped parameter 59,,59,,0,127,,,,,,,0-based,,
Dirtywave,M8,MIDI mappings,Mapped parameter 60,,60,,0,127,,,,,,,0-based,,
Dirtywave,M8,MIDI mappings,Mapped parameter 61,,61,,0,127,,,,,,,0-based,,
Dirtywave,M8,MIDI mappings,Mapped parameter 62,,62,,0,127,,,,,,,0-based,,
Dirtywave,M8,MIDI mappings,Mapped parameter 63,,63,,0,127,,,,,,,0-based,,
Dirtywave,M8,MIDI mappings,Mapped parameter 64,,64,,0,127,,,,,,,0-based,,
Dirtywave,M8,MIDI mappings,Mapped parameter 65,,65,,0,127,,,,,,,0-based,,
Dirtywave,M8,MIDI mappings,Mapped parameter 66,,66,,0,127,,,,,,,0-based,,
Dirtywave,M8,MIDI mappings,Mapped parameter 67,,67,,0,127,,,,,,,0-based,,
Dirtywave,M8,MIDI mappings,Mapped parameter 68,,68,,0,127,,,,,,,0-based,,
Dirtywave,M8,MIDI mappings,Mapped parameter 69,,69,,0,127,,,,,,,0-based,,
Dirtywave,M8,MIDI mappings,Mapped parameter 70,,70,,0,127,,,,,,,0-based,,
Dirtywave,M8,MIDI mappings,Mapped parameter 71,,71,,0,127,,,,,,,0-based,,
Dirtywave,M8,MIDI mappings,Mapped parameter 72,,72,,0,127,,,,,,,0-based,,
