Dr Scientist,Dusk,Tempo,Remote Tap,Remotely taps tempo for LFO synchronization,9,,0,127,,,,,0-based,Any value triggers a tap,0-127: Tap (momentary)
Dr Scientist,Dusk,LFO,Waveform Select,Selects the LFO waveform,20,,0,127,,,,,0-based,Values are clamped to valid range,1-6: Waveform number (0 becomes 1, >6 becomes 6)
Dr Scientist,Dusk,LFO,LFO Rate x1,Controls normal LFO rate,23,,0,127,,,,,0-based,,0-127: Rate value
Dr Scientist,Dusk,LFO,LDO Rate x2,Controls LFO rate at 2x multiplier,24,,0,127,,,,,0-based,,0-127: Rate value
Dr Scientist,Dusk,LFO,LFO Rate x3,Controls LFO rate at 3x multiplier,25,,0,127,,,,,0-based,,0-127: Rate value
Dr Scientist,Dusk,LFO,Waveform ++,Increments the waveform selection,27,,0,127,,,,,0-based,Any value triggers increment,0-127: Increment waveform (momentary)
Dr Scientist,Dusk,LFO,Waveform --,Decrements the waveform selection,28,,0,127,,,,,0-based,Any value triggers decrement,0-127: Decrement waveform (momentary)
Dr Scientist,Dusk,Mode,Mode 1-3,Selects operating mode,29,,0,127,,,,,0-based,Values are clamped to valid range,1-3: Mode number (0 becomes 1, >3 becomes 3)
Dr Scientist,Dusk,LFO,LFO Subdivsions,Sets the rhythmic subdivision for the LFO,30,,0,127,,,,,0-based,,1: Whole note; 2: Dotted half note; 3: Half note; 4: Dotted quarter note; 5: Quarter note triplet; 6: Quarter note; 7: Dotted eighth note; 8: Eighth note triplet; 9: Eighth note; 10: Dotted sixteenth note; 11: Sixteenth note triplet; 12: Sixteenth note
Dr Scientist,Dusk,System,Save Settings to Preset,Saves current settings to a preset slot,55,,1,99,,,,,0-based,,1-99: Preset slot number
Dr Scientist,Dusk,Bypass,Bypass Foot Switch,Controls bypass state of the effect,80,,0,127,,,,,0-based,,0-63: Off; 64-127: On
Dr Scientist,Dusk,Control,Left Stomp Hold,Simulates holding the left stomp switch,82,,0,127,,,,,0-based,,0-63: Not held; 64-127: Held
Dr Scientist,Dusk,LFO,Freeze LFO,Pauses or resumes the LFO,83,,0,127,,,,,0-based,,0-63: Pause; 64-127: Resume
Dr Scientist,Dusk,Filter,Filter Knob,Controls the filter setting,102,,0,127,,,,,0-based,,0-127: Filter value
Dr Scientist,Dusk,Envelope,Ramping Speed,Controls speed of envelope ramping,103,,0,127,,,,,0-based,Values are clamped to valid range,1-20: Ramping speed (0 becomes 1, >20 becomes 20)
Dr Scientist,Dusk,Mode,Mode++,Increments the mode selection,105,,0,127,,,,,0-based,Any value triggers increment,0-127: Increment mode (momentary)
Dr Scientist,Dusk,Mode,Mode--,Decrements the mode selection,106,,0,127,,,,,0-based,Any value triggers decrement,0-127: Decrement mode (momentary)
Dr Scientist,Dusk,Envelope,Envelope Direction,Controls direction of the envelope,107,,0,127,,,,,0-based,,0-63: Down; 64-127: Up
