manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,cc_default_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,nrpn_default_value,orientation,notes,usage
Dreadbox,Nymphes,Oscillator,Oscillator level,,9,,0,127,,,,,,,0-based,,
Dreadbox,Nymphes,Oscillator,Sub level,,10,,0,127,,,,,,,0-based,,
Dreadbox,Nymphes,Oscillator,Noise level,,11,,0,127,,,,,,,0-based,,
Dreadbox,Nymphes,Oscillator,Pulse width,,12,,0,127,,,,,,,0-based,,
Dreadbox,Nymphes,Oscillator,LFO pitch depth,,13,,0,127,,,,,,,0-based,,
Dreadbox,Nymphes,Oscillator,EG pitch depth,,14,,0,127,,,,,,,0-based,,
Dreadbox,Nymphes,Oscillator,Detune,,15,,0,127,,,,,,,0-based,,
Dreadbox,Nymphes,Oscillator,Chord selector,,16,,0,127,,,,,,,0-based,,
Dreadbox,Nymphes,Oscillator,OSC wave,,70,,0,127,,,,,,,0-based,,
Dreadbox,Nymphes,Amp,Amp level,,7,,0,127,,,,,,,0-based,,
Dreadbox,Nymphes,Amp,Amp EG attack,,73,,0,127,,,,,,,0-based,,
Dreadbox,Nymphes,Amp,Amp EG decay,,84,,0,127,,,,,,,0-based,,
Dreadbox,Nymphes,Amp,Amp EG sustain,,85,,0,127,,,,,,,0-based,,
Dreadbox,Nymphes,Amp,Amp EG release,,72,,0,127,,,,,,,0-based,,
Dreadbox,Nymphes,Filter,LPF cutoff,,74,,0,127,,,,,,,0-based,,
Dreadbox,Nymphes,Filter,LPF tracking,,4,,0,127,,,,,,,0-based,,
Dreadbox,Nymphes,Filter,HPF cutoff,,81,,0,127,,,,,,,0-based,,
Dreadbox,Nymphes,Filter,Resonance,,71,,0,127,,,,,,,0-based,,
Dreadbox,Nymphes,Filter,Filter EG attack,,79,,0,127,,,,,,,0-based,,
Dreadbox,Nymphes,Filter,Filter EG decay,,80,,0,127,,,,,,,0-based,,
Dreadbox,Nymphes,Filter,Filter EG sustain,,82,,0,127,,,,,,,0-based,,
Dreadbox,Nymphes,Filter,Filter EG release,,83,,0,127,,,,,,,0-based,,
Dreadbox,Nymphes,Filter,LPF EG depth,,3,,0,127,,,,,,,0-based,,
Dreadbox,Nymphes,Filter,LFO cutoff depth,,8,,0,127,,,,,,,0-based,,
Dreadbox,Nymphes,Reverb,Reverb size,,75,,0,127,,,,,,,0-based,,
Dreadbox,Nymphes,Reverb,Reverb decay,,76,,0,127,,,,,,,0-based,,
Dreadbox,Nymphes,Reverb,Reverb filter,,77,,0,127,,,,,,,0-based,,
Dreadbox,Nymphes,Reverb,Reverb mix,,78,,0,127,,,,,,,0-based,,
Dreadbox,Nymphes,LFO 1,LFO 1 rate,,18,,0,127,,,,,,,0-based,,
Dreadbox,Nymphes,LFO 1,LFO 1 wave,,19,,0,127,,,,,,,0-based,"Discrete waveforms: triangle, saw/ramp down, saw/ramp up, square, and random (sample-and-hold)",
Dreadbox,Nymphes,LFO 1,LFO 1 delay,,20,,0,127,,,,,,,0-based,,
Dreadbox,Nymphes,LFO 1,LFO 1 fade,,21,,0,127,,,,,,,0-based,,
