manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,cc_default_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,nrpn_default_value,orientation,notes,usage
Dreadbox,Telepathy,LFO,LFO rate,,16,,0,127,,,,,,,0-based,,
Dreadbox,Telepathy,LFO,LFO wave,,17,,0,127,,,,,,,0-based,,
Dreadbox,Telepathy,LFO,LFO fade in,,18,,0,127,,,,,,,0-based,,
Dreadbox,Telepathy,LFO,LFO mode,,19,,0,127,,,,,,,0-based,,
Dreadbox,Telepathy,LFO,Pitch LFO amount,,1,,0,127,,,,,,,0-based,,
Dreadbox,Telepathy,LFO,Cutoff LFO amount,,9,,0,127,,,,,,,0-based,,
Dreadbox,Telepathy,LFO,Pulse width LFO amount,,12,,0,127,,,,,,,0-based,,
Dreadbox,Telepathy,LFO,Noise LFO amount,,22,,0,127,,,,,,,0-based,,
Dreadbox,Telepathy,LFO,Wave LFO amount,,20,,0,127,,,,,,,0-based,,
Dreadbox,Telepathy,Oscillator,Tune,,14,,0,127,,,,,,,centered,,
Dreadbox,Telepathy,Oscillator,Quantized,,15,,0,127,,,,,,,0-based,,
Dreadbox,Telepathy,Oscillator,Oscillator wave,,70,,0,127,,,,,,,0-based,,
Dreadbox,Telepathy,Oscillator,Pulse width,,11,,0,127,,,,,,,0-based,,
Dreadbox,Telepathy,Oscillator,Noise level,,10,,0,127,,,,,,,0-based,,
Dreadbox,Telepathy,Oscillator,Oscillator level,,7,,0,127,,,,,,,centered,,
Dreadbox,Telepathy,Oscillator,Pitch envelope amount,,13,,0,127,,,,,,,0-based,,
Dreadbox,Telepathy,Oscillator,Pulse width envelope amount,,21,,0,127,,,,,,,0-based,,
Dreadbox,Telepathy,Filter,Cutoff,,74,,0,127,,,,,,,0-based,,
Dreadbox,Telepathy,Filter,Resonance,,71,,0,127,,,,,,,0-based,,
Dreadbox,Telepathy,Filter,High-pass filter,,81,,0,127,,,,,,,0-based,,
Dreadbox,Telepathy,Filter,Filter tracking,,4,,0,127,,,,,,,0-based,,
Dreadbox,Telepathy,Filter,Cutoff envelope amount,,3,,0,127,,,,,,,0-based,,
Dreadbox,Telepathy,Filter,Filter frequency modulation amount,,23,,0,127,,,,,,,0-based,,
Dreadbox,Telepathy,Filter,Noise frequency modulation amount,,24,,0,127,,,,,,,0-based,,
Dreadbox,Telepathy,Filter envelope,Filter envelope wave,,25,,0,127,,,,,,,0-based,,
Dreadbox,Telepathy,Filter envelope,Filter envelope time,,26,,0,127,,,,,,,0-based,,
Dreadbox,Telepathy,Filter envelope,Filter envelope sustain,,29,,0,127,,,,,,,0-based,,
Dreadbox,Telepathy,Filter envelope,Filter envelope loop,,30,,0,127,,,,,,,0-based,,
Dreadbox,Telepathy,Amplifier envelope,Amplifier envelope wave,,27,,0,127,,,,,,,0-based,,
Dreadbox,Telepathy,Amplifier envelope,Amplifier envelope time,,28,,0,127,,,,,,,0-based,,
Dreadbox,Telepathy,Amplifier envelope,Amplifier sustain,,31,,0,127,,,,,,,0-based,,
Dreadbox,Telepathy,Amplifier envelope,Drone,,33,,0,127,,,,,,,0-based,,
Dreadbox,Telepathy,Performance,Velocity amount,,32,,0,127,,,,,,,0-based,,
Dreadbox,Telepathy,CV modulation,LFO rate control voltage amount,,34,,0,127,,,,,,,0-based,,
Dreadbox,Telepathy,CV modulation,LFO wave control voltage amount,,35,,0,127,,,,,,,0-based,,
Dreadbox,Telepathy,CV modulation,Pitch LFO amount control voltage amount,,36,,0,127,,,,,,,0-based,,
Dreadbox,Telepathy,CV modulation,Cutoff LFO amount control voltage amount,,37,,0,127,,,,,,,0-based,,
Dreadbox,Telepathy,CV modulation,Tune control voltage amount,,39,,0,127,,,,,,,0-based,,
Dreadbox,Telepathy,CV modulation,Oscillator wave control voltage amount,,40,,0,127,,,,,,,0-based,,
Dreadbox,Telepathy,CV modulation,Pulse width control voltage amount,,41,,0,127,,,,,,,0-based,,
Dreadbox,Telepathy,CV modulation,Noise level control voltage amount,,42,,0,127,,,,,,,0-based,,
Dreadbox,Telepathy,CV modulation,Cutoff control voltage amount,,43,,0,127,,,,,,,0-based,,
Dreadbox,Telepathy,CV modulation,High-pass filter control voltage amount,,44,,0,127,,,,,,,0-based,,
Dreadbox,Telepathy,CV modulation,Resonance control voltage amount,,45,,0,127,,,,,,,0-based,,
Dreadbox,Telepathy,CV modulation,Cutoff envelope amount control voltage amount,,46,,0,127,,,,,,,0-based,,
Dreadbox,Telepathy,CV modulation,Filter envelope wave control voltage amount,,47,,0,127,,,,,,,0-based,,
Dreadbox,Telepathy,CV modulation,Filter envelope time control voltage amount,,48,,0,127,,,,,,,0-based,,
Dreadbox,Telepathy,CV modulation,Amplifier envelope wave control voltage amount,,49,,0,127,,,,,,,0-based,,
Dreadbox,Telepathy,CV modulation,Amplifier envelope time control voltage amount,,50,,0,127,,,,,,,0-based,,
Dreadbox,Telepathy,MIDI,All sound off,,120,,0,127,,,,,,,0-based,,
Dreadbox,Telepathy,MIDI,All notes off,,123,,0,127,,,,,,,0-based,,
