manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,cc_default_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,nrpn_default_value,orientation,notes,usage
Dreadbox,Typhon v4.2,General,MOD WHEEL,,1,,0,127,,,,,,,0-based,,
Dreadbox,Typhon v4.2,General,CC2,,2,,0,127,,,,,,,0-based,,
Dreadbox,Typhon v4.2,Filter,FILTER FM,,4,,0,127,,,,,,,0-based,,
Dreadbox,Typhon v4.2,Glide,GLIDE,,5,,0,127,,,,,,,0-based,,
Dreadbox,Typhon v4.2,Filter,FILTER EG LEVEL,,6,,0,127,,,,,,,0-based,,
Dreadbox,Typhon v4.2,General,PRESET VOLUME,,7,,0,127,,,,,,,0-based,,
Dreadbox,Typhon v4.2,Filter,FILTER EG ATTACK,,8,,0,127,,,,,,,0-based,,
Dreadbox,Typhon v4.2,Filter,FILTER EG DECAY,,9,,0,127,,,,,,,0-based,,
Dreadbox,Typhon v4.2,Filter,FILTER EG SUSTAIN,,10,,0,127,,,,,,,0-based,,
Dreadbox,Typhon v4.2,Filter,FILTER EG RELEASE,,11,,0,127,,,,,,,0-based,,
Dreadbox,Typhon v4.2,Filter,FILTER EG TIME,,12,,0,127,,,,,,,0-based,,
Dreadbox,Typhon v4.2,Modulators,M1 PARAMETER 1,,13,,0,127,,,,,,,0-based,,
Dreadbox,Typhon v4.2,Modulators,M1 PARAMETER 2,,14,,0,127,,,,,,,0-based,,
Dreadbox,Typhon v4.2,Modulators,M1 PARAMETER 3,,15,,0,127,,,,,,,0-based,,
Dreadbox,Typhon v4.2,Modulators,M1 MODE,,16,,0,127,,,,,,,0-based,,
Dreadbox,Typhon v4.2,Modulators,M1 CV LEVEL,,17,,0,127,,,,,,,0-based,,
Dreadbox,Typhon v4.2,Modulators,M1 CV1 LEVEL,,18,,0,127,,,,,,,0-based,,
Dreadbox,Typhon v4.2,Modulators,M1 CV2 LEVEL,,19,,0,127,,,,,,,0-based,,
Dreadbox,Typhon v4.2,Modulators,M1 WAVE LEVEL,,20,,0,127,,,,,,,0-based,,
Dreadbox,Typhon v4.2,Modulators,M1 CUTOFF LEVEL,,21,,0,127,,,,,,,0-based,,
Dreadbox,Typhon v4.2,Modulators,M1 VCA LEVEL,,22,,0,127,,,,,,,0-based,,
Dreadbox,Typhon v4.2,Modulators,M1 FX1 LEVEL,,23,,0,127,,,,,,,0-based,,
Dreadbox,Typhon v4.2,Modulators,M1 FFM LEVEL,,24,,0,127,,,,,,,0-based,,
Dreadbox,Typhon v4.2,Modulators,M1 FX2 LEVEL,,25,,0,127,,,,,,,0-based,,
Dreadbox,Typhon v4.2,Modulators,M1 FX3 LEVEL,,26,,0,127,,,,,,,0-based,,
Dreadbox,Typhon v4.2,Modulators,M1 CUSTOM 1 LVL,,27,,0,127,,,,,,,0-based,,
Dreadbox,Typhon v4.2,Modulators,M1 CUSTOM 2 LVL,,28,,0,127,,,,,,,0-based,,
Dreadbox,Typhon v4.2,Modulators,M1 CUSTOM 3 LVL,,29,,0,127,,,,,,,0-based,,
Dreadbox,Typhon v4.2,Modulators,M2 PARAMETER 1,,30,,0,127,,,,,,,0-based,,
Dreadbox,Typhon v4.2,Modulators,M2 PARAMETER 2,,31,,0,127,,,,,,,0-based,,
Dreadbox,Typhon v4.2,Modulators,M2 PARAMETER 3,,33,,0,127,,,,,,,0-based,,
Dreadbox,Typhon v4.2,Modulators,M2 MODE,,34,,0,127,,,,,,,0-based,,
Dreadbox,Typhon v4.2,Modulators,M2 CV LEVEL,,35,,0,127,,,,,,,0-based,,
Dreadbox,Typhon v4.2,Modulators,M2 CV1 LEVEL,,36,,0,127,,,,,,,0-based,,
Dreadbox,Typhon v4.2,Modulators,M2 CV2 LEVEL,,37,,0,127,,,,,,,0-based,,
Dreadbox,Typhon v4.2,Modulators,M2 WAVE LEVEL,,38,,0,127,,,,,,,0-based,,
Dreadbox,Typhon v4.2,Modulators,M2 CUTOFF LEVEL,,39,,0,127,,,,,,,0-based,,
Dreadbox,Typhon v4.2,Modulators,M2 VCA LEVEL,,40,,0,127,,,,,,,0-based,,
Dreadbox,Typhon v4.2,Modulators,M2 FX1 LEVEL,,41,,0,127,,,,,,,0-based,,
Dreadbox,Typhon v4.2,Modulators,M2 FFM LEVEL,,42,,0,127,,,,,,,0-based,,
Dreadbox,Typhon v4.2,Modulators,M2 FX2 LEVEL,,43,,0,127,,,,,,,0-based,,
Dreadbox,Typhon v4.2,Modulators,M2 FX3 LEVEL,,44,,0,127,,,,,,,0-based,,
Dreadbox,Typhon v4.2,Modulators,M2 CUSTOM 1 LVL,,45,,0,127,,,,,,,0-based,,
Dreadbox,Typhon v4.2,Modulators,M2 CUSTOM 2 LVL,,46,,0,127,,,,,,,0-based,,
Dreadbox,Typhon v4.2,Modulators,M2 CUSTOM 3 LVL,,47,,0,127,,,,,,,0-based,,
Dreadbox,Typhon v4.2,Modulators,M3 PARAMETER 1,,48,,0,127,,,,,,,0-based,,
Dreadbox,Typhon v4.2,Modulators,M3 PARAMETER 2,,49,,0,127,,,,,,,0-based,,
Dreadbox,Typhon v4.2,Modulators,M3 PARAMETER 3,,50,,0,127,,,,,,,0-based,,
Dreadbox,Typhon v4.2,Modulators,M3 MODE,,51,,0,127,,,,,,,0-based,,
Dreadbox,Typhon v4.2,Modulators,M3 CV LEVEL,,52,,0,127,,,,,,,0-based,,
Dreadbox,Typhon v4.2,Modulators,M3 CV1 LEVEL,,53,,0,127,,,,,,,0-based,,
Dreadbox,Typhon v4.2,Modulators,M3 CV2 LEVEL,,54,,0,127,,,,,,,0-based,,
Dreadbox,Typhon v4.2,Modulators,M3 WAVE LEVEL,,55,,0,127,,,,,,,0-based,,
Dreadbox,Typhon v4.2,Modulators,M3 CUTOFF LEVEL,,56,,0,127,,,,,,,0-based,,
Dreadbox,Typhon v4.2,Modulators,M3 VCA LEVEL,,57,,0,127,,,,,,,0-based,,
Dreadbox,Typhon v4.2,Modulators,M3 FX1 LEVEL,,58,,0,127,,,,,,,0-based,,
Dreadbox,Typhon v4.2,Modulators,M3 FFM LEVEL,,59,,0,127,,,,,,,0-based,,
Dreadbox,Typhon v4.2,Modulators,M3 FX2 LEVEL,,60,,0,127,,,,,,,0-based,,
Dreadbox,Typhon v4.2,Modulators,M3 FX3 LEVEL,,61,,0,127,,,,,,,0-based,,
Dreadbox,Typhon v4.2,Modulators,M3 CUSTOM 1 LVL,,62,,0,127,,,,,,,0-based,,
Dreadbox,Typhon v4.2,Modulators,M3 CUSTOM 2 LVL,,63,,0,127,,,,,,,0-based,,
Dreadbox,Typhon v4.2,General,SUSTAIN PEDAL,,64,,0,127,,,,,,,0-based,,
Dreadbox,Typhon v4.2,Modulators,M3 CUSTOM 3 LVL,,65,,0,127,,,,,,,0-based,,
Dreadbox,Typhon v4.2,Glide,GLIDE MODE,,67,,0,127,,,,,,,0-based,,
Dreadbox,Typhon v4.2,Glide,LEGATO,,68,,0,127,,,,,,,0-based,,
Dreadbox,Typhon v4.2,VCO,WAVESHAPE,,70,,0,127,,,,,,,0-based,,
Dreadbox,Typhon v4.2,VCO,VCO RESONANCE,,71,,0,127,,,,,,,0-based,,
Dreadbox,Typhon v4.2,VCA,VCA EG RELEASE,,72,,0,127,,,,,,,0-based,,
Dreadbox,Typhon v4.2,VCA,VCA EG ATTACK,,73,,0,127,,,,,,,0-based,,
Dreadbox,Typhon v4.2,Filter,CUTOFF,,74,,0,127,,,,,,,0-based,,
Dreadbox,Typhon v4.2,Filter,FILTER TRACKING,,75,,0,127,,,,,,,0-based,,
Dreadbox,Typhon v4.2,VCO,VCO LEVEL,,76,,0,127,,,,,,,0-based,,
Dreadbox,Typhon v4.2,VCO,OSC2 OFFSET,,77,,0,127,,,,,,,0-based,,
Dreadbox,Typhon v4.2,VCA,VCA EG TIME,,78,,0,127,,,,,,,0-based,,
Dreadbox,Typhon v4.2,VCA,VCA EG SUSTAIN,,79,,0,127,,,,,,,0-based,,
Dreadbox,Typhon v4.2,VCA,VCA EG DECAY,,80,,0,127,,,,,,,0-based,,
Dreadbox,Typhon v4.2,FX,FX1 HP CUTOFF,,81,,0,127,,,,,,,0-based,,
Dreadbox,Typhon v4.2,FX,FX1 HP RESONANCE,,82,,0,127,,,,,,,0-based,,
Dreadbox,Typhon v4.2,FX,FX1 PARAMETER 1,,83,,0,127,,,,,,,0-based,,
Dreadbox,Typhon v4.2,FX,FX1 PARAMETER 2,,84,,0,127,,,,,,,0-based,,
Dreadbox,Typhon v4.2,FX,FX1 MIX,,85,,0,127,,,,,,,0-based,,
Dreadbox,Typhon v4.2,FX,FX1 TYPE,,86,,0,127,,,,,,,0-based,,
Dreadbox,Typhon v4.2,FX,FX2 PARAMETER 1,,87,,0,127,,,,,,,0-based,,
Dreadbox,Typhon v4.2,FX,FX2 PARAMETER 2,,88,,0,127,,,,,,,0-based,,
Dreadbox,Typhon v4.2,FX,FX2 PARAMETER 3,,89,,0,127,,,,,,,0-based,,
Dreadbox,Typhon v4.2,FX,FX2 FEED,,90,,0,127,,,,,,,0-based,,
Dreadbox,Typhon v4.2,FX,FX2 MIX,,91,,0,127,,,,,,,0-based,,
Dreadbox,Typhon v4.2,FX,FX2 TYPE,,92,,0,127,,,,,,,0-based,,
Dreadbox,Typhon v4.2,FX,FX3 PARAMETER 1,,93,,0,127,,,,,,,0-based,,
Dreadbox,Typhon v4.2,FX,FX3 PARAMETER 2,,94,,0,127,,,,,,,0-based,,
Dreadbox,Typhon v4.2,FX,FX3 FEED,,95,,0,127,,,,,,,0-based,,
Dreadbox,Typhon v4.2,FX,FX3 PARAMETER 4,,96,,0,127,,,,,,,0-based,,
Dreadbox,Typhon v4.2,FX,FX3 MIX,,97,,0,127,,,,,,,0-based,,
Dreadbox,Typhon v4.2,FX,FX3 TYPE,,98,,0,127,,,,,,,0-based,,
Dreadbox,Typhon v4.2,SEQ,SEQ LENGTH,,99,,0,127,,,,,,,0-based,,
Dreadbox,Typhon v4.2,SEQ,SEQ DIVISION,,100,,0,127,,,,,,,0-based,,
Dreadbox,Typhon v4.2,SEQ,SEQ PROBABILITY,,101,,0,127,,,,,,,0-based,,
Dreadbox,Typhon v4.2,SEQ,SEQ SWING,,102,,0,127,,,,,,,0-based,,
Dreadbox,Typhon v4.2,General,ALL SOUNDS OFF,,120,,0,127,,,,,,,0-based,,
Dreadbox,Typhon v4.2,General,ALL NOTES OFF,,123,,0,127,,,,,,,0-based,,
