manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,cc_default_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,nrpn_default_value,orientation,notes,usage
E-MU,MP-7 Command Station,General,Bank select,,0,32,,,,,,,,,0-based,,
E-MU,MP-7 Command Station,General,Mod wheel,,1,33,,,,,,,,,0-based,,
E-MU,MP-7 Command Station,General,Channel volume,,7,39,,,,,,,,,0-based,,
E-MU,MP-7 Command Station,General,Pan,,10,42,,,,,,,,,centered,,
E-MU,MP-7 Command Station,General,Expression,,11,43,,,,,,,,,0-based,,
E-MU,MP-7 Command Station,General,GenPur Ctrl 1,,16,48,,,,,,,,,0-based,,
E-MU,MP-7 Command Station,General,GenPur Ctrl 2,,17,49,,,,,,,,,0-based,,
E-MU,MP-7 Command Station,General,GenPur Ctrl 3,,18,50,,,,,,,,,0-based,,
E-MU,MP-7 Command Station,General,GenPur Ctrl 4,,19,51,,,,,,,,,0-based,,
E-MU,MP-7 Command Station,Filter,Filter attack,,25,,,,,,,,,,0-based,,
E-MU,MP-7 Command Station,Filter,Filter decay,,26,,,,,,,,,,0-based,,
E-MU,MP-7 Command Station,General,Sustain pedal,,64,,,,,,,,,,0-based,,
E-MU,MP-7 Command Station,Sound,Timbre/Har Inten,,71,,,,,,,,,,0-based,,
E-MU,MP-7 Command Station,Sound,Release time,,72,,,,,,,,,,0-based,,
E-MU,MP-7 Command Station,Sound,Attack time,,73,,,,,,,,,,0-based,,
E-MU,MP-7 Command Station,Sound,Brightness,,74,,,,,,,,,,0-based,,
E-MU,MP-7 Command Station,Sound,Decay,,75,,,,,,,,,,0-based,,
E-MU,MP-7 Command Station,Velocity,Vel->Filt,,77,,,,,,,,,,0-based,,
E-MU,MP-7 Command Station,Velocity,Vel->Amp,,78,,,,,,,,,,0-based,,
E-MU,MP-7 Command Station,General,Mix output,,79,,,,,,,,,,0-based,,0: Use preset; 1: Send 1; 2: Send 2; 3: Send 3; 4: Send 4
E-MU,MP-7 Command Station,Arpeggiator,Arp status,,80,,,,,,,,,,0-based,,0: Off; 1: On; 2: Preset; 3: Master
E-MU,MP-7 Command Station,Arpeggiator,Arp vel,,82,,,,,,,,,,0-based,,
E-MU,MP-7 Command Station,Arpeggiator,Arp gate,,83,,,,,,,,,,0-based,,
E-MU,MP-7 Command Station,General,All sound off,,120,,,,,,,,,,0-based,,
E-MU,MP-7 Command Station,General,Reset all contlrs,,121,,,,,,,,,,0-based,,
E-MU,MP-7 Command Station,General,All notes off,,123,,,,,,,,,,0-based,,
E-MU,MP-7 Command Station,General,Omni mode off,,124,,,,,,,,,,0-based,,
E-MU,MP-7 Command Station,General,Omni mode on,,125,,,,,,,,,,0-based,,
E-MU,MP-7 Command Station,General,Poly mode off,,126,,,,,,,,,,0-based,,
E-MU,MP-7 Command Station,General,Poly mode on,,127,,,,,,,,,,0-based,,
