manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,cc_default_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,nrpn_default_value,orientation,notes,usage
E-MU,XL-7 Command Station,General,Bank select,,0,32,0,127,,,,,,,0-based,,
E-MU,XL-7 Command Station,Modulation,Alternate modulation parameter 1,,1,,0,127,,,,,,,0-based,"Realtime controller M in the manual's default assignment; the knob-function list and the controller letters are printed in separate sections, paired here in the order both are listed",
E-MU,XL-7 Command Station,Modulation,Alternate modulation parameter 2,,3,,0,127,,,,,,,0-based,"Realtime controller N in the manual's default assignment; the knob-function list and the controller letters are printed in separate sections, paired here in the order both are listed",
E-MU,XL-7 Command Station,General,Channel volume,,7,,0,127,,,,,,,0-based,,
E-MU,XL-7 Command Station,General,Pan,"0 = hard left, 64 = center, 127 = hard right",10,,0,127,,,,,,,centered,,
E-MU,XL-7 Command Station,Filter,Filter envelope attack rate,,25,,0,127,,,,,,,0-based,"Realtime controller C in the manual's default assignment; the knob-function list and the controller letters are printed in separate sections, paired here in the order both are listed",
E-MU,XL-7 Command Station,Filter,Filter envelope decay and release rate,,26,,0,127,,,,,,,0-based,"Realtime controller D in the manual's default assignment; the knob-function list and the controller letters are printed in separate sections, paired here in the order both are listed",
E-MU,XL-7 Command Station,LFO,LFO 2 amount,,27,,0,127,,,,,,,0-based,"Realtime controller K in the manual's default assignment; the knob-function list and the controller letters are printed in separate sections, paired here in the order both are listed",
E-MU,XL-7 Command Station,LFO,LFO 2 frequency,,28,,0,127,,,,,,,0-based,"Realtime controller L in the manual's default assignment; the knob-function list and the controller letters are printed in separate sections, paired here in the order both are listed",
E-MU,XL-7 Command Station,Footswitches,Footswitch 1,,64,,0,127,,,,,,,0-based,Default footswitch controller assignment,0-63: Off; 64-127: On
E-MU,XL-7 Command Station,Footswitches,Footswitch 2,,65,,0,127,,,,,,,0-based,Default footswitch controller assignment,0-63: Off; 64-127: On
E-MU,XL-7 Command Station,Footswitches,Footswitch 3,,66,,0,127,,,,,,,0-based,Default footswitch controller assignment,0-63: Off; 64-127: On
E-MU,XL-7 Command Station,Filter,Filter Q,,71,,0,127,,,,,,,0-based,"Realtime controller B in the manual's default assignment; the knob-function list and the controller letters are printed in separate sections, paired here in the order both are listed",
E-MU,XL-7 Command Station,Amplifier,Volume envelope release rate,,72,,0,127,,,,,,,0-based,"Realtime controller H in the manual's default assignment; the knob-function list and the controller letters are printed in separate sections, paired here in the order both are listed",
E-MU,XL-7 Command Station,Amplifier,Volume envelope attack rate,,73,,0,127,,,,,,,0-based,"Realtime controller E in the manual's default assignment; the knob-function list and the controller letters are printed in separate sections, paired here in the order both are listed",
E-MU,XL-7 Command Station,Filter,Filter cutoff,,74,,0,127,,,,,,,0-based,"Realtime controller A in the manual's default assignment; the knob-function list and the controller letters are printed in separate sections, paired here in the order both are listed",
E-MU,XL-7 Command Station,Amplifier,Volume envelope decay rate,,75,,0,127,,,,,,,0-based,"Realtime controller F in the manual's default assignment; the knob-function list and the controller letters are printed in separate sections, paired here in the order both are listed",
E-MU,XL-7 Command Station,Velocity,Key velocity to filter frequency,,77,,0,127,,,,,,,0-based,"Realtime controller J in the manual's default assignment; the knob-function list and the controller letters are printed in separate sections, paired here in the order both are listed",
E-MU,XL-7 Command Station,Velocity,Key velocity to volume,,78,,0,127,,,,,,,0-based,"Realtime controller I in the manual's default assignment; the knob-function list and the controller letters are printed in separate sections, paired here in the order both are listed",
E-MU,XL-7 Command Station,General,Realtime controller O,,82,,0,127,,,,,,,0-based,Default assignment for controller O; the knob-function list names only controllers A-N,
E-MU,XL-7 Command Station,General,Realtime controller P,,83,,0,127,,,,,,,0-based,Default assignment for controller P; the knob-function list names only controllers A-N,
E-MU,XL-7 Command Station,Amplifier,Volume envelope sustain level,,85,,0,127,,,,,,,0-based,"Realtime controller G in the manual's default assignment; the knob-function list and the controller letters are printed in separate sections, paired here in the order both are listed",
E-MU,XL-7 Command Station,General,All sound off,,120,,0,127,,,,,,,0-based,,
E-MU,XL-7 Command Station,General,Reset all controllers,Ignored in omni mode,121,,0,127,,,,,,,0-based,,
E-MU,XL-7 Command Station,General,All notes off,Ignored in omni mode,123,,0,127,,,,,,,0-based,,
E-MU,XL-7 Command Station,General,Omni mode off,,124,,0,127,,,,,,,0-based,,
E-MU,XL-7 Command Station,General,Omni mode on,,125,,0,127,,,,,,,0-based,,
E-MU,XL-7 Command Station,General,Mono mode on,,126,,0,127,,,,,,,0-based,,
E-MU,XL-7 Command Station,General,Poly mode on,,127,,0,127,,,,,,,0-based,,
