manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,orientation,notes,usage
Elektron,Analog Four MKII,Performance parameters,Performance parameter A,,3,,0,127,0,0,0,127,0-based,,
Elektron,Analog Four MKII,Performance parameters,Performance parameter B,,4,,0,127,0,1,0,127,0-based,,
Elektron,Analog Four MKII,Performance parameters,Performance parameter C,,8,,0,127,0,2,0,127,0-based,,
Elektron,Analog Four MKII,Performance parameters,Performance parameter D,,9,,0,127,0,3,0,127,0-based,,
Elektron,Analog Four MKII,Performance parameters,Performance parameter E,,11,,0,127,0,4,0,127,0-based,,
Elektron,Analog Four MKII,Performance parameters,Performance parameter F,,64,,0,127,0,5,0,127,0-based,,
Elektron,Analog Four MKII,Performance parameters,Performance parameter G,,65,,0,127,0,6,0,127,0-based,,
Elektron,Analog Four MKII,Performance parameters,Performance parameter H,,66,,0,127,0,7,0,127,0-based,,
Elektron,Analog Four MKII,Performance parameters,Performance parameter I,,67,,0,127,0,8,0,127,0-based,,
Elektron,Analog Four MKII,Performance parameters,Performance parameter J,,68,,0,127,0,9,0,127,0-based,,
Elektron,Analog Four MKII,Modulation parameters,Modwheel,,1,,0,127,,,,,0-based,,
Elektron,Analog Four MKII,Modulation parameters,Breath controller,,2,,0,127,,,,,0-based,,
Elektron,Analog Four MKII,Modulation parameters,Track level,,95,,0,127,1,100,0,127,0-based,,
Elektron,Analog Four MKII,Synth OSC1,OSC1 Pitch,,16,48,0,127,1,0,0,127,0-based,,
Elektron,Analog Four MKII,Synth OSC1,OSC1 Detune,,,,,,1,2,0,127,0-based,,
Elektron,Analog Four MKII,Synth OSC1,OSC1 Keytracking,,,,,,1,3,0,127,0-based,,
Elektron,Analog Four MKII,Synth OSC1,OSC1 Level,,69,,0,127,1,4,0,127,0-based,,
Elektron,Analog Four MKII,Synth OSC1,OSC1 Waveform,,70,,0,127,1,5,0,127,0-based,,
Elektron,Analog Four MKII,Synth OSC1,OSC1 Sub oscillator,,71,,0,127,1,6,0,127,0-based,,
Elektron,Analog Four MKII,Synth OSC1,OSC1 Pulsewidth,,72,,0,127,1,7,0,127,0-based,,
Elektron,Analog Four MKII,Synth OSC1,OSC1 PWM speed,,73,,0,127,1,,0,127,0-based,,
Elektron,Analog Four MKII,Synth OSC1,OSC1 PWM depth,,74,,0,127,1,9,0,127,0-based,,
Elektron,Analog Four MKII,Synth noise,Noise S&H,,75,,0,127,1,10,0,127,0-based,,
