manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,orientation,notes,usage
Elektron,Analog Heat +FX,Heat: Character,Character: Circuit,,108,,0,7,1,108,0,7,0-based,,0: Clean Boost; 1: Saturation; 2: Enhance; 3: Mid Drive; 4: Rough Crunch; 5: Classic Distortion; 6: Round Fuzz; 7: High Gain
Elektron,Analog Heat +FX,Heat: Character,Character: Drive,,109,37,0,16256,1,109,0,16256,0-based,,
Elektron,Analog Heat +FX,Heat: Character,Character: Level,,110,39,0,16256,1,110,0,16256,0-based,,
Elektron,Analog Heat +FX,Heat: Character,Character: Mix,,111,40,0,16256,1,111,0,16256,0-based,,
Elektron,Analog Heat +FX,Heat: EQ,EQ: Low,,28,40,0,16256,1,28,0,16256,0-based,,
Elektron,Analog Heat +FX,Heat: EQ,EQ: High,,29,42,0,16256,1,29,0,16256,0-based,,
Elektron,Analog Heat +FX,Heat: Filter,Filter: Mode,,30,,0,13,1,30,0,13,0-based,,1: LP2; 3: LP1; 5: BP; 7: HP1; 9: HP2; 11: BS; 13: PK; 0-13: Off
Elektron,Analog Heat +FX,Heat: Filter,Filter: Frequency,,22,43,0,16256,1,22,0,16256,0-based,,
Elektron,Analog Heat +FX,Heat: Filter,Filter: Frequency Pan,,26,47,0,16256,1,26,0,16256,Centered,,
Elektron,Analog Heat +FX,Heat: Filter,Filter: Resonance,,23,44,0,16256,1,23,0,16256,0-based,,
Elektron,Analog Heat +FX,Heat: Filter,Filter: Dirt,,27,,0,127,1,27,0,127,0-based,,
Elektron,Analog Heat +FX,Heat: Filter,Filter: Envelope,,24,45,0,16319,1,24,0,16319,0-based,,
Elektron,Analog Heat +FX,Heat: Filter,Filter: LFO1,,25,46,0,16319,1,25,0,16319,0-based,,
Elektron,Analog Heat +FX,Envelope,Envelope: Mode,,17,,0,125,1,17,0,125,0-based,,
