manufacturer,device,section,sound_name,sound_description,midi_channel,note_number_min_value,note_number_max_value,note_number_default_value,comments,velocity_usage
Elektron,Analog Rytm MKII,General,Sound track 1,,1,0,0,0,,
Elektron,Analog Rytm MKII,General,Sound track 2,,2,1,1,1,,
Elektron,Analog Rytm MKII,General,Sound track 3,,3,2,2,2,,
Elektron,Analog Rytm MKII,General,Sound track 4,,4,3,3,3,,
Elektron,Analog Rytm MKII,General,Sound track 5,,5,4,4,4,,
Elektron,Analog Rytm MKII,General,Sound track 6,,6,5,5,5,,
Elektron,Analog Rytm MKII,General,Sound track 7,,7,6,6,6,,
Elektron,Analog Rytm MKII,General,Sound track 8,,8,7,7,7,,
Elektron,Analog Rytm MKII,General,Sound track 9,,9,8,8,8,,
Elektron,Analog Rytm MKII,General,Sound track 10,,10,9,9,9,,
Elektron,Analog Rytm MKII,General,Sound track 11,,11,10,10,10,,
Elektron,Analog Rytm MKII,General,Sound track 12,,12,11,11,11,,
Elektron,Analog Rytm MKII,General,Chromatic,"Plays the currently active track's sound across its 48 chromatic variations, lowest to highest pitch.",auto,12,59,,Track Sound must be chromatic-enabled (Sound Settings) for this to be effective,
