manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,orientation,notes,usage
Elektron,Digitakt 2,,TRK Mute,,94,,0,127,,,,,0-based,,
Elektron,Digitakt 2,,TRK LVL,,95,,0,127,,,,,0-based,,
Elektron,Digitakt 2,,TRG Note,,3,,0,127,,,,,0-based,,
Elektron,Digitakt 2,,TRG VEL,,4,,0,127,,,,,0-based,,
Elektron,Digitakt 2,,TRG Leng,,5,,0,127,,,,,0-based,,
Elektron,Digitakt 2,,FLT TRG,,13,,0,127,,,,,0-based,,
Elektron,Digitakt 2,,LFO TRG,,14,,0,127,,,,,0-based,,
Elektron,Digitakt 2,,Port Time,,9,,0,127,,,,,0-based,,
Elektron,Digitakt 2,,Port ON OFF,,65,,0,127,,,,,0-based,,
Elektron,Digitakt 2,,Tune,,16,,0,127,,,,,0-based,,
Elektron,Digitakt 2,,Play Mode,,17,,0,127,,,,,0-based,,
Elektron,Digitakt 2,,SRC E Knob,,20,,0,127,,,,,0-based,,
Elektron,Digitakt 2,,SRC F Knob,,21,,0,127,,,,,0-based,,
Elektron,Digitakt 2,,SRC G Knob,,22,,0,127,,,,,0-based,,
Elektron,Digitakt 2,,Smpl LVL,,23,,0,127,,,,,0-based,,
Elektron,Digitakt 2,,FLT Freq,,74,,0,127,,,,,0-based,,
Elektron,Digitakt 2,,FLT F Konb,,75,,0,127,,,,,0-based,,
Elektron,Digitakt 2,,FLT G Konb,,76,,0,127,,,,,0-based,,
Elektron,Digitakt 2,,FLT Dept,,77,,0,127,,,,,0-based,,
Elektron,Digitakt 2,,FLT Attk,,70,,0,127,,,,,0-based,,
Elektron,Digitakt 2,,FLT Dcay,,71,,0,127,,,,,0-based,,
Elektron,Digitakt 2,,FLT SUS,,72,,0,127,,,,,0-based,,
Elektron,Digitakt 2,,FLT REL,,73,,0,127,,,,,0-based,,
Elektron,Digitakt 2,,FLT ENV DLY,,91,,0,127,,,,,0-based,,
Elektron,Digitakt 2,,FLT KEY TRK,,92,,0,127,,,,,0-based,,
Elektron,Digitakt 2,,FLT Base,,26,,0,127,,,,,0-based,,
Elektron,Digitakt 2,,FLT Width,,27,,0,127,,,,,0-based,,
Elektron,Digitakt 2,,FLT Reset,,111,,0,127,,,,,0-based,,
Elektron,Digitakt 2,,AMP Attk,,79,,0,127,,,,,0-based,,
Elektron,Digitakt 2,,AMP Hold,,80,,0,127,,,,,0-based,,
Elektron,Digitakt 2,,AMP Dcay,,81,,0,127,,,,,0-based,,
Elektron,Digitakt 2,,AMP Sust,,82,,0,127,,,,,0-based,,
Elektron,Digitakt 2,,AMP REL,,83,,0,127,,,,,0-based,,
Elektron,Digitakt 2,,AMP Reset,,88,,0,127,,,,,0-based,,
Elektron,Digitakt 2,,AMP Mode,,87,,0,127,,,,,0-based,,
Elektron,Digitakt 2,,AMP PAN,,90,,0,127,,,,,0-based,,
Elektron,Digitakt 2,,AMP VOL,,89,,0,127,,,,,0-based,,
Elektron,Digitakt 2,,BIT Redct,,54,,0,127,,,,,0-based,,
Elektron,Digitakt 2,,Overdrive,,57,,0,127,,,,,0-based,,
Elektron,Digitakt 2,,Smpl Redct,,55,,0,127,,,,,0-based,,
Elektron,Digitakt 2,,SRR Rout,,56,,0,127,,,,,0-based,,
Elektron,Digitakt 2,,DLY SND,,84,,0,127,,,,,0-based,,
Elektron,Digitakt 2,,Revb SND,,85,,0,127,,,,,0-based,,
Elektron,Digitakt 2,,Chrs SND,,12,,0,127,,,,,0-based,,
Elektron,Digitakt 2,,LFO1 SPD,,102,,0,127,,,,,0-based,,
Elektron,Digitakt 2,,LFO1 Mult,,103,,0,127,,,,,0-based,,
Elektron,Digitakt 2,,LFO1 Fade,,104,,0,127,,,,,0-based,,
Elektron,Digitakt 2,,LFO1 Dest,,105,,0,127,,,,,0-based,,
Elektron,Digitakt 2,,LFO1 Wave,,106,,0,127,,,,,0-based,,
Elektron,Digitakt 2,,LFO1 Phse,,107,,0,127,,,,,0-based,,
Elektron,Digitakt 2,,LFO1 TRG MOD,,108,,0,127,,,,,0-based,,
Elektron,Digitakt 2,,LFO1 Depth,,109,,0,127,,,,,0-based,,
Elektron,Digitakt 2,,LFO2 SPD,,112,,0,127,,,,,0-based,,
Elektron,Digitakt 2,,LFO2 Mult,,113,,0,127,,,,,0-based,,
Elektron,Digitakt 2,,LFO2 Fade,,114,,0,127,,,,,0-based,,
Elektron,Digitakt 2,,LFO2 Dest,,115,,0,127,,,,,0-based,,
Elektron,Digitakt 2,,LFO2 Wave,,116,,0,127,,,,,0-based,,
Elektron,Digitakt 2,,LFO2 Phse,,117,,0,127,,,,,0-based,,
Elektron,Digitakt 2,,LFO2 TRG MOD,,118,,0,127,,,,,0-based,,
Elektron,Digitakt 2,,LFO2 Depth,,119,,0,127,,,,,0-based,,
Elektron,Digitakt 2,,LFO3 SPD,,78,,0,127,,,,,0-based,,
Elektron,Digitakt 2,,LFO3 Mult,,52,,0,127,,,,,0-based,,
Elektron,Digitakt 2,,LFO3 Fade,,53,,0,127,,,,,0-based,,
Elektron,Digitakt 2,,LFO3 Dest,,28,,0,127,,,,,0-based,,
Elektron,Digitakt 2,,LFO3 Wave,,29,,0,127,,,,,0-based,,
Elektron,Digitakt 2,,LFO3 Phse,,30,,0,127,,,,,0-based,,
Elektron,Digitakt 2,,LFO3 TRG MOD,,31,,0,127,,,,,0-based,,
Elektron,Digitakt 2,,LFO3 Depth,,86,,0,127,,,,,0-based,,
