manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,cc_default_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,nrpn_default_value,orientation,notes,usage
Elektron,Digitakt II,Track,Track: Mute,,94,,0,1,,1,101,0,1,,0-based,,0: Unmuted; 1: Muted
Elektron,Digitakt II,Track,Track: Level,,95,,0,127,,1,100,0,127,,0-based,,
Elektron,Digitakt II,Trig,Trig: Note,,3,,0,127,,3,0,0,127,,0-based,,
Elektron,Digitakt II,Trig,Trig: Velocity,,4,,1,127,,3,1,1,127,,0-based,,
Elektron,Digitakt II,Trig,Trig: Length,,5,,0,127,,3,2,0,127,,0-based,,6: 1/32; 14: 1/16; 30: 1/8; 38: 3.00; 46: 1/4; 62: 1/2; 78: 16.0; 94: 32.0; 110: 64.0; 127: Infinite; 0-127: Length
Elektron,Digitakt II,Trig,Trig: Filter Trig,,13,,0,1,,,,,,,0-based,,0: Off; 1: On
Elektron,Digitakt II,Trig,Trig: LFO Trig,,14,,0,1,,,,,,,0-based,,0: Off; 1: On
Elektron,Digitakt II,Trig,Trig: Portamento Time,,9,,0,127,,3,7,0,127,,0-based,,
Elektron,Digitakt II,Trig,Trig: Portamento On/Off,,65,,0,1,,3,8,0,1,,0-based,,0: Off; 1: On
Elektron,Digitakt II,Source: Generic,Source: Tune,,16,,0,127,,1,0,512,15872,,0-based,,
Elektron,Digitakt II,Source: Generic,Source: Play Mode,,17,,0,3,,1,1,0,3,,0-based,,0: Reverse; 1: Reverse Loop; 2: Forward Loop; 3: Forward
Elektron,Digitakt II,Source: Generic,Source: Sample Bank Select,,24,,0,127,,1,9,0,16383,,0-based,,
Elektron,Digitakt II,Source: Generic,Source: Sample Slot Select,,19,,0,127,,1,8,0,16383,,0-based,,
Elektron,Digitakt II,Source: Generic,Source: Parameter E,,20,,0,127,,1,4,0,15360,,0-based,,
Elektron,Digitakt II,Source: Generic,Source: Parameter F,,21,,0,127,,1,5,0,15360,,0-based,,
Elektron,Digitakt II,Source: Generic,Source: Parameter G,,22,,0,127,,1,6,0,15360,,0-based,,
Elektron,Digitakt II,Source: Generic,Source: Sample Level,,23,,0,127,,1,7,0,127,,0-based,,
Elektron,Digitakt II,Source: Oneshot,Oneshot: Tune,,16,,0,127,,1,0,512,15872,,0-based,,
Elektron,Digitakt II,Source: Oneshot,Oneshot: Play Mode,,17,,0,3,,1,1,0,3,,0-based,,0: Reverse; 1: Reverse Loop; 2: Forward Loop; 3: Forward
Elektron,Digitakt II,Source: Oneshot,Oneshot: Sample Bank Select,,24,,0,127,,1,9,0,16383,,0-based,,
Elektron,Digitakt II,Source: Oneshot,Oneshot: Sample Slot Select,,19,,0,127,,1,8,0,16383,,0-based,,
Elektron,Digitakt II,Source: Oneshot,Oneshot: Start,,20,,0,127,,1,4,0,15360,,0-based,,
Elektron,Digitakt II,Source: Oneshot,Oneshot: Length,,21,,0,127,,1,5,0,15360,,0-based,,
Elektron,Digitakt II,Source: Oneshot,Oneshot: Loop Pos,,22,,0,127,,1,6,0,15361,,0-based,, 0: Off
Elektron,Digitakt II,Source: Oneshot,Oneshot: Sample Level,,23,,0,127,,1,7,0,127,,0-based,,
Elektron,Digitakt II,Source: Werp,Werp: Tune,,16,,0,127,,1,0,512,15872,,0-based,,
