manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,orientation,notes,usage
Elektron,Digitone,Track parameters,Mute,,94,,0,127,1,101,0,127,0-based,,
Elektron,Digitone,Track parameters,Track level,,95,,0,127,1,100,0,127,0-based,,
Elektron,Digitone,Trig parameters,Root,,3,,0,127,3,0,0,127,0-based,,
Elektron,Digitone,Trig parameters,Velocity,,4,,0,127,3,1,0,127,0-based,,
Elektron,Digitone,Trig parameters,Length,,5,,0,127,3,2,0,127,0-based,,
Elektron,Digitone,Trig parameters,Filter trig,,13,,0,127,3,5,0,127,0-based,,
Elektron,Digitone,Trig parameters,LFO trig,,14,,0,127,3,6,0,127,0-based,,
Elektron,Digitone,Trig parameters,Protamento time,,15,,0,127,3,7,0,127,0-based,,
Elektron,Digitone,Trig parameters,Portamento on,,16,,0,127,3,8,0,127,0-based,,
Elektron,Digitone,FM parameters (syn 1),Algorithm,,90,,0,127,1,72,0,127,0-based,,
Elektron,Digitone,FM parameters (syn 1),Ratio C,,91,,0,127,1,73,0,127,0-based,,
Elektron,Digitone,FM parameters (syn 1),Ratio A,,92,,0,127,1,74,0,127,0-based,,
Elektron,Digitone,FM parameters (syn 1),Ratio B,,16,48,0,127,1,75,0,127,0-based,,
Elektron,Digitone,FM parameters (syn 1),Harmonics,,17,49,0,127,1,76,0,127,0-based,,
Elektron,Digitone,FM parameters (syn 1),Detune,,18,50,0,127,1,77,0,127,0-based,,
Elektron,Digitone,FM parameters (syn 1),Feedback,,19,51,0,127,1,78,0,127,0-based,,
Elektron,Digitone,FM parameters (syn 1),Mix,,20,52,0,127,1,79,0,127,Centered,,
Elektron,Digitone,FM parameters (syn 1),Ratio C offset,,,,,,1,95,0,127,0-based,,
Elektron,Digitone,FM parameters (syn 1),Ratio A offset,,,,,,1,96,0,127,0-based,,
Elektron,Digitone,FM parameters (syn 1),Ratio B1 offset,,,,,,1,97,0,127,0-based,,
Elektron,Digitone,FM parameters (syn 1),Ratio B2 offset,,,,,,1,98,0,127,0-based,,
Elektron,Digitone,FM parameters (syn 2),A env attack,,75,,0,127,1,80,0,127,0-based,,
Elektron,Digitone,FM parameters (syn 2),A env decay,,76,,0,127,1,81,0,127,0-based,,
Elektron,Digitone,FM parameters (syn 2),A env end,,77,,0,127,1,82,0,127,0-based,,
Elektron,Digitone,FM parameters (syn 2),A level,,78,,0,127,1,83,0,127,0-based,,
Elektron,Digitone,FM parameters (syn 2),B env attack,,79,,0,127,1,84,0,127,0-based,,
Elektron,Digitone,FM parameters (syn 2),B env decay,,80,,0,127,1,85,0,127,0-based,,
Elektron,Digitone,FM parameters (syn 2),B env end,,81,,0,127,1,86,0,127,0-based,,
Elektron,Digitone,FM parameters (syn 2),B level,,82,,0,127,1,87,0,127,0-based,,
Elektron,Digitone,FM parameters (syn 2),A delay,,83,,0,127,1,88,0,127,0-based,,
Elektron,Digitone,FM parameters (syn 2),A trig,,84,,0,127,1,89,0,127,0-based,,
Elektron,Digitone,FM parameters (syn 2),A env reset,,85,,0,127,1,90,0,127,0-based,,
Elektron,Digitone,FM parameters (syn 2),B delay,,86,,0,127,1,91,0,127,0-based,,
Elektron,Digitone,FM parameters (syn 2),B trig,,87,,0,127,1,92,0,127,0-based,,
Elektron,Digitone,FM parameters (syn 2),B env reset,,88,,0,127,1,93,0,127,0-based,,
Elektron,Digitone,FM parameters (syn 2),Phase reset,,89,,0,127,1,94,0,127,0-based,,
Elektron,Digitone,Filter parameters,Filter frequency,,23,55,0,127,1,20,0,127,0-based,,
Elektron,Digitone,Filter parameters,Resonance,,24,56,0,127,1,21,0,127,0-based,,
Elektron,Digitone,Filter parameters,Filter type,,74,,0,127,1,22,0,127,0-based,,
Elektron,Digitone,Filter parameters,Attack time,,70,,0,127,1,16,0,127,0-based,,
Elektron,Digitone,Filter parameters,Decay time,,71,,0,127,1,17,0,127,0-based,,
Elektron,Digitone,Filter parameters,Sustain level,,72,,0,127,1,18,0,127,0-based,,
Elektron,Digitone,Filter parameters,Release time,,73,,0,127,1,19,0,127,0-based,,
Elektron,Digitone,Filter parameters,Env depth,,25,57,0,127,1,23,0,127,0-based,,
Elektron,Digitone,Filter parameters,Env delay,,43,,0,127,1,66,0,127,0-based,,
Elektron,Digitone,Filter parameters,Base,,26,58,0,127,1,24,0,127,0-based,,
Elektron,Digitone,Filter parameters,Width,,27,59,0,127,1,25,0,127,0-based,,
Elektron,Digitone,Amp parameters,Attack time,,104,,0,127,1,32,0,127,0-based,,
Elektron,Digitone,Amp parameters,Decay time,,105,,0,127,1,33,0,127,0-based,,
Elektron,Digitone,Amp parameters,Sustain level,,106,,0,127,1,34,0,127,0-based,,
Elektron,Digitone,Amp parameters,Release time,,107,,0,127,1,35,0,127,0-based,,
Elektron,Digitone,Amp parameters,Drive,,9,41,0,127,1,36,0,127,0-based,,
Elektron,Digitone,Amp parameters,Pan,,10,42,0,127,1,37,0,127,Centered,,
Elektron,Digitone,Amp parameters,Volume,,7,39,0,127,1,38,0,127,0-based,,
Elektron,Digitone,Amp parameters,Chorus send,,12,44,0,127,1,41,0,127,0-based,,
Elektron,Digitone,Amp parameters,Delay send,,13,45,0,127,1,40,0,127,0-based,,
Elektron,Digitone,Amp parameters,Reverb send,,14,46,0,127,1,39,0,127,0-based,,
Elektron,Digitone,Amp parameters,Amp env reset,,102,,0,127,1,42,0,127,0-based,,
Elektron,Digitone,LFO parameters,Speed LFO 1,,28,60,0,127,1,48,0,127,0-based,,
