manufacturer,device,section,sound_name,sound_description,midi_channel,note_number_min_value,note_number_max_value,note_number_default_value,comments,velocity_usage
Elektron,MachineDrum,Default note map,Track 1,,basic,36,36,36,Factory default mapping; reassignable in the MIDI map editor. Received on the MIDI base channel.,
Elektron,MachineDrum,Default note map,Track 2,,basic,38,38,38,Factory default mapping; reassignable in the MIDI map editor. Received on the MIDI base channel.,
Elektron,MachineDrum,Default note map,Track 3,,basic,40,40,40,Factory default mapping; reassignable in the MIDI map editor. Received on the MIDI base channel.,
Elektron,MachineDrum,Default note map,Track 4,,basic,41,41,41,Factory default mapping; reassignable in the MIDI map editor. Received on the MIDI base channel.,
Elektron,MachineDrum,Default note map,Track 5,,basic,43,43,43,Factory default mapping; reassignable in the MIDI map editor. Received on the MIDI base channel.,
Elektron,MachineDrum,Default note map,Track 6,,basic,45,45,45,Factory default mapping; reassignable in the MIDI map editor. Received on the MIDI base channel.,
Elektron,MachineDrum,Default note map,Track 7,,basic,47,47,47,Factory default mapping; reassignable in the MIDI map editor. Received on the MIDI base channel.,
Elektron,MachineDrum,Default note map,Track 8,,basic,48,48,48,Factory default mapping; reassignable in the MIDI map editor. Received on the MIDI base channel.,
Elektron,MachineDrum,Default note map,Track 9,,basic,50,50,50,Factory default mapping; reassignable in the MIDI map editor. Received on the MIDI base channel.,
Elektron,MachineDrum,Default note map,Track 10,,basic,52,52,52,Factory default mapping; reassignable in the MIDI map editor. Received on the MIDI base channel.,
Elektron,MachineDrum,Default note map,Track 11,,basic,53,53,53,Factory default mapping; reassignable in the MIDI map editor. Received on the MIDI base channel.,
Elektron,MachineDrum,Default note map,Track 12,,basic,55,55,55,Factory default mapping; reassignable in the MIDI map editor. Received on the MIDI base channel.,
Elektron,MachineDrum,Default note map,Track 13,,basic,57,57,57,Factory default mapping; reassignable in the MIDI map editor. Received on the MIDI base channel.,
Elektron,MachineDrum,Default note map,Track 14,,basic,59,59,59,Factory default mapping; reassignable in the MIDI map editor. Received on the MIDI base channel.,
Elektron,MachineDrum,Default note map,Track 15,,basic,60,60,60,Factory default mapping; reassignable in the MIDI map editor. Received on the MIDI base channel.,
Elektron,MachineDrum,Default note map,Track 16,,basic,62,62,62,Factory default mapping; reassignable in the MIDI map editor. Received on the MIDI base channel.,
