manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,cc_default_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,nrpn_default_value,orientation,notes,usage
Elektron,Model Samples,Track,Note,,3,,0,127,,,,,,,0-based,,
Elektron,Model Samples,Track,Mute,,94,,0,127,,,,,,,0-based,,
Elektron,Model Samples,Track,Track level,,95,,0,127,,,,,,,0-based,,
Elektron,Model Samples,Track,Pan,,10,,0,127,,,,,,,centered,,
Elektron,Model Samples,Sample,Pitch,,16,,0,127,,,,,,,centered,"-24 to +24 semitones, equivalent to four octaves",
Elektron,Model Samples,Sample,Decay time,,80,,0,127,,,,,,,0-based,,
Elektron,Model Samples,Sample,Sample start,,19,,0,127,,,,,,,0-based,,
Elektron,Model Samples,Sample,Sample length,,20,,0,127,,,,,,,0-based,,
Elektron,Model Samples,Filter,Cutoff,,74,,0,127,,,,,,,centered,,
Elektron,Model Samples,Filter,Resonance,,71,,0,127,,,,,,,0-based,,
Elektron,Model Samples,Amp,Volume + distortion,,7,,0,127,,,,,,,0-based,,
Elektron,Model Samples,Amp,Delay send,,12,,0,127,,,,,,,0-based,,
Elektron,Model Samples,Amp,Reverb send,,13,,0,127,,,,,,,0-based,,
Elektron,Model Samples,Sequencer,Swing,,15,,0,127,,,,,,,0-based,Display range: 50%-80%,
Elektron,Model Samples,Sequencer,Chance,,14,,0,127,,,,,,,0-based,Display range: 0%-100%,
Elektron,Model Samples,Playback,Loop,,17,,0,127,,,,,,,0-based,,
Elektron,Model Samples,Playback,Reverse,,18,,0,127,,,,,,,0-based,,
Elektron,Model Samples,LFO,Speed,,102,,0,127,,,,,,,centered,,
Elektron,Model Samples,LFO,Multiplier,,103,,0,127,,,,,,,0-based,,
Elektron,Model Samples,LFO,Fade in/out,,104,,0,127,,,,,,,centered,,
Elektron,Model Samples,LFO,Destination,,105,,0,127,,,,,,,0-based,,
Elektron,Model Samples,LFO,Waveform,,106,,0,127,,,,,,,0-based,,
Elektron,Model Samples,LFO,Start phase,,107,,0,127,,,,,,,0-based,,
Elektron,Model Samples,LFO,Reset,,108,,0,127,,,,,,,0-based,,
Elektron,Model Samples,LFO,Depth,,109,110,0,127,,,,,,,centered,,
Elektron,Model Samples,Effects,Delay time,,85,,0,127,,,,,,,0-based,Display range: 1.00-128.00,
Elektron,Model Samples,Effects,Delay feedback,,86,,0,127,,,,,,,0-based,Display range: 0-198,
Elektron,Model Samples,Effects,Reverb size,,87,,0,127,,,,,,,0-based,,
Elektron,Model Samples,Effects,Reverb tone,,88,,0,127,,,,,,,centered,,
