manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,orientation,notes,usage
Elektron,MonoMachine,,JOY UP,,1,,0,127,,,,,0-based,,
Elektron,MonoMachine,,JOY Down,,2,,0,127,,,,,0-based,,
Elektron,MonoMachine,,Mute,,3,,0,127,,,,,0-based,,
Elektron,MonoMachine,,Level,,7,,0,127,,,,,0-based,,
Elektron,MonoMachine,,AMP PAN,,62,,0,127,,,,,0-based,,
Elektron,MonoMachine,,Synth P1,,48,,0,127,,,,,0-based,,
Elektron,MonoMachine,,Synth P2,,49,,0,127,,,,,0-based,,
Elektron,MonoMachine,,Synth P3,,50,,0,127,,,,,0-based,,
Elektron,MonoMachine,,Synth P4,,51,,0,127,,,,,0-based,,
Elektron,MonoMachine,,Synth P5,,52,,0,127,,,,,0-based,,
Elektron,MonoMachine,,Synth P6,,53,,0,127,,,,,0-based,,
Elektron,MonoMachine,,Synth P7,,54,,0,127,,,,,0-based,,
Elektron,MonoMachine,,Synth P8,,55,,0,127,,,,,0-based,,
Elektron,MonoMachine,,AMP Attack,,56,,0,127,,,,,0-based,,
Elektron,MonoMachine,,AMP Hold,,57,,0,127,,,,,0-based,,
Elektron,MonoMachine,,AMP Decay,,58,,0,127,,,,,0-based,,
Elektron,MonoMachine,,AMP Release,,59,,0,127,,,,,0-based,,
Elektron,MonoMachine,,AMP Dist,,60,,0,127,,,,,0-based,,
Elektron,MonoMachine,,AMP VOL,,61,,0,127,,,,,0-based,,
Elektron,MonoMachine,,AMP Porta,,63,,0,127,,,,,0-based,,
Elektron,MonoMachine,,FLT Base,,72,,0,127,,,,,0-based,,
Elektron,MonoMachine,,FLT Width,,73,,0,127,,,,,0-based,,
Elektron,MonoMachine,,FLT HP Q,,74,,0,127,,,,,0-based,,
Elektron,MonoMachine,,FLT LP Q,,75,,0,127,,,,,0-based,,
Elektron,MonoMachine,,FLT Attack,,76,,0,127,,,,,0-based,,
Elektron,MonoMachine,,FLT Decay,,77,,0,127,,,,,0-based,,
Elektron,MonoMachine,,FLT Base Offset,,78,,0,127,,,,,0-based,,
Elektron,MonoMachine,,FLT Width Offset,,79,,0,127,,,,,0-based,,
Elektron,MonoMachine,,EFX EQ Freq,,80,,0,127,,,,,0-based,,
Elektron,MonoMachine,,EFX EQ Gain,,81,,0,127,,,,,0-based,,
Elektron,MonoMachine,,EFX SRR,,82,,0,127,,,,,0-based,,
Elektron,MonoMachine,,EFX Delay Time,,83,,0,127,,,,,0-based,,
Elektron,MonoMachine,,EFX Delay Send,,84,,0,127,,,,,0-based,,
Elektron,MonoMachine,,EFX Delay Fback,,85,,0,127,,,,,0-based,,
Elektron,MonoMachine,,EFX Delay FLT Base,,86,,0,127,,,,,0-based,,
Elektron,MonoMachine,,EFX Delay FLT Width,,87,,0,127,,,,,0-based,,
Elektron,MonoMachine,,LFO1 Page,,88,,0,127,,,,,0-based,,
Elektron,MonoMachine,,LFO1 Dest,,89,,0,127,,,,,0-based,,
Elektron,MonoMachine,,LFO1 Trig,,90,,0,127,,,,,0-based,,
Elektron,MonoMachine,,LFO1 Wave,,91,,0,127,,,,,0-based,,
Elektron,MonoMachine,,LFO1 Multiply,,92,,0,127,,,,,0-based,,
Elektron,MonoMachine,,LFO1 Speed,,93,,0,127,,,,,0-based,,
Elektron,MonoMachine,,LFO1 Interlace,,94,,0,127,,,,,0-based,,
Elektron,MonoMachine,,LFO1 Depth,,95,,0,127,,,,,0-based,,
Elektron,MonoMachine,,LFO2 Page,,104,,0,127,,,,,0-based,,
Elektron,MonoMachine,,LFO2 Dest,,105,,0,127,,,,,0-based,,
Elektron,MonoMachine,,LFO2 Trig,,106,,0,127,,,,,0-based,,
Elektron,MonoMachine,,LFO2 Wave,,107,,0,127,,,,,0-based,,
Elektron,MonoMachine,,LFO2 Multiply,,108,,0,127,,,,,0-based,,
Elektron,MonoMachine,,LFO2 Speed,,109,,0,127,,,,,0-based,,
Elektron,MonoMachine,,LFO2 Interlace,,110,,0,127,,,,,0-based,,
Elektron,MonoMachine,,LFO2 Depth,,111,,0,127,,,,,0-based,,
Elektron,MonoMachine,,LFO3 Page,,112,,0,127,,,,,0-based,,
Elektron,MonoMachine,,LFO3 Dest,,113,,0,127,,,,,0-based,,
Elektron,MonoMachine,,LFO3 Trig,,114,,0,127,,,,,0-based,,
Elektron,MonoMachine,,LFO3 Wave,,115,,0,127,,,,,0-based,,
Elektron,MonoMachine,,LFO3 Multiply,,116,,0,127,,,,,0-based,,
Elektron,MonoMachine,,LFO3 Speed,,117,,0,127,,,,,0-based,,
Elektron,MonoMachine,,LFO3 Interlace,,118,,0,127,,,,,0-based,,
Elektron,MonoMachine,,LFO3 Depth,,119,,0,127,,,,,0-based,,
Elektron,MonoMachine,,ALL Notes OFF,,120,,0,127,,,,,0-based,,
