manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,orientation,notes,usage
Elektron,Octatrack,,Pitch,,16,,0,127,,,,,0-based,,
Elektron,Octatrack,,Start,,17,,0,127,,,,,0-based,,
Elektron,Octatrack,,Length,,18,,0,127,,,,,0-based,,
Elektron,Octatrack,,Rate,,19,,0,127,,,,,0-based,,
Elektron,Octatrack,,Retrig,,20,,0,127,,,,,0-based,,
Elektron,Octatrack,,Retrig Time,,21,,0,127,,,,,0-based,,
Elektron,Octatrack,,Attack,,22,,0,127,,,,,0-based,,
Elektron,Octatrack,,Hold,,23,,0,127,,,,,0-based,,
Elektron,Octatrack,,Release,,24,,0,127,,,,,0-based,,
Elektron,Octatrack,,Volume,,25,,0,127,,,,,0-based,,
Elektron,Octatrack,,Balance,,26,,0,127,,,,,0-based,,
Elektron,Octatrack,,Crossfader,,48,,0,127,,,,,0-based,,
Elektron,Octatrack,,LFO1 Speed,,28,,0,127,,,,,0-based,,
Elektron,Octatrack,,LFO2 Speed,,29,,0,127,,,,,0-based,,
Elektron,Octatrack,,LFO3 Speed,,30,,0,127,,,,,0-based,,
Elektron,Octatrack,,LFO1 Depth,,31,,0,127,,,,,0-based,,
Elektron,Octatrack,,LFO2 Depth,,32,,0,127,,,,,0-based,,
Elektron,Octatrack,,LFO3 Depth,,33,,0,127,,,,,0-based,,
Elektron,Octatrack,,FX1 PAR1,,34,,0,127,,,,,0-based,,
Elektron,Octatrack,,FX1 PAR2,,35,,0,127,,,,,0-based,,
Elektron,Octatrack,,FX1 PAR3,,36,,0,127,,,,,0-based,,
Elektron,Octatrack,,FX1 PAR4,,37,,0,127,,,,,0-based,,
Elektron,Octatrack,,FX1 PAR5,,38,,0,127,,,,,0-based,,
Elektron,Octatrack,,FX1 PAR6,,39,,0,127,,,,,0-based,,
Elektron,Octatrack,,FX2 PAR1,,40,,0,127,,,,,0-based,,
Elektron,Octatrack,,FX2 PAR2,,41,,0,127,,,,,0-based,,
Elektron,Octatrack,,FX2 PAR3,,42,,0,127,,,,,0-based,,
Elektron,Octatrack,,FX2 PAR4,,43,,0,127,,,,,0-based,,
Elektron,Octatrack,,FX2 PAR5,,44,,0,127,,,,,0-based,,
Elektron,Octatrack,,FX2 PAR6,,45,,0,127,,,,,0-based,,
Elektron,Octatrack,,Track LEV,,46,,0,127,,,,,0-based,,
Elektron,Octatrack,,CUE LEV,,47,,0,127,,,,,0-based,,
Elektron,Octatrack,,Send REQ,,61,,0,127,,,,,0-based,,
