manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,orientation,notes,usage
Elektron,Syntakt,Track,Track: Mute,,94,,0,1,1,101,0,1,0-based,,0: Unmuted; 1: Muted
Elektron,Syntakt,Track,Track: Level,,95,,0,127,1,100,0,127,0-based,,
Elektron,Syntakt,Trig,Trig: Note,,3,,0,127,3,0,0,127,0-based,,
Elektron,Syntakt,Trig,Trig: Velocity,,4,,1,127,3,1,1,127,0-based,,
Elektron,Syntakt,Trig,Trig: Length,,5,,0,127,3,2,0,127,0-based,,6: 1/32; 14: 1/16; 30: 1/8; 38: 3.00; 46: 1/4; 62: 1/2; 78: 16.0; 94: 32.0; 110: 64.0; 127: Infinite; 0-127: Length
Elektron,Syntakt,Trig,Trig: Filter,,13,,0,1,,,,,0-based,,0: Off; 1: On
Elektron,Syntakt,Trig,Trig: LFO,,14,,0,1,,,,,0-based,,0: Off; 1: On
Elektron,Syntakt,Filter,Filter: Frequency,,74,,0,127,1,20,0,16256,0-based,,
Elektron,Syntakt,Filter,Filter: Resonance,,75,,0,127,1,21,0,16256,0-based,,
Elektron,Syntakt,Filter,Filter: Type,,76,,0,7,1,22,0,7,0-based,,0: LP; 1: HP; 2: EQ 1; 3: EQ 2; 4: EQ 3; 5: EQ 4; 6: EQ 5; 7: Off
Elektron,Syntakt,Filter,Filter: Attack Time,,70,,0,127,1,16,0,127,0-based,,0~126: Time; 127: Infinite
Elektron,Syntakt,Filter,Filter: Decay Time,,71,,0,127,1,17,0,127,0-based,,
Elektron,Syntakt,Filter,Filter: Sustain Level,,72,,0,127,1,18,0,127,0-based,,
Elektron,Syntakt,Filter,Filter: Release Time,,73,,0,127,1,19,0,127,0-based,,0~126: Time; 127: Infinite
Elektron,Syntakt,Filter,Filter: Envelope Depth,,77,,0,127,1,23,0,16256,Centered,,
Elektron,Syntakt,Filter,Filter: Envelope Delay,,78,,0,127,,,0,127,0-based,,
Elektron,Syntakt,Filter,Filter: Envelope Reset,,111,,0,1,1,56,0,1,0-based,,0: Off; 1: On
Elektron,Syntakt,Filter,Filter: Base,,26,,0,127,1,24,0,127,0-based,,
Elektron,Syntakt,Filter,Filter: Width,,27,,0,127,1,25,0,127,0-based,,
Elektron,Syntakt,Amp,Amp: Attack Time,,79,,0,127,1,24,0,127,0-based,,
Elektron,Syntakt,Amp,Amp: Hold Time,,80,,0,127,1,25,0,127,0-based,,
Elektron,Syntakt,Amp,Amp: Decay Time,,81,,0,127,1,26,0,127,0-based,,
Elektron,Syntakt,Amp,Amp: Sustain Level,,82,,0,127,1,24,0,127,0-based,,
Elektron,Syntakt,Amp,Amp: Release Time,,83,,0,127,1,24,0,127,0-based,,
Elektron,Syntakt,Amp,Amp: Delay Send,,84,,0,127,1,28,0,16256,0-based,,
Elektron,Syntakt,Amp,Amp: Reverb Send,,85,,0,127,1,29,0,16256,0-based,,
Elektron,Syntakt,Amp,Amp: Pan,,10,,0,127,1,30,0,127,Centered,,
Elektron,Syntakt,Amp,Amp: Volume,,7,,0,127,1,31,0,16256,0-based,,
Elektron,Syntakt,LFO,LFO1: Speed,,102,60,0,16256,1,32,0,16383,Centered,,
Elektron,Syntakt,LFO,LFO1: Multiplier,,103,,0,23,1,33,0,23,0-based,,0: BPM 1; 1: BPM 2; 2: BPM 4; 3: BPM 8; 4: BPM 16; 5: BPM 32; 6: BPM 64; 7: BPM 128; 8: BPM 256; 9: BPM 512; 10: BPM 1K; 11: BPM 2K; 12: 1; 13: 2; 14: 4; 15: 8; 16: 16; 17: 32; 18: 64; 19: 128; 20: 256; 21: 512; 22: 1K; 23: 2K
Elektron,Syntakt,LFO,LFO1: Fade In/Out,,104,,0,127,1,34,0,127,Centered,,
Elektron,Syntakt,LFO,LFO1: Destination,,105,,0,127,1,35,0,127,0-based,,
Elektron,Syntakt,LFO,LFO1: Waveform,,106,,0,6,1,36,0,6,0-based,,0: Triangle; 1: Sine; 2: Square; 3: Saw; 4: Exponential; 5: Ramp; 6: Random
Elektron,Syntakt,LFO,LFO1: Start Phase,,107,,0,127,1,37,0,127,0-based,,
Elektron,Syntakt,LFO,LFO1: Trig Mode,,108,,0,4,1,38,0,4,0-based,,0: Free; 1: Trig; 2: Hold; 3: One; 4: Half
Elektron,Syntakt,LFO,LFO1: Depth,,109,61,0,16383,1,39,0,16383,Centered,,
Elektron,Syntakt,LFO,LFO2: Speed,,112,62,0,16383,1,40,0,16383,Centered,,
Elektron,Syntakt,LFO,LFO2: Multiplier,,113,,0,23,1,41,0,23,0-based,,0: BPM 1; 1: BPM 2; 2: BPM 4; 3: BPM 8; 4: BPM 16; 5: BPM 32; 6: BPM 64; 7: BPM 128; 8: BPM 256; 9: BPM 512; 10: BPM 1K; 11: BPM 2K; 12: 1; 13: 2; 14: 4; 15: 8; 16: 16; 17: 32; 18: 64; 19: 128; 20: 256; 21: 512; 22: 1K; 23: 2K
Elektron,Syntakt,LFO,LFO2: Fade In/Out,,114,,0,127,1,42,0,127,Centered,,
Elektron,Syntakt,LFO,LFO2: Destination,,115,,0,127,1,43,0,127,0-based,,
Elektron,Syntakt,LFO,LFO2: Waveform,,116,,0,6,1,44,0,6,0-based,,0: Triangle; 1: Sine; 2: Square; 3: Saw; 4: Exponential; 5: Ramp; 6: Random
Elektron,Syntakt,LFO,LFO2: Start Phase,,117,,0,127,1,45,0,127,0-based,,
Elektron,Syntakt,LFO,LFO2: Trig Mode,,118,,0,4,1,46,0,4,0-based,,0: Free; 1: Trig; 2: Hold; 3: One; 4: Half
Elektron,Syntakt,LFO,LFO2: Depth,,119,63,0,16383,1,47,0,16383,Centered,,
Elektron,Syntakt,FX: Delay,Delay: Time,,21,,0,127,2,0,0,127,0-based,,
