manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,cc_default_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,nrpn_default_value,orientation,notes,usage
Elektron,Tonverk,Track,Track: Level,,95,,0,127,,,,,,,0-based,,
Elektron,Tonverk,Audio Track: Trig,Trig: Note,,3,,0,127,60,,,,,,0-based,,
Elektron,Tonverk,Audio Track: Trig,Trig: Velocity,,4,,0,127,100,,,,,,0-based,,
Elektron,Tonverk,Audio Track: Trig,Trig: Note Length,,5,,0,127,,,,,,,0-based,,
Elektron,Tonverk,Audio Track: Trig,Trig: Retrig Enabled,,,,,,,0,42,0,1,0,0-based,0,0: Off; 1: On
Elektron,Tonverk,Audio Track: Trig,Trig: Retrig Time,,,,,,,0,43,0,16383,0,0-based,,
Elektron,Tonverk,Audio Track: Trig,Trig: Retrig Velocity,,,,,,,0,44,0,16383,8191,centered,,
Elektron,Tonverk,Audio Track: Trig,Trig: Portamento Time,,9,,0,127,63,,,,,,centered,,
Elektron,Tonverk,Audio Track: Trig,Trig: Portamento Enabled,,65,,0,1,0,,,,,,0-based,0,0: Off; 1: On
Elektron,Tonverk,Audio Track: Source,Source: Parameter A,,16,,0,127,,,,,,,0-based,,
Elektron,Tonverk,Audio Track: Source,Source: Parameter B,,17,,0,127,,,,,,,0-based,,
Elektron,Tonverk,Audio Track: Source,Source: Parameter C,,18,,0,127,,,,,,,0-based,,
Elektron,Tonverk,Audio Track: Source,Source: Parameter D,,19,,0,127,,,,,,,0-based,,
Elektron,Tonverk,Audio Track: Source,Source: Parameter E,,20,,0,127,,,,,,,0-based,,
Elektron,Tonverk,Audio Track: Source,Source: Parameter F,,21,,0,127,,,,,,,0-based,,
Elektron,Tonverk,Audio Track: Source,Source: Parameter G,,22,,0,127,,,,,,,0-based,,
Elektron,Tonverk,Audio Track: Source,Source: Parameter H,,23,,0,127,,,,,,,0-based,,
Elektron,Tonverk,Audio Track: Filter,Filter: Attack,,70,,0,127,,,,,,,0-based,,
Elektron,Tonverk,Audio Track: Filter,Filter: Decay,,71,,0,127,,,,,,,0-based,,
Elektron,Tonverk,Audio Track: Filter,Filter: Sustain,,72,,0,127,,,,,,,0-based,,
Elektron,Tonverk,Audio Track: Filter,Filter: Release,,73,,0,127,,,,,,,0-based,,
Elektron,Tonverk,Audio Track: Filter,Filter: Frequency,,74,,0,127,,,,,,,0-based,,
Elektron,Tonverk,Audio Track: Filter,Filter: Resonance,,75,,0,127,,,,,,,0-based,,
Elektron,Tonverk,Audio Track: Filter,Filter: Type,,76,,0,127,,,,,,,0-based,,
Elektron,Tonverk,Audio Track: Filter,Filter: Env Depth,,77,,0,127,63,,,,,,centered,,
Elektron,Tonverk,Audio Track: Filter,Filter: Base,,78,,0,127,,,,,,,0-based,,
Elektron,Tonverk,Audio Track: Filter,Filter: Width,,79,,0,127,,,,,,,0-based,,
Elektron,Tonverk,Audio Track: Filter,Filter: Freq Spread,,80,,0,127,63,,,,,,centered,,
Elektron,Tonverk,Audio Track: Filter,Filter: Env Reset,,,,,,,0,45,0,1,,0-based,,0: Off; 1: On
Elektron,Tonverk,Audio Track: Filter,Filter: Env Delay,,,,,,,0,46,0,127,,0-based,,
Elektron,Tonverk,Audio Track: Filter,Filter: Key Tracking,,,,,,,0,47,0,127,,0-based,,
Elektron,Tonverk,Audio Track: Amp,Amp: Attack,,83,,0,127,,,,,,,0-based,,
Elektron,Tonverk,Audio Track: Amp,Amp: Hold,,84,,0,127,,,,,,,0-based,,
Elektron,Tonverk,Audio Track: Amp,Amp: Decay,,85,,0,127,,,,,,,0-based,,
Elektron,Tonverk,Audio Track: Amp,Amp: Sustain,,86,,0,127,,,,,,,0-based,,
Elektron,Tonverk,Audio Track: Amp,Amp: Release,,87,,0,127,,,,,,,0-based,,
Elektron,Tonverk,Audio Track: Amp,Amp: Overdrive,,88,,0,127,,,,,,,0-based,,
Elektron,Tonverk,Audio Track: Amp,Amp: Pan,,10,,0,127,63,,,,,,centered,,
Elektron,Tonverk,Audio Track: Amp,Amp: Volume,,89,,0,127,,,,,,,0-based,,
