manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,orientation,notes,usage
Empress,Reverb,,Simulate EXP,,10,,0,127,,,,,0-based,,
Empress,Reverb,,Load Preset,,11,,0,127,,,,,0-based,,
Empress,Reverb,,Mode,,20,,0,127,,,,,0-based,,
Empress,Reverb,,Decay Time,,21,,0,127,,,,,0-based,,
Empress,Reverb,,MIX,,22,,0,127,,,,,0-based,,
Empress,Reverb,,Volume,,23,,0,127,,,,,0-based,,
Empress,Reverb,,LOW,,24,,0,127,,,,,0-based,,
Empress,Reverb,,HI,,25,,0,127,,,,,0-based,,
Empress,Reverb,,Thing1,,26,,0,127,,,,,0-based,,
Empress,Reverb,,Thing2,,27,,0,127,,,,,0-based,,
Empress,Reverb,,Select BTN,,35,,0,127,,,,,0-based,,
Empress,Reverb,,Scroll BTN,,36,,0,127,,,,,0-based,,
Empress,Reverb,,Bypass BTN,,37,,0,127,,,,,0-based,,
Empress,Reverb,,Save BTN,,38,,0,127,,,,,0-based,,
Empress,Reverb,,Save Preset,,39,,0,127,,,,,0-based,,
Empress,Reverb,,Midi Clock,,51,,0,127,,,,,0-based,,
Empress,Reverb,,Engage Bypass,,60,,0,127,,,,,0-based,,
