manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,orientation,notes,usage
Ensoniq,ASR-X Pro,,MOD Wheel,,1,,0,127,,,,,0-based,,
Ensoniq,ASR-X Pro,,Foot Pedal,,4,,0,127,,,,,0-based,,
Ensoniq,ASR-X Pro,,Glide ON OFF,,65,,0,127,,,,,0-based,,
Ensoniq,ASR-X Pro,,Glide Time,,5,,0,127,,,,,0-based,,
Ensoniq,ASR-X Pro,,Volume,,7,,0,127,,,,,0-based,,
Ensoniq,ASR-X Pro,,PAN,,10,,0,127,,,,,0-based,,
Ensoniq,ASR-X Pro,,Expression,,11,,0,127,,,,,0-based,,
Ensoniq,ASR-X Pro,,AMP ENV ATK,,73,,0,127,,,,,0-based,,
Ensoniq,ASR-X Pro,,AMP ENV DCY,,76,,0,127,,,,,0-based,,
Ensoniq,ASR-X Pro,,AMP ENV SUS,,64,,0,127,,,,,0-based,,
Ensoniq,ASR-X Pro,,AMP ENV REL,,72,,0,127,,,,,0-based,,
Ensoniq,ASR-X Pro,,Filter Cutoff,,74,,0,127,,,,,0-based,,
Ensoniq,ASR-X Pro,,Filter Resonance,,77,,0,127,,,,,0-based,,
Ensoniq,ASR-X Pro,,LFO Rate,,75,,0,127,,,,,0-based,,
Ensoniq,ASR-X Pro,,Mute Track,,119,,0,127,,,,,0-based,,
