manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,cc_default_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,nrpn_default_value,orientation,notes,usage
Eowave,Portail,MIDI Learn,Parameter 01,,1,,0,127,,,,,,,0-based,,
Eowave,Portail,MIDI Learn,Parameter 02,,2,,0,127,,,,,,,0-based,,
Eowave,Portail,MIDI Learn,Parameter 03,,3,,0,127,,,,,,,0-based,,
Eowave,Portail,MIDI Learn,Parameter 04,,4,,0,127,,,,,,,0-based,,
Eowave,Portail,MIDI Learn,Parameter 05,,5,,0,127,,,,,,,0-based,,
Eowave,Portail,MIDI Learn,Parameter 06,,6,,0,127,,,,,,,0-based,,
Eowave,Portail,MIDI Learn,Parameter 07,,7,,0,127,,,,,,,0-based,,
Eowave,Portail,MIDI Learn,Parameter 08,,8,,0,127,,,,,,,0-based,,
Eowave,Portail,MIDI Learn,Parameter 09,,9,,0,127,,,,,,,0-based,,
Eowave,Portail,MIDI Learn,Parameter 10,,10,,0,127,,,,,,,0-based,,
Eowave,Portail,MIDI Learn,Parameter 11,,11,,0,127,,,,,,,0-based,,
Eowave,Portail,MIDI Learn,Parameter 12,,12,,0,127,,,,,,,0-based,,
Eowave,Portail,MIDI Learn,Parameter 13,,13,,0,127,,,,,,,0-based,,
Eowave,Portail,MIDI Learn,Parameter 14,,14,,0,127,,,,,,,0-based,,
Eowave,Portail,MIDI Learn,Parameter 15,,15,,0,127,,,,,,,0-based,,
Eowave,Portail,MIDI Learn,Parameter 16,,16,,0,127,,,,,,,0-based,,
Eowave,Portail,MIDI Learn,Parameter 17,,17,,0,127,,,,,,,0-based,,
Eowave,Portail,MIDI Learn,Parameter 18,,18,,0,127,,,,,,,0-based,,
Eowave,Portail,MIDI Learn,Parameter 19,,19,,0,127,,,,,,,0-based,,
Eowave,Portail,MIDI Learn,Parameter 20,,20,,0,127,,,,,,,0-based,,
Eowave,Portail,MIDI Learn,Parameter 21,,21,,0,127,,,,,,,0-based,,
Eowave,Portail,MIDI Learn,Parameter 22,,22,,0,127,,,,,,,0-based,,
Eowave,Portail,MIDI Learn,Parameter 23,,23,,0,127,,,,,,,0-based,,
Eowave,Portail,MIDI Learn,Parameter 24,,24,,0,127,,,,,,,0-based,,
Eowave,Portail,MIDI Learn,Parameter 25,,25,,0,127,,,,,,,0-based,,
Eowave,Portail,MIDI Learn,Parameter 26,,26,,0,127,,,,,,,0-based,,
Eowave,Portail,MIDI Learn,Parameter 27,,27,,0,127,,,,,,,0-based,,
Eowave,Portail,MIDI Learn,Parameter 28,,28,,0,127,,,,,,,0-based,,
Eowave,Portail,MIDI Learn,Parameter 29,,29,,0,127,,,,,,,0-based,,
Eowave,Portail,MIDI Learn,Parameter 30,,30,,0,127,,,,,,,0-based,,
Eowave,Portail,MIDI Learn,Parameter 31,,31,,0,127,,,,,,,0-based,,
Eowave,Portail,MIDI Learn,Parameter 32,,32,,0,127,,,,,,,0-based,,
