manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,cc_default_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,nrpn_default_value,orientation,notes,usage
Erica Synths,Echolocator,,Time,,70,,0,127,64,,,,,,0-based,,
Erica Synths,Echolocator,,Filter Q,,71,,0,127,0,,,,,,0-based,,
Erica Synths,Echolocator,,Filter cutoff,,72,,0,127,0,,,,,,0-based,,
Erica Synths,Echolocator,,Modulation speed,,73,,0,127,0,,,,,,0-based,,
Erica Synths,Echolocator,,Modulation depth,,74,,0,127,0,,,,,,0-based,,
Erica Synths,Echolocator,,Reverb mix,,75,,0,127,0,,,,,,0-based,,
Erica Synths,Echolocator,,Orbit,,76,,0,127,0,,,,,,0-based,,
Erica Synths,Echolocator,,Dry/wet mix,,77,,0,127,0,,,,,,0-based,,
Erica Synths,Echolocator,,Feedback,,78,,0,127,0,,,,,,0-based,,
Erica Synths,Echolocator,,Pitch shift,,79,,0,127,0,,,,,,0-based,,
Erica Synths,Echolocator,,Shimmer,,80,,0,127,0,,,,,,0-based,,
Erica Synths,Echolocator,,Ping pong,,81,,0,127,64,,,,,,centered,,
Erica Synths,Echolocator,,Freeze,,82,,0,1,0,,,,,,0-based,,
