manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,orientation,notes,usage
Expert Sleepers,FH-2,,FH2 Direct1,,,,0,127,,,,,0-based,,
Expert Sleepers,FH-2,,LFO1 Level,,10,,0,127,,,,,0-based,,
Expert Sleepers,FH-2,,LFO1 Base,,11,,0,127,,,,,0-based,,
Expert Sleepers,FH-2,,LFO1 Multiplier,,12,,0,127,,,,,0-based,,
Expert Sleepers,FH-2,,LFO1 Speed,,13,,0,127,,,,,0-based,,
Expert Sleepers,FH-2,,Sine1,,14,,0,127,,,,,0-based,,
Expert Sleepers,FH-2,,Square1,,15,,0,127,,,,,0-based,,
Expert Sleepers,FH-2,,PW1,,16,,0,127,,,,,0-based,,
Expert Sleepers,FH-2,,Triangle1,,17,,0,127,,,,,0-based,,
Expert Sleepers,FH-2,,SAW1,,18,,0,127,,,,,0-based,,
Expert Sleepers,FH-2,,Random1,,19,,0,127,,,,,0-based,,
Expert Sleepers,FH-2,,Phase1,,90,,0,127,,,,,0-based,,
Expert Sleepers,FH-2,,FH2 Direct2,,1,,0,127,,,,,0-based,,
Expert Sleepers,FH-2,,LFO2 Level,,20,,0,127,,,,,0-based,,
Expert Sleepers,FH-2,,LFO2 Base,,21,,0,127,,,,,0-based,,
Expert Sleepers,FH-2,,LFO2 Multiplier,,22,,0,127,,,,,0-based,,
Expert Sleepers,FH-2,,LFO2 Speed,,23,,0,127,,,,,0-based,,
Expert Sleepers,FH-2,,Sine2,,24,,0,127,,,,,0-based,,
Expert Sleepers,FH-2,,Square2,,25,,0,127,,,,,0-based,,
Expert Sleepers,FH-2,,PW2,,26,,0,127,,,,,0-based,,
Expert Sleepers,FH-2,,Triangle2,,27,,0,127,,,,,0-based,,
Expert Sleepers,FH-2,,SAW2,,28,,0,127,,,,,0-based,,
Expert Sleepers,FH-2,,Random2,,29,,0,127,,,,,0-based,,
Expert Sleepers,FH-2,,Phase2,,91,,0,127,,,,,0-based,,
Expert Sleepers,FH-2,,FH2 Direct3,,2,,0,127,,,,,0-based,,
Expert Sleepers,FH-2,,LFO3 Level,,30,,0,127,,,,,0-based,,
Expert Sleepers,FH-2,,LFO3 Base,,31,,0,127,,,,,0-based,,
Expert Sleepers,FH-2,,LFO3 Multiplier,,32,,0,127,,,,,0-based,,
Expert Sleepers,FH-2,,LFO3 Speed,,33,,0,127,,,,,0-based,,
Expert Sleepers,FH-2,,Sine3,,34,,0,127,,,,,0-based,,
Expert Sleepers,FH-2,,Square3,,35,,0,127,,,,,0-based,,
Expert Sleepers,FH-2,,PW3,,36,,0,127,,,,,0-based,,
Expert Sleepers,FH-2,,Triangle3,,37,,0,127,,,,,0-based,,
Expert Sleepers,FH-2,,SAW3,,38,,0,127,,,,,0-based,,
Expert Sleepers,FH-2,,Random3,,39,,0,127,,,,,0-based,,
Expert Sleepers,FH-2,,Phase3,,92,,0,127,,,,,0-based,,
Expert Sleepers,FH-2,,FH2 Direct4,,3,,0,127,,,,,0-based,,
Expert Sleepers,FH-2,,LFO4 Level,,40,,0,127,,,,,0-based,,
Expert Sleepers,FH-2,,LFO4 Base,,41,,0,127,,,,,0-based,,
Expert Sleepers,FH-2,,LFO4 Multiplier,,42,,0,127,,,,,0-based,,
Expert Sleepers,FH-2,,LFO4 Speed,,43,,0,127,,,,,0-based,,
Expert Sleepers,FH-2,,Sine4,,44,,0,127,,,,,0-based,,
Expert Sleepers,FH-2,,Square4,,45,,0,127,,,,,0-based,,
Expert Sleepers,FH-2,,PW4,,46,,0,127,,,,,0-based,,
Expert Sleepers,FH-2,,Triangle4,,47,,0,127,,,,,0-based,,
Expert Sleepers,FH-2,,SAW4,,48,,0,127,,,,,0-based,,
Expert Sleepers,FH-2,,Random4,,49,,0,127,,,,,0-based,,
Expert Sleepers,FH-2,,Phase4,,93,,0,127,,,,,0-based,,
Expert Sleepers,FH-2,,FH2 Direct5,,4,,0,127,,,,,0-based,,
Expert Sleepers,FH-2,,LFO5 Level,,50,,0,127,,,,,0-based,,
Expert Sleepers,FH-2,,LFO5 Base,,51,,0,127,,,,,0-based,,
Expert Sleepers,FH-2,,LFO5 Multiplier,,52,,0,127,,,,,0-based,,
Expert Sleepers,FH-2,,LFO5 Speed,,53,,0,127,,,,,0-based,,
Expert Sleepers,FH-2,,Sine5,,54,,0,127,,,,,0-based,,
Expert Sleepers,FH-2,,Square5,,55,,0,127,,,,,0-based,,
Expert Sleepers,FH-2,,PW5,,56,,0,127,,,,,0-based,,
Expert Sleepers,FH-2,,Triangle5,,57,,0,127,,,,,0-based,,
Expert Sleepers,FH-2,,SAW5,,58,,0,127,,,,,0-based,,
Expert Sleepers,FH-2,,Random5,,59,,0,127,,,,,0-based,,
Expert Sleepers,FH-2,,Phase5,,94,,0,127,,,,,0-based,,
Expert Sleepers,FH-2,,FH2 Direct6,,5,,0,127,,,,,0-based,,
Expert Sleepers,FH-2,,LFO6 Level,,60,,0,127,,,,,0-based,,
Expert Sleepers,FH-2,,LFO6 Base,,61,,0,127,,,,,0-based,,
Expert Sleepers,FH-2,,LFO6 Multiplier,,62,,0,127,,,,,0-based,,
Expert Sleepers,FH-2,,LFO6 Speed,,63,,0,127,,,,,0-based,,
Expert Sleepers,FH-2,,Sine6,,64,,0,127,,,,,0-based,,
Expert Sleepers,FH-2,,Square6,,65,,0,127,,,,,0-based,,
Expert Sleepers,FH-2,,PW6,,66,,0,127,,,,,0-based,,
Expert Sleepers,FH-2,,Triangle6,,67,,0,127,,,,,0-based,,
Expert Sleepers,FH-2,,SAW6,,68,,0,127,,,,,0-based,,
Expert Sleepers,FH-2,,Random6,,69,,0,127,,,,,0-based,,
