manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,orientation,notes
Fred's Lab,Buzzzy!,,Modwheel,Modulation wheel (vibrato level),1,,0,127,,,,,0-based,
Fred's Lab,Buzzzy!,,Volume,Part mixer level,7,,0,127,,,,,0-based,
Fred's Lab,Buzzzy!,,Pan,Part mixer pan,10,,0,127,,,,,Centered,
Fred's Lab,Buzzzy!,Arpeggiator,Tempo,Part arpeggiator tempo (when not clocked),16,,0,127,,,,,0-based,
Fred's Lab,Buzzzy!,Arpeggiator,Div,Part arpeggiator division,17,,0,127,,,,,0-based,
Fred's Lab,Buzzzy!,Arpeggiator,Repeat,Part arpeggiator repeat,18,,0,127,,,,,0-based,
Fred's Lab,Buzzzy!,Arpeggiator,Gate,Part arpeggiator gate length,19,,0,127,,,,,0-based,
Fred's Lab,Buzzzy!,Oscillator,Engine,Part oscillator engine,70,,0,127,,,,,0-based,
Fred's Lab,Buzzzy!,Oscillator,Wave,Part oscillator wave,71,,0,127,,,,,0-based,
Fred's Lab,Buzzzy!,Envlelope,Decay,Part envelope decay time,72,,0,127,,,,,0-based,
Fred's Lab,Buzzzy!,Envlelope,Attack,Part envelope attack time,73,,0,127,,,,,0-based,
Fred's Lab,Buzzzy!,Filter,Cutoff,Part filter cutoff / center frequency,74,,0,127,,,,,0-based,
Fred's Lab,Buzzzy!,Filter,Resonance,Part filter resonance,75,,0,127,,,,,0-based,
Fred's Lab,Buzzzy!,Model,Space model,Part space effect model,85,,0,127,,,,,0-based,
Fred's Lab,Buzzzy!,Model,Delay model,Part delay effect model,86,,0,127,,,,,0-based,
Fred's Lab,Buzzzy!,Filter,Filter type,Part filter effect type,89,,0,127,,,,,0-based,
Fred's Lab,Buzzzy!,Space,Space mix,Part space effect mix level,90,,0,127,,,,,0-based,
Fred's Lab,Buzzzy!,Delay,Delay mix,Part delay effect mix level,91,,0,127,,,,,0-based,
Fred's Lab,Buzzzy!,Space,Space decay,Part space effect decay time,92,,0,127,,,,,0-based,
Fred's Lab,Buzzzy!,Space,Space diffuse,Part space effect diffusion factor,93,,0,127,,,,,0-based,
Fred's Lab,Buzzzy!,Delay,Delay feedback,Part delay effect feedback level,94,,0,127,,,,,0-based,
Fred's Lab,Buzzzy!,Delay,Delay time,Part delay effect delay time,120,,0,127,,,,,0-based,
Fred's Lab,Buzzzy!,,All sounds off,Mute immediately all sound from the part,121,,0,127,,,,,0-based,
Fred's Lab,Buzzzy!,,Reset all controllers,Set all controllers to their initial value,122,,0,127,,,,,0-based,
Fred's Lab,Buzzzy!,,All notes off,Release immediately all notes from the part,123,,0,127,,,,,0-based,
