manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,orientation,notes,usage
Fred's Lab,Tooro,General,Modwheel,,1,,0,127,,,,,,,
Fred's Lab,Tooro,Oscillators,Osc 1 Wave,,70,,0,127,,,,,,,
Fred's Lab,Tooro,Oscillators,Osc 1 Coarse,,21,,0,127,,,,,,,
Fred's Lab,Tooro,Oscillators,Osc 1 FM Amount,,22,,0,127,,,,,,,
Fred's Lab,Tooro,Oscillators,Osc 1 Level,,23,,0,127,,,,,,,
Fred's Lab,Tooro,Oscillators,Osc 1 Table,,24,,0,127,,,,,,,
Fred's Lab,Tooro,Oscillators,Osc 1 Fine,,25,,0,127,,,,,,,
Fred's Lab,Tooro,Oscillators,Osc 1 FM Rate,,26,,0,127,,,,,,,
Fred's Lab,Tooro,Oscillators,Osc 1 Sync,,27,,0,127,,,,,,,
Fred's Lab,Tooro,Oscillators,Osc 2 Wave,,77,,0,127,,,,,,,
Fred's Lab,Tooro,Oscillators,Osc 2 Coarse,,31,,0,127,,,,,,,
Fred's Lab,Tooro,Oscillators,Osc 2 FM Amount,,32,,0,127,,,,,,,
Fred's Lab,Tooro,Oscillators,Osc 2 Level,,33,,0,127,,,,,,,
Fred's Lab,Tooro,Oscillators,Osc 2 Table,,34,,0,127,,,,,,,
Fred's Lab,Tooro,Oscillators,Osc 2 Fine,,35,,0,127,,,,,,,
Fred's Lab,Tooro,Oscillators,Osc 2 FM Rate,,36,,0,127,,,,,,,
Fred's Lab,Tooro,Oscillators,Osc 2 Sync,,37,,0,127,,,,,,,
Fred's Lab,Tooro,Oscillators,Noise,,78,,0,127,,,,,,,
Fred's Lab,Tooro,Oscillators,Ring,,79,,0,127,,,,,,,
Fred's Lab,Tooro,Envelopes,Env A Attack,,73,,0,127,,,,,,,
Fred's Lab,Tooro,Envelopes,Env A Decay,,40,,0,127,,,,,,,
Fred's Lab,Tooro,Envelopes,Env A Sustain,,41,,0,127,,,,,,,
Fred's Lab,Tooro,Envelopes,Env A Release,,72,,0,127,,,,,,,
Fred's Lab,Tooro,Envelopes,Env A Velo,,43,,0,127,,,,,,,
Fred's Lab,Tooro,Envelopes,Env A Hold,,42,,0,127,,,,,,,
Fred's Lab,Tooro,Envelopes,Env A After,,44,,0,127,,,,,,,
Fred's Lab,Tooro,Envelopes,Env A Trigger,,45,,0,127,,,,,,,
Fred's Lab,Tooro,Envelopes,Env F Attack,,46,,0,127,,,,,,,
Fred's Lab,Tooro,Envelopes,Env F Decay,,47,,0,127,,,,,,,
Fred's Lab,Tooro,Envelopes,Env F Sustain,,48,,0,127,,,,,,,
Fred's Lab,Tooro,Envelopes,Env F Release,,49,,0,127,,,,,,,
Fred's Lab,Tooro,Envelopes,Env F Velo,,51,,0,127,,,,,,,
Fred's Lab,Tooro,Envelopes,Env F Hold,,50,,0,127,,,,,,,
Fred's Lab,Tooro,Envelopes,Env F After,,52,,0,127,,,,,,,
Fred's Lab,Tooro,Envelopes,Env F Trigger,,53,,0,127,,,,,,,
Fred's Lab,Tooro,Filter,Filter Resonance,,71,,0,127,,,,,,,
Fred's Lab,Tooro,Filter,Filter Cutoff,,74,,0,127,,,,,,,
Fred's Lab,Tooro,Filter,Filter Env F Amount,,54,,0,127,,,,,,,
Fred's Lab,Tooro,Filter,Filter Track,,55,,0,127,,,,,,,
Fred's Lab,Tooro,Filter,Filter After,,56,,0,127,,,,,,,
Fred's Lab,Tooro,Filter,Filter LFO 1 Amount,,57,,0,127,,,,,,,
Fred's Lab,Tooro,Shaper,Shaper Cutoff,,75,,0,127,,,,,,,
Fred's Lab,Tooro,Shaper,Shaper Resonance,,76,,0,127,,,,,,,
Fred's Lab,Tooro,Shaper,Shaper Env A Amount,,58,,0,127,,,,,,,
Fred's Lab,Tooro,Shaper,Shaper Track,,59,,0,127,,,,,,,
Fred's Lab,Tooro,Shaper,Shaper Mode,,60,,0,127,,,,,,,
Fred's Lab,Tooro,Shaper,Shaper LFO 2 Amount,,61,,0,127,,,,,,,
Fred's Lab,Tooro,LFO,LFO 1 Shape,,102,,0,127,,,,,,,
Fred's Lab,Tooro,LFO,LFO 1 Speed,,103,,0,127,,,,,,,
Fred's Lab,Tooro,LFO,LFO 1 Rise,,104,,0,127,,,,,,,
Fred's Lab,Tooro,LFO,LFO 1 Phase,,105,,0,127,,,,,,,
Fred's Lab,Tooro,LFO,LFO 2 Shape,,106,,0,127,,,,,,,
Fred's Lab,Tooro,LFO,LFO 2 Speed,,107,,0,127,,,,,,,
Fred's Lab,Tooro,LFO,LFO 2 Rise,,108,,0,127,,,,,,,
Fred's Lab,Tooro,LFO,LFO 2 Phase,,109,,0,127,,,,,,,
Fred's Lab,Tooro,Arpeggiator,Arp Mode,,110,,0,127,,,,,,,
Fred's Lab,Tooro,Arpeggiator,Arp Grid,,111,,0,127,,,,,,,
Fred's Lab,Tooro,Arpeggiator,Arp Tempo,,112,,0,127,,,,,,,
Fred's Lab,Tooro,Arpeggiator,Arp Hold,,113,,0,127,,,,,,,
Fred's Lab,Tooro,Arpeggiator,Amp Level,,80,,0,127,,,,,,,
Fred's Lab,Tooro,Arpeggiator,Amp Pan,,81,,0,127,,,,,,,
Fred's Lab,Tooro,Modulation,Modulation Env F,,17,,0,127,,,,,,,
Fred's Lab,Tooro,Modulation,Modulation Env A,,18,,0,127,,,,,,,
Fred's Lab,Tooro,Modulation,Modulation LFO 1,,19,,0,127,,,,,,,
Fred's Lab,Tooro,Modulation,Modulation LFO 2,,20,,0,127,,,,,,,
Fred's Lab,Tooro,Modulation,Modulation Mod Wheel,,87,,0,127,,,,,,,
Fred's Lab,Tooro,Modulation,Modulation Pitch,,88,,0,127,,,,,,,
Fred's Lab,Tooro,Modulation,Modulation Velocity,,89,,0,127,,,,,,,
Fred's Lab,Tooro,Modulation,Modulation Aftertouch,,90,,0,127,,,,,,,
Fred's Lab,Tooro,General,Bend Range,,86,,0,127,,,,,,,
Fred's Lab,Tooro,General,Tune,,85,,0,127,,,,,,,
Fred's Lab,Tooro,Level,Multi Level,,7,,0,127,,,,,,,
Fred's Lab,Tooro,Level,Balance,,10,,0,127,,,,,,,
Fred's Lab,Tooro,Effects,FX Mix,,91,,0,127,,,,,,,
Fred's Lab,Tooro,Effects,FX Feedback,,12,,0,127,,,,,,,
Fred's Lab,Tooro,Effects,FX Length,,14,,0,127,,,,,,,
Fred's Lab,Tooro,Effects,FX Depth,,93,,0,127,,,,,,,
Fred's Lab,Tooro,Effects,FX Mode,,13,,0,127,,,,,,,
Fred's Lab,Tooro,Effects,FX Speed,,15,,0,127,,,,,,,
Fred's Lab,Tooro,System,All Sounds Off,,120,,0,127,,,,,,,
Fred's Lab,Tooro,System,Reset All Controllers,,121,,0,127,,,,,,,
Fred's Lab,Tooro,System,All Notes Off,,123,,0,127,,,,,,,
Fred's Lab,Tooro,System,Omni Off,,124,,0,127,,,,,,,
Fred's Lab,Tooro,System,Omni On,,125,,0,127,,,,,,,
Fred's Lab,Tooro,System,Mono Mode,,126,,0,127,,,,,,,
Fred's Lab,Tooro,System,Poly Mode,,127,,0,127,,,,,,,
