manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,orientation,notes
GEM,rp-x,All CCs,Modulation,,1,,0,127,,,,,0-based,
GEM,rp-x,All CCs,Portamento time,,5,,0,127,,,,,0-based,
GEM,rp-x,All CCs,Volume,,7,,0,127,,,,,0-based,
GEM,rp-x,All CCs,Pan pot,,10,,0,127,,,,,0-based,
GEM,rp-x,All CCs,Expression,,11,,0,127,,,,,0-based,
GEM,rp-x,All CCs,Sustain,,64,,0,127,,,,,0-based,
GEM,rp-x,All CCs,Portamento,,65,,0,127,,,,,0-based,
GEM,rp-x,All CCs,Sostenuto,,66,,0,127,,,,,0-based,
GEM,rp-x,All CCs,Soft,,67,,0,127,,,,,0-based,
GEM,rp-x,All CCs,Filter resonance,,71,,0,127,,,,,0-based,
GEM,rp-x,All CCs,Release time,,72,,0,127,,,,,0-based,
GEM,rp-x,All CCs,Attack time,,73,,0,127,,,,,0-based,
GEM,rp-x,All CCs,Filter cut off,,74,,0,127,,,,,0-based,
GEM,rp-x,All CCs,Decay time,,75,,0,127,,,,,0-based,
GEM,rp-x,All CCs,Vibrato rate,,76,,0,127,,,,,0-based,
GEM,rp-x,All CCs,Vibrato depht,,77,,0,127,,,,,0-based,
GEM,rp-x,All CCs,Vibrato delay,,78,,0,127,,,,,0-based,
GEM,rp-x,All CCs,Portamento control,,84,,0,127,,,,,0-based,
GEM,rp-x,All CCs,Reverb send level,,91,,0,127,,,,,0-based,
GEM,rp-x,All CCs,Chorus send level,,93,,0,127,,,,,0-based,
