manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,orientation,notes,usage
Gotharman,Spazedrum Black,,Morph Knob,,1,,0,127,,,,,0-based,,
Gotharman,Spazedrum Black,,SEQ Morph Knob,,2,,0,127,,,,,0-based,,
Gotharman,Spazedrum Black,,MOD Source,,7,,0,127,,,,,0-based,,
Gotharman,Spazedrum Black,,Part1 Knob1,,8,,0,127,,,,,0-based,,
Gotharman,Spazedrum Black,,Part1 Knob2,,9,,0,127,,,,,0-based,,
Gotharman,Spazedrum Black,,Part1 Knob3,,10,,0,127,,,,,0-based,,
Gotharman,Spazedrum Black,,Part1 Knob4,,11,,0,127,,,,,0-based,,
Gotharman,Spazedrum Black,,Part2 Knob1,,12,,0,127,,,,,0-based,,
Gotharman,Spazedrum Black,,Part2 Knob2,,13,,0,127,,,,,0-based,,
Gotharman,Spazedrum Black,,Part2 Knob3,,14,,0,127,,,,,0-based,,
Gotharman,Spazedrum Black,,Part2 Knob4,,15,,0,127,,,,,0-based,,
Gotharman,Spazedrum Black,,Part3 Knob1,,16,,0,127,,,,,0-based,,
Gotharman,Spazedrum Black,,Part3 Knob2,,17,,0,127,,,,,0-based,,
Gotharman,Spazedrum Black,,Part3 Knob3,,18,,0,127,,,,,0-based,,
Gotharman,Spazedrum Black,,Part3 Knob4,,19,,0,127,,,,,0-based,,
Gotharman,Spazedrum Black,,Part4 Knob1,,20,,0,127,,,,,0-based,,
Gotharman,Spazedrum Black,,Part4 Knob2,,21,,0,127,,,,,0-based,,
Gotharman,Spazedrum Black,,Part4 Knob3,,22,,0,127,,,,,0-based,,
Gotharman,Spazedrum Black,,Part4 Knob4,,23,,0,127,,,,,0-based,,
Gotharman,Spazedrum Black,,Part5 Knob1,,24,,0,127,,,,,0-based,,
Gotharman,Spazedrum Black,,Part5 Knob2,,25,,0,127,,,,,0-based,,
Gotharman,Spazedrum Black,,Part5 Knob3,,26,,0,127,,,,,0-based,,
Gotharman,Spazedrum Black,,Part5 Knob4,,27,,0,127,,,,,0-based,,
Gotharman,Spazedrum Black,,Part6 Knob1,,28,,0,127,,,,,0-based,,
Gotharman,Spazedrum Black,,Part6 Knob2,,29,,0,127,,,,,0-based,,
Gotharman,Spazedrum Black,,Part6 Knob3,,30,,0,127,,,,,0-based,,
Gotharman,Spazedrum Black,,Part6 Knob4,,31,,0,127,,,,,0-based,,
Gotharman,Spazedrum Black,,Part7 Knob1,,33,,0,127,,,,,0-based,,
Gotharman,Spazedrum Black,,Part7 Knob2,,34,,0,127,,,,,0-based,,
Gotharman,Spazedrum Black,,Part7 Knob3,,35,,0,127,,,,,0-based,,
Gotharman,Spazedrum Black,,Part7 Knob4,,36,,0,127,,,,,0-based,,
Gotharman,Spazedrum Black,,Part8 Knob1,,37,,0,127,,,,,0-based,,
Gotharman,Spazedrum Black,,Part8 Knob2,,38,,0,127,,,,,0-based,,
Gotharman,Spazedrum Black,,Part8 Knob3,,39,,0,127,,,,,0-based,,
Gotharman,Spazedrum Black,,Part8 Knob4,,40,,0,127,,,,,0-based,,
Gotharman,Spazedrum Black,,Part9 Knob1,,41,,0,127,,,,,0-based,,
Gotharman,Spazedrum Black,,Part9 Knob2,,42,,0,127,,,,,0-based,,
Gotharman,Spazedrum Black,,Part9 Knob3,,43,,0,127,,,,,0-based,,
Gotharman,Spazedrum Black,,Part9 Knob4,,44,,0,127,,,,,0-based,,
Gotharman,Spazedrum Black,,Part10 Knob1,,45,,0,127,,,,,0-based,,
Gotharman,Spazedrum Black,,Part10 Knob2,,46,,0,127,,,,,0-based,,
Gotharman,Spazedrum Black,,Part10 Knob3,,47,,0,127,,,,,0-based,,
Gotharman,Spazedrum Black,,Part10 Knob4,,48,,0,127,,,,,0-based,,
Gotharman,Spazedrum Black,,Part11 Knob1,,49,,0,127,,,,,0-based,,
Gotharman,Spazedrum Black,,Part11 Knob2,,50,,0,127,,,,,0-based,,
Gotharman,Spazedrum Black,,Part11 Knob3,,51,,0,127,,,,,0-based,,
Gotharman,Spazedrum Black,,Part11 Knob4,,52,,0,127,,,,,0-based,,
Gotharman,Spazedrum Black,,Part12 Knob1,,53,,0,127,,,,,0-based,,
Gotharman,Spazedrum Black,,Part12 Knob2,,54,,0,127,,,,,0-based,,
Gotharman,Spazedrum Black,,Part12 Knob3,,55,,0,127,,,,,0-based,,
Gotharman,Spazedrum Black,,Part12 Knob4,,56,,0,127,,,,,0-based,,
Gotharman,Spazedrum Black,,Part13 Knob1,,57,,0,127,,,,,0-based,,
Gotharman,Spazedrum Black,,Part13 Knob2,,58,,0,127,,,,,0-based,,
Gotharman,Spazedrum Black,,Part13 Knob3,,59,,0,127,,,,,0-based,,
Gotharman,Spazedrum Black,,Part13 Knob4,,60,,0,127,,,,,0-based,,
Gotharman,Spazedrum Black,,Part14 Knob1,,61,,0,127,,,,,0-based,,
Gotharman,Spazedrum Black,,Part14 Knob2,,62,,0,127,,,,,0-based,,
Gotharman,Spazedrum Black,,Part14 Knob3,,63,,0,127,,,,,0-based,,
Gotharman,Spazedrum Black,,Part14 Knob4,,65,,0,127,,,,,0-based,,
Gotharman,Spazedrum Black,,Part15 Knob1,,66,,0,127,,,,,0-based,,
Gotharman,Spazedrum Black,,Part15 Knob2,,67,,0,127,,,,,0-based,,
Gotharman,Spazedrum Black,,Part15 Knob3,,68,,0,127,,,,,0-based,,
Gotharman,Spazedrum Black,,Part15 Knob4,,69,,0,127,,,,,0-based,,
Gotharman,Spazedrum Black,,Part16 Knob1,,70,,0,127,,,,,0-based,,
Gotharman,Spazedrum Black,,Part16 Knob2,,71,,0,127,,,,,0-based,,
Gotharman,Spazedrum Black,,Part16 Knob3,,72,,0,127,,,,,0-based,,
Gotharman,Spazedrum Black,,Part16 Knob4,,73,,0,127,,,,,0-based,,
