manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,cc_default_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,nrpn_default_value,orientation,notes,usage
Groove Synthesis,3rd Wave 8M,Oscillator 1,Pitch,,24,,0,127,,,,,,,0-based,,
Groove Synthesis,3rd Wave 8M,Oscillator 1,Fine,,25,,0,127,,,,,,,0-based,,
Groove Synthesis,3rd Wave 8M,Oscillator 1,Wavetable,,26,,0,127,,,,,,,0-based,,
Groove Synthesis,3rd Wave 8M,Oscillator 1,Wave offset,,27,,0,63,,,,,,,0-based,,
Groove Synthesis,3rd Wave 8M,Oscillator 1,Level,,28,,0,127,,,,,,,0-based,,
Groove Synthesis,3rd Wave 8M,Oscillator 2,Pitch,,29,,0,127,,,,,,,0-based,,
Groove Synthesis,3rd Wave 8M,Oscillator 2,Fine,,30,,0,127,,,,,,,0-based,,
Groove Synthesis,3rd Wave 8M,Oscillator 2,Wavetable,,31,,0,127,,,,,,,0-based,,
Groove Synthesis,3rd Wave 8M,Oscillator 2,Wave offset,,33,,0,63,,,,,,,0-based,,
Groove Synthesis,3rd Wave 8M,Oscillator 2,Level,,34,,0,127,,,,,,,0-based,,
Groove Synthesis,3rd Wave 8M,Oscillator 3,Pitch,,35,,0,127,,,,,,,0-based,,
Groove Synthesis,3rd Wave 8M,Oscillator 3,Fine,,36,,0,127,,,,,,,0-based,,
Groove Synthesis,3rd Wave 8M,Oscillator 3,Wavetable,,40,,0,127,,,,,,,0-based,,
Groove Synthesis,3rd Wave 8M,Oscillator 3,Wave offset,,41,,0,63,,,,,,,0-based,,
Groove Synthesis,3rd Wave 8M,Oscillator 3,Level,,42,,0,127,,,,,,,0-based,,
Groove Synthesis,3rd Wave 8M,Amp env,Attack,,118,,0,127,,,,,,,0-based,,
Groove Synthesis,3rd Wave 8M,Amp env,Decay,,75,,0,127,,,,,,,0-based,,
Groove Synthesis,3rd Wave 8M,Amp env,Sustain,,76,,0,127,,,,,,,0-based,,
Groove Synthesis,3rd Wave 8M,Amp env,Release,,77,,0,127,,,,,,,0-based,,
Groove Synthesis,3rd Wave 8M,Filter env,Attack,,70,,0,127,,,,,,,0-based,,
Groove Synthesis,3rd Wave 8M,Filter env,Decay,,71,,0,127,,,,,,,0-based,,
Groove Synthesis,3rd Wave 8M,Filter env,Sustain,,72,,0,127,,,,,,,0-based,,
Groove Synthesis,3rd Wave 8M,Filter env,Release,,73,,0,127,,,,,,,0-based,,
Groove Synthesis,3rd Wave 8M,LPF,Cutoff,,9,,0,127,,,,,,,0-based,,
Groove Synthesis,3rd Wave 8M,LPF,Resonance,,37,,0,127,,,,,,,0-based,,
Groove Synthesis,3rd Wave 8M,LPF,Env amount,,39,,0,127,,,,,,,0-based,,
Groove Synthesis,3rd Wave 8M,LPF,Saturation,,63,,0,127,,,,,,,0-based,,
Groove Synthesis,3rd Wave 8M,LPF,Velocity,,68,,0,127,,,,,,,0-based,,
Groove Synthesis,3rd Wave 8M,SVF,Mode,,58,,0,127,,,,,,,0-based,,
Groove Synthesis,3rd Wave 8M,SVF,Cutoff,,59,,0,127,,,,,,,0-based,,
Groove Synthesis,3rd Wave 8M,SVF,Resonance,,60,,0,127,,,,,,,0-based,,
Groove Synthesis,3rd Wave 8M,SVF,Env amount,,61,,0,127,,,,,,,0-based,,
Groove Synthesis,3rd Wave 8M,SVF,Velocity,,62,,0,127,,,,,,,0-based,,
Groove Synthesis,3rd Wave 8M,Effects,Effect 1 mix,,104,,0,127,,,,,,,0-based,,
Groove Synthesis,3rd Wave 8M,Effects,Effect 2 mix,,111,,0,127,,,,,,,0-based,,
Groove Synthesis,3rd Wave 8M,Envelopes,Env 4 attack,,43,,0,127,,,,,,,0-based,,
Groove Synthesis,3rd Wave 8M,Envelopes,Env 4 decay,,44,,0,127,,,,,,,0-based,,
Groove Synthesis,3rd Wave 8M,Envelopes,Env 4 sustain,,45,,0,127,,,,,,,0-based,,
Groove Synthesis,3rd Wave 8M,Envelopes,Env 4 release,,46,,0,127,,,,,,,0-based,,
Groove Synthesis,3rd Wave 8M,Envelopes,Env 3 attack,,83,,0,127,,,,,,,0-based,,
Groove Synthesis,3rd Wave 8M,Envelopes,Env 3 decay,,84,,0,127,,,,,,,0-based,,
Groove Synthesis,3rd Wave 8M,Envelopes,Env 3 sustain,,85,,0,127,,,,,,,0-based,,
Groove Synthesis,3rd Wave 8M,Envelopes,Env 3 release,,86,,0,127,,,,,,,0-based,,
Groove Synthesis,3rd Wave 8M,General,Mod wheel,,1,,0,127,,,,,,,0-based,,
Groove Synthesis,3rd Wave 8M,General,Breath control,,2,,0,127,,,,,,,0-based,,
Groove Synthesis,3rd Wave 8M,General,Volume,,7,,0,127,,,,,,,0-based,,
Groove Synthesis,3rd Wave 8M,General,MIDI bank select,,32,,0,3,,,,,,,0-based,,
Groove Synthesis,3rd Wave 8M,General,Sustain pedal,,64,,0,127,,,,,,,0-based,,0-63: Off; 64-127: On
