manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,cc_default_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,nrpn_default_value,orientation,notes,usage
Headrush,MX5,Footswitches,Footswitch 1,"MX5 receives MIDI over its 1/8-inch (3.5mm) MIDI input, not 5-pin DIN",50,,0,127,,,,,,,0-based,Manual lists this as an Action without specifying a value range or on/off threshold,
Headrush,MX5,Footswitches,Footswitch 2,"MX5 receives MIDI over its 1/8-inch (3.5mm) MIDI input, not 5-pin DIN",51,,0,127,,,,,,,0-based,Manual lists this as an Action without specifying a value range or on/off threshold,
Headrush,MX5,Footswitches,Footswitch 3,"MX5 receives MIDI over its 1/8-inch (3.5mm) MIDI input, not 5-pin DIN",52,,0,127,,,,,,,0-based,Manual lists this as an Action without specifying a value range or on/off threshold,
Headrush,MX5,Global controls,Tap Tempo,,64,,0,127,,,,,,,0-based,Manual lists this as an Action without specifying a value range or on/off threshold,
Headrush,MX5,Looper,Half Speed,,65,,0,127,,,,,,,0-based,Manual lists this as an Action without specifying a value range or on/off threshold,
Headrush,MX5,Looper,Double Speed,,66,,0,127,,,,,,,0-based,Manual lists this as an Action without specifying a value range or on/off threshold,
Headrush,MX5,Looper,Half Speed Loop,,67,,0,127,,,,,,,0-based,Manual lists this as an Action without specifying a value range or on/off threshold,
Headrush,MX5,Looper,Double Speed Loop,,68,,0,127,,,,,,,0-based,Manual lists this as an Action without specifying a value range or on/off threshold,
Headrush,MX5,Looper,Start/Stop,,69,,0,127,,,,,,,0-based,Manual lists this as an Action without specifying a value range or on/off threshold,
Headrush,MX5,Looper,Record,,70,,0,127,,,,,,,0-based,Manual lists this as an Action without specifying a value range or on/off threshold,
Headrush,MX5,Looper,Insert,,71,,0,127,,,,,,,0-based,Manual lists this as an Action without specifying a value range or on/off threshold,
Headrush,MX5,Looper,Peel,,72,,0,127,,,,,,,0-based,Manual lists this as an Action without specifying a value range or on/off threshold,
Headrush,MX5,Looper,Mute,,73,,0,127,,,,,,,0-based,Manual lists this as an Action without specifying a value range or on/off threshold,
Headrush,MX5,Looper,Reverse,,74,,0,127,,,,,,,0-based,Manual lists this as an Action without specifying a value range or on/off threshold,
Headrush,MX5,Blocks,Block 1 Toggle On/Off,,75,,0,127,,,,,,,0-based,Manual lists this as an Action without specifying a value range or on/off threshold,
Headrush,MX5,Blocks,Block 2 Toggle On/Off,,76,,0,127,,,,,,,0-based,Manual lists this as an Action without specifying a value range or on/off threshold,
Headrush,MX5,Blocks,Block 3 Toggle On/Off,,77,,0,127,,,,,,,0-based,Manual lists this as an Action without specifying a value range or on/off threshold,
Headrush,MX5,Blocks,Block 4 Toggle On/Off,,78,,0,127,,,,,,,0-based,Manual lists this as an Action without specifying a value range or on/off threshold,
Headrush,MX5,Blocks,Block 5 Toggle On/Off,,79,,0,127,,,,,,,0-based,Manual lists this as an Action without specifying a value range or on/off threshold,
Headrush,MX5,Blocks,Block 6 Toggle On/Off,,80,,0,127,,,,,,,0-based,Manual lists this as an Action without specifying a value range or on/off threshold,
Headrush,MX5,Blocks,Block 7 Toggle On/Off,,81,,0,127,,,,,,,0-based,Manual lists this as an Action without specifying a value range or on/off threshold,
Headrush,MX5,Blocks,Block 8 Toggle On/Off,,82,,0,127,,,,,,,0-based,Manual lists this as an Action without specifying a value range or on/off threshold,
Headrush,MX5,Blocks,Block 9 Toggle On/Off,,83,,0,127,,,,,,,0-based,Manual lists this as an Action without specifying a value range or on/off threshold,
Headrush,MX5,Blocks,Block 10 Toggle On/Off,,84,,0,127,,,,,,,0-based,Manual lists this as an Action without specifying a value range or on/off threshold,
Headrush,MX5,Blocks,Block 11 Toggle On/Off,,85,,0,127,,,,,,,0-based,Manual lists this as an Action without specifying a value range or on/off threshold,
