manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,orientation,notes,usage
Hologram,Microcosm,Time,Subdivision,PARAM DESCRIPTION,5,,0,5,,,,,0-based,NOTES,(0)=1/4; (1)=1/2; (2)=TAP; (3)=2x; (4)=4x; (5)=8x
Hologram,Microcosm,SECTION,Activity,Controls the density of the effects. Increase value to add complexity and variety.,6,,0,127,,,,,0-based,NOTES,
Hologram,Microcosm,Modulation,Shape,Applies a contour to the volume or filter characteristics of the effect.,7,,0,127,,,,,0-based,NOTES,0-31; 32-63; 64-95; 96-127
Hologram,Microcosm,Filter,Cutoff,Cuts high frequencies with the Low-pass filter.,8,,0,127,,,,,0-based,NOTES,
Hologram,Microcosm,Effect,Mix,Sets the balance between input signal and effect.,9,,0,127,,,,,0-based,NOTES,
Hologram,Microcosm,Time,Time,Controls either the Time Subdivision or Global Tempo.,10,,0,127,,,,,0-based,NOTES,
Hologram,Microcosm,,Repeats,Determines the effect duration or frequency. Works in tandem with Activity knob. Repeats function varies preset to preset.,11,,0,127,,,,,0-based,NOTES,USAGE
Hologram,Microcosm,Reverb,Space,Mixes in reverberation and delay. When at 127, mix is 100% wet.,12,,0,127,,,,,0-based,NOTES,0~127
Hologram,Microcosm,,Loop level,Sets the playback volume of Phrase Looper.,13,,0,127,,,,,0-based,NOTES,USAGE
Hologram,Microcosm,Modulation,Frequency,Sets the Pitch Modulation rate.,14,,0,127,,,,,0-based,NOTES,USAGE
Hologram,Microcosm,Filter,Responance,Adjusts the filter resonance.,15,,0,127,,,,,0-based,NOTES,USAGE
Hologram,Microcosm,Effect,Volume,Adjusts the effect master volume.,16,,0,127,,,,,0-based,NOTES,USAGE
Hologram,Microcosm,Looper,Looper playbak speed,PARAM DESCRIPTION,17,,0,127,,,,,0-based,NOTES,USAGE
Hologram,Microcosm,Looper,Looper playbak (stepped),PARAM DESCRIPTION,18,,0,127,,,,,0-based,NOTES,(0)=1/4; (1)=1/2; (2)=TAP; (3)=2x; (4)=4x; (5)=8x
Hologram,Microcosm,Modulation,Depth,PARAM DESCRIPTION,19,,0,127,,,,,0-based,NOTES,USAGE
Hologram,Microcosm,Reverb,Time,Selects 1 of 4 reverb modes. These reverb options vary in length and character.,20,,0,127,,,,,0-based,Documents show 0~127, but description implies quartiles,???
Hologram,Microcosm,Looper,Fade time,PARAM DESCRIPTION,21,,0,127,,,,,0-based,NOTES,USAGE
Hologram,Microcosm,Looper,On/Off,PARAM DESCRIPTION,22,,0,127,,,,,0-based,NOTES,0-63: Off; 64-127: On
Hologram,Microcosm,Looper,Playback direction,PARAM DESCRIPTION,23,,0,127,,,,,0-based,NOTES,0-63: Forward; 64-127: Reverse
Hologram,Microcosm,Looper,Routing,PARAM DESCRIPTION,24,,0,127,,,,,0-based,NOTES,0-63: Post-FX; 64-127: Pre-FX
Hologram,Microcosm,Looper,Only,PARAM DESCRIPTION,25,,0,127,,,,,0-based,NOTES,0-63: Looper & Effects; 64-127: Looper Only
Hologram,Microcosm,Looper,Burst,PARAM DESCRIPTION,26,,0,127,,,,,0-based,NOTES,0-63: Default; 64-127: Burst
Hologram,Microcosm,Looper,Quantized,PARAM DESCRIPTION,27,,0,127,,,,,0-based,NOTES,0-63: Free; 64-127: Quantize
Hologram,Microcosm,Looper,Record,PARAM DESCRIPTION,28,,0,127,,,,,0-based,NOTES,USAGE
Hologram,Microcosm,Looper,Play,PARAM DESCRIPTION,29,,0,127,,,,,0-based,NOTES,USAGE
Hologram,Microcosm,Looper,Overdub,PARAM DESCRIPTION,30,,0,127,,,,,0-based,NOTES,USAGE
Hologram,Microcosm,Looper,Stop,PARAM DESCRIPTION,31,,0,127,,,,,0-based,NOTES,USAGE
Hologram,Microcosm,Looper,Erase,PARAM DESCRIPTION,34,,0,127,,,,,0-based,NOTES,USAGE
Hologram,Microcosm,Looper,Undo,PARAM DESCRIPTION,35,,0,127,,,,,0-based,NOTES,USAGE
Hologram,Microcosm,Preset,Copy,PARAM DESCRIPTION,45,,0,127,,,,,0-based,NOTES,USAGE
Hologram,Microcosm,Preset,Save,PARAM DESCRIPTION,46,,0,127,,,,,0-based,NOTES,USAGE
Hologram,Microcosm,Effect,Reverse effect,Reverse effect playback.,47,,0,127,,,,,0-based,NOTES,USAGE
Hologram,Microcosm,SECTION,Hold Sampler,PARAM DESCRIPTION,48,,0,127,,,,,0-based,NOTES,0-63: Off; 64-127: On
Hologram,Microcosm,Time,TAP tempo,PARAM DESCRIPTION,93,,0,127,,,,,0-based,NOTES,
Hologram,Microcosm,General,Bypass,PARAM DESCRIPTION,102,,0,127,,,,,0-based,NOTES,0-63: Bypass; 64-127: Engage
