manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,cc_default_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,nrpn_default_value,orientation,notes,usage
IK Multimedia,ToneX Pedal,Banks and presets,MIDI Patch Bank,Send before a Program Change to reach presets above the 127th. Powers up on Bank 0,0,,0,1,,,,,,,0-based,,0: Presets 00A-42B; 1: Presets 42C-49C
IK Multimedia,ToneX Pedal,Banks and presets,Preset On/Off,,12,,0,127,,,,,,,0-based,,0: Off; 127: On
IK Multimedia,ToneX Pedal,Pedals,Expression Pedal,,11,,0,127,,,,,,,0-based,,0~127: Expression pedal
IK Multimedia,ToneX Pedal,Main parameters,Gain,,102,,0,127,,,,,,,0-based,,
IK Multimedia,ToneX Pedal,Main parameters,Bass,,23,,0,127,,,,,,,0-based,,
IK Multimedia,ToneX Pedal,Main parameters,Mid,,25,,0,127,,,,,,,0-based,,
IK Multimedia,ToneX Pedal,Main parameters,Treble,,28,,0,127,,,,,,,0-based,,
IK Multimedia,ToneX Pedal,Alternative parameters,Reverb,,79,,0,127,,,,,,,0-based,,
IK Multimedia,ToneX Pedal,Alternative parameters,Compressor,,19,,0,127,,,,,,,0-based,,
IK Multimedia,ToneX Pedal,Alternative parameters,Noise Gate,,15,,0,127,,,,,,,0-based,,
IK Multimedia,ToneX Pedal,Alternative parameters,Presence,,106,,0,127,,,,,,,0-based,,
IK Multimedia,ToneX Pedal,Alternative parameters,Depth,,107,,0,127,,,,,,,0-based,,
IK Multimedia,ToneX Pedal,Additional parameters,Model Volume,,103,,0,127,,,,,,,0-based,,
IK Multimedia,ToneX Pedal,Additional parameters,Noise Gate Threshold,,14,,0,127,,,,,,,0-based,,
IK Multimedia,ToneX Pedal,Additional parameters,Noise Gate Release,,16,,0,127,,,,,,,0-based,,
IK Multimedia,ToneX Pedal,Additional parameters,Noise Gate Depth,,17,,0,127,,,,,,,0-based,,
IK Multimedia,ToneX Pedal,Additional parameters,Compressor,,18,,0,127,,,,,,,0-based,,
IK Multimedia,ToneX Pedal,Additional parameters,Compressor Gain,,20,,0,127,,,,,,,0-based,,
IK Multimedia,ToneX Pedal,Additional parameters,Compressor Attack,,21,,0,127,,,,,,,0-based,,
IK Multimedia,ToneX Pedal,Additional parameters,Compressor Patch,,22,,0,127,,,,,,,0-based,,
IK Multimedia,ToneX Pedal,Additional parameters,Bass Frequency,,24,,0,127,,,,,,,0-based,,
IK Multimedia,ToneX Pedal,Additional parameters,Mid Q,,26,,0,127,,,,,,,0-based,,
IK Multimedia,ToneX Pedal,Additional parameters,Mid Frequency,,27,,0,127,,,,,,,0-based,,
IK Multimedia,ToneX Pedal,Additional parameters,Treble Frequency,,29,,0,127,,,,,,,0-based,,
IK Multimedia,ToneX Pedal,Additional parameters,EQ Patch,,30,,0,127,,,,,,,0-based,,
IK Multimedia,ToneX Pedal,Additional parameters,Reverb Mix,,104,,0,127,,,,,,,0-based,,
IK Multimedia,ToneX Pedal,Additional parameters,Reverb,,75,,0,127,,,,,,,0-based,,
IK Multimedia,ToneX Pedal,Additional parameters,Reverb Type,,85,,0,127,,,,,,,0-based,,
IK Multimedia,ToneX Pedal,Additional parameters,Reverb Time,,76,,0,127,,,,,,,0-based,,
IK Multimedia,ToneX Pedal,Additional parameters,Reverb Pre-Delay,,77,,0,127,,,,,,,0-based,,
IK Multimedia,ToneX Pedal,Additional parameters,Reverb Color,,78,,0,127,,,,,,,0-based,,
IK Multimedia,ToneX Pedal,Additional parameters,Cabinet Resonance,,108,,0,127,,,,,,,0-based,,
IK Multimedia,ToneX Pedal,Additional parameters,Mic 1,,109,,0,127,,,,,,,0-based,,
IK Multimedia,ToneX Pedal,Additional parameters,Mic 1 X Position,,110,,0,127,,,,,,,0-based,,
IK Multimedia,ToneX Pedal,Additional parameters,Mic 1 Z Position,,111,,0,127,,,,,,,0-based,,
IK Multimedia,ToneX Pedal,Additional parameters,Mic 2,,112,,0,127,,,,,,,0-based,,
IK Multimedia,ToneX Pedal,Additional parameters,Mic 2 X Position,,113,,0,127,,,,,,,0-based,,
IK Multimedia,ToneX Pedal,Additional parameters,Mic 2 Z Position,,114,,0,127,,,,,,,0-based,,
IK Multimedia,ToneX Pedal,Additional parameters,Mics Mix,,115,,0,127,,,,,,,0-based,,
