manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,orientation,notes,usage
Jomox,Airbase 99,,LT Tune,,12,,0,127,,,,,0-based,,
Jomox,Airbase 99,,LT Decay,,13,,0,127,,,,,0-based,,
Jomox,Airbase 99,,LT LVL,,14,,0,127,,,,,0-based,,
Jomox,Airbase 99,,HT Tune,,15,,0,127,,,,,0-based,,
Jomox,Airbase 99,,HT Decay,,16,,0,127,,,,,0-based,,
Jomox,Airbase 99,,HT LVL,,17,,0,127,,,,,0-based,,
Jomox,Airbase 99,,HH Tune,,18,,0,127,,,,,0-based,,
Jomox,Airbase 99,,CH Attack,,19,,0,127,,,,,0-based,,
Jomox,Airbase 99,,CH Pktme,,20,,0,127,,,,,0-based,,
Jomox,Airbase 99,,CH Decay,,21,,0,127,,,,,0-based,,
Jomox,Airbase 99,,OH Attack,,22,,0,127,,,,,0-based,,
Jomox,Airbase 99,,OH Pktme,,23,,0,127,,,,,0-based,,
Jomox,Airbase 99,,OH Decay,,24,,0,127,,,,,0-based,,
Jomox,Airbase 99,,HH LVL,,25,,0,127,,,,,0-based,,
Jomox,Airbase 99,,CP Tune,,26,,0,127,,,,,0-based,,
Jomox,Airbase 99,,CP Attack,,27,,0,127,,,,,0-based,,
Jomox,Airbase 99,,CP Pktme,,28,,0,127,,,,,0-based,,
Jomox,Airbase 99,,CP Decay,,29,,0,127,,,,,0-based,,
Jomox,Airbase 99,,CP LVL,,30,,0,127,,,,,0-based,,
Jomox,Airbase 99,,Bank SEL,,32,,0,127,,,,,0-based,,
Jomox,Airbase 99,,RM Tune,,44,,0,127,,,,,0-based,,
Jomox,Airbase 99,,RM Attack,,45,,0,127,,,,,0-based,,
Jomox,Airbase 99,,RM Pktme,,46,,0,127,,,,,0-based,,
Jomox,Airbase 99,,RM Decay,,47,,0,127,,,,,0-based,,
Jomox,Airbase 99,,RIM LVL,,48,,0,127,,,,,0-based,,
Jomox,Airbase 99,,CR Tune,,49,,0,127,,,,,0-based,,
Jomox,Airbase 99,,CR Attack,,50,,0,127,,,,,0-based,,
Jomox,Airbase 99,,CR Pktme,,51,,0,127,,,,,0-based,,
Jomox,Airbase 99,,CR Decay,,52,,0,127,,,,,0-based,,
Jomox,Airbase 99,,CR LVL,,53,,0,127,,,,,0-based,,
Jomox,Airbase 99,,RD Tune,,54,,0,127,,,,,0-based,,
Jomox,Airbase 99,,RD Attack,,55,,0,127,,,,,0-based,,
Jomox,Airbase 99,,RD Pktme,,56,,0,127,,,,,0-based,,
Jomox,Airbase 99,,RD Decay,,57,,0,127,,,,,0-based,,
Jomox,Airbase 99,,RD LVL,,58,,0,127,,,,,0-based,,
Jomox,Airbase 99,,HHF CUT HP,,59,,0,127,,,,,0-based,,
Jomox,Airbase 99,,HHF CUT LP,,60,,0,127,,,,,0-based,,
Jomox,Airbase 99,,HHF Reso,,61,,0,127,,,,,0-based,,
Jomox,Airbase 99,,Sample,,62,,0,127,,,,,0-based,,
Jomox,Airbase 99,,LFO1 Wave,,75,,0,127,,,,,0-based,,
Jomox,Airbase 99,,LFO1 Dest,,76,,0,127,,,,,0-based,,
Jomox,Airbase 99,,LFO2 Wave,,79,,0,127,,,,,0-based,,
Jomox,Airbase 99,,LFO2 Dest,,80,,0,127,,,,,0-based,,
Jomox,Airbase 99,,BD Tune,,100,,0,127,,,,,0-based,,
Jomox,Airbase 99,,BD Pitch,,101,,0,127,,,,,0-based,,
Jomox,Airbase 99,,BD Decay,,102,,0,127,,,,,0-based,,
Jomox,Airbase 99,,BD Harmc,,103,,0,127,,,,,0-based,,
Jomox,Airbase 99,,BD Pulse,,104,,0,127,,,,,0-based,,
Jomox,Airbase 99,,BD Noise,,105,,0,127,,,,,0-based,,
Jomox,Airbase 99,,BD Attack,,106,,0,127,,,,,0-based,,
Jomox,Airbase 99,,BD EQ,,107,,0,127,,,,,0-based,,
Jomox,Airbase 99,,BD LVL,,117,,0,127,,,,,0-based,,
Jomox,Airbase 99,,SN Tune,,108,,0,127,,,,,0-based,,
Jomox,Airbase 99,,SN Snap,,109,,0,127,,,,,0-based,,
Jomox,Airbase 99,,SN Decay,,110,,0,127,,,,,0-based,,
Jomox,Airbase 99,,SN Detune,,111,,0,127,,,,,0-based,,
Jomox,Airbase 99,,SN Noise,,112,,0,127,,,,,0-based,,
Jomox,Airbase 99,,SD Level,,118,,0,127,,,,,0-based,,
